natx =      573
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -1.61089     -1.82569      0.02756   2      2.43493
      0.88225      0.99989      2.03733   2      2.43493
      1.23685     -1.82569      1.03244   2      2.43493
     -1.96549      0.99989      1.03244   2      2.43493
      1.68528      1.90999     -0.23836   1      2.55833
     -0.80787     -0.91559     -2.24813   1      2.55833
     -1.16246      1.90999     -1.24324   1      2.55833
      2.03987     -0.91559     -1.24324   1      2.55833
     -0.80787     -0.91559      2.28940   1      2.59467
      0.88225      0.99989     -2.50020   2      2.83358
     -0.35460      2.82558      1.00489   3      3.01984
      2.84774      0.00000      1.00489   3      3.01984
     -2.84774      0.00000     -1.00489   3      3.01984
      0.35460     -2.82558     -1.00489   3      3.01984
     -0.45327     -3.74116      1.28451   1      3.98142
     -3.65561     -0.91559      1.28451   1      3.98142
     -1.16246      1.90999      3.29429   1      3.98142
      2.03987     -0.91559      3.29429   1      3.98142
      3.72999      0.99989     -1.49531   2      4.14108
      0.52765      3.82547     -1.49531   2      4.14108
     -1.96549      0.99989     -3.50509   2      4.14108
      1.23685     -1.82569     -3.50509   2      4.14108
      2.49314      2.82558      2.00978   3      4.27070
     -2.49314     -2.82558     -2.00978   3      4.27070
      3.20234     -2.82558      0.00000   3      4.27070
     -3.20234      2.82558      0.00000   3      4.27070
      2.49314      2.82558     -2.52776   3      4.53753
     -2.49314     -2.82558      2.52776   3      4.53753
     -0.35460      2.82558     -3.53264   3      4.53753
     -2.84774      0.00000      3.53264   3      4.53753
      0.35460     -2.82558      3.53264   3      4.53753
      2.84774      0.00000     -3.53264   3      4.53753
      0.00000      0.00000     -4.53753   3      4.53753
      0.00000      0.00000      4.53753   3      4.53753
     -1.25630     -4.65126     -0.97733   2      4.91607
     -4.45863     -1.82569     -0.97733   2      4.91607
      3.72999      0.99989      3.04222   2      4.91607
      0.52765      3.82547      3.04222   2      4.91607
     -4.81323      0.99989      0.02756   2      4.91607
      1.59144     -4.65126      0.02756   2      4.91607
     -2.32009      3.82547      2.03733   2      4.91607
      4.08459     -1.82569      2.03733   2      4.91607
      4.53302      1.90999      0.76653   1      4.97834
      1.33068      4.73557      0.76653   1      4.97834
     -0.45327     -3.74116     -3.25302   1      4.97834
     -3.65561     -0.91559     -3.25302   1      4.97834
     -1.51706      4.73557     -0.23836   1      4.97834
      4.88761     -0.91559     -0.23836   1      4.97834
      2.39447     -3.74116     -2.24813   1      4.97834
     -4.01020      1.90999     -2.24813   1      4.97834
     -3.30101     -3.74116      0.27962   1      4.99711
      1.68528      1.90999      4.29918   1      4.99711
     -4.01020      1.90999      2.28940   1      4.99711
      2.39447     -3.74116      2.28940   1      4.99711
      3.37539      3.82547     -0.49042   2      5.12523
     -1.61089     -1.82569     -4.50998   2      5.12523
      4.08459     -1.82569     -2.50020   2      5.12523
     -2.32009      3.82547     -2.50020   2      5.12523
     -1.61089     -1.82569      4.56509   2      5.17379
      1.68528      1.90999     -4.77589   1      5.41270
     -1.25630     -4.65126      3.56020   2      5.99062
     -4.45863     -1.82569      3.56020   2      5.99062
