 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.17050000000000001       eV
 efermi =   -11.221603900000000       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1514865459E+001  -0.8586937719E-002   0.1424917593E-003   0.9981909583E+000  -0.8602500000E-002   0.1427500000E-003
  -0.1511190528E+001  -0.8503337595E-002   0.1403647618E-003   0.9981849081E+000  -0.8518800000E-002   0.1406200000E-003
  -0.1507515598E+001  -0.8420935957E-002   0.1382777116E-003   0.9981788173E+000  -0.8436300000E-002   0.1385300000E-003
  -0.1503840667E+001  -0.8339732788E-002   0.1362306081E-003   0.9981726855E+000  -0.8355000000E-002   0.1364800000E-003
  -0.1500165736E+001  -0.8259728073E-002   0.1342334326E-003   0.9981665123E+000  -0.8274900000E-002   0.1344800000E-003
  -0.1496490805E+001  -0.8180921796E-002   0.1322762026E-003   0.9981602972E+000  -0.8196000000E-002   0.1325200000E-003
  -0.1492815874E+001  -0.8103214127E-002   0.1303688992E-003   0.9981540399E+000  -0.8118200000E-002   0.1306100000E-003
  -0.1489140943E+001  -0.8026605050E-002   0.1284915585E-003   0.9981477398E+000  -0.8041500000E-002   0.1287300000E-003
  -0.1485466012E+001  -0.7951094551E-002   0.1266541618E-003   0.9981413966E+000  -0.7965900000E-002   0.1268900000E-003
  -0.1481791081E+001  -0.7876682616E-002   0.1248567084E-003   0.9981350098E+000  -0.7891400000E-002   0.1250900000E-003
  -0.1478116150E+001  -0.7803369230E-002   0.1230991976E-003   0.9981285790E+000  -0.7818000000E-002   0.1233300000E-003
  -0.1474441219E+001  -0.7731054566E-002   0.1213816290E-003   0.9981221036E+000  -0.7745600000E-002   0.1216100000E-003
  -0.1470766289E+001  -0.7659638798E-002   0.1197040019E-003   0.9981155833E+000  -0.7674100000E-002   0.1199300000E-003
  -0.1467091358E+001  -0.7589321537E-002   0.1180563346E-003   0.9981090175E+000  -0.7603700000E-002   0.1182800000E-003
  -0.1463416427E+001  -0.7519903146E-002   0.1164386267E-003   0.9981024059E+000  -0.7534200000E-002   0.1166600000E-003
  -0.1459741496E+001  -0.7451483424E-002   0.1148608587E-003   0.9980957478E+000  -0.7465700000E-002   0.1150800000E-003
  -0.1456066565E+001  -0.7383962548E-002   0.1133130490E-003   0.9980890428E+000  -0.7398100000E-002   0.1135300000E-003
  -0.1452391634E+001  -0.7317340505E-002   0.1117951974E-003   0.9980822905E+000  -0.7331400000E-002   0.1120100000E-003
  -0.1448716703E+001  -0.7251617282E-002   0.1103172839E-003   0.9980754903E+000  -0.7265600000E-002   0.1105300000E-003
  -0.1445041772E+001  -0.7186693061E-002   0.1088593467E-003   0.9980686417E+000  -0.7200600000E-002   0.1090700000E-003
  -0.1441366841E+001  -0.7122667637E-002   0.1074413468E-003   0.9980617441E+000  -0.7136500000E-002   0.1076500000E-003
