natx =      341
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -1.47362     -0.81067      2.30721   6      2.85516
     -1.47362     -0.81067     -2.30721   6      2.85516
      1.52607     -0.87374     -2.31882   5      2.91020
      1.52607     -0.87374      2.31882   5      2.91020
      0.07898      1.75673     -2.31882   5      2.91020
      0.07898      1.75673      2.31882   5      2.91020
     -1.53932      2.60901      0.00000   8      3.02926
      1.37959     -2.69688     -0.00000   8      3.02926
      1.67535      2.61155      0.00000   3      3.10273
      3.10269      0.01697      0.00000   3      3.10274
     -1.68764     -2.69435     -0.00000   3      3.17925
     -3.17920      0.01697     -0.00000   3      3.17925
     -0.07109     -3.49493      2.48436   7      4.28855
     -0.07109     -3.49493     -2.48436   7      4.28855
     -2.99000      1.81096     -2.48436   7      4.28856
     -2.99000      1.81096      2.48436   7      4.28856
      3.29190      1.81096     -2.48436   7      4.50425
      3.29190      1.81096      2.48436   7      4.50425
      0.01441      0.00793     -4.97751   1      4.97753
      0.01441      0.00793      4.97751   1      4.97753
      2.99789     -3.54916     -2.31882   5      5.19238
      2.99789     -3.54916      2.31882   5      5.19238
     -1.39284      4.43215     -2.31882   5      5.19239
     -1.39284      4.43215      2.31882   5      5.19239
     -0.26030     -5.28892     -0.00000   3      5.29532
     -4.60654      2.61155      0.00000   3      5.29532
      0.18378      5.32287      0.00000   3      5.32604
      4.59426     -2.69435      0.00000   3      5.32604
     -3.28401     -3.54916      2.31882   5      5.36267
     -3.28401     -3.54916     -2.31882   5      5.36267
     -4.75583     -0.87374     -2.31882   5      5.36267
     -4.75583     -0.87374      2.31882   5      5.36267
      4.80827     -0.81067     -2.30721   6      5.39443
      4.80827     -0.81067      2.30721   6      5.39443
      1.88937      4.49523     -2.30721   6      5.39444
      1.88937      4.49523      2.30721   6      5.39444
      4.74258      2.60901      0.00000   8      5.41285
     -4.90230     -2.69688     -0.00000   8      5.59515
     -1.42848      2.66998     -4.97751   2      5.82623
     -1.42848      2.66998      4.97751   2      5.82623
      1.49042     -2.63591     -4.97751   2      5.82623
      1.49042     -2.63591      4.97751   2      5.82623
     -1.69038     -2.64390      4.97751   4      5.88415
     -1.69038     -2.64390     -4.97751   4      5.88415
     -3.13806     -0.01235     -4.97751   4      5.88415
     -3.13806     -0.01235      4.97751   4      5.88415
      1.67260      2.66199     -4.97751   4      5.88722
      1.67260      2.66199      4.97751   4      5.88722
      3.14383     -0.01235     -4.97751   4      5.88722
      3.14383     -0.01235      4.97751   4      5.88722
      2.91891     -5.30589     -0.00000   9      6.05579
     -2.91891      5.30589      0.00000   9      6.05579
     -3.36298     -5.30589     -0.00000   9      6.28189
      3.36298      5.30589      0.00000   9      6.28189
      6.28189      0.00000      0.00000   9      6.28189
     -6.28189      0.00000     -0.00000   9      6.28189
      1.44529     -6.11656      2.30721   6      6.69510
      1.44529     -6.11656     -2.30721   6      6.69510
     -4.39253      4.49523     -2.30721   6      6.69511
     -4.39253      4.49523      2.30721   6      6.69511
     -1.83692     -6.17963      2.31882   5      6.85121
     -1.83692     -6.17963     -2.31882   5      6.85121
     -6.20292      1.75673     -2.31882   5      6.85122
     -6.20292      1.75673      2.31882   5      6.85122
      6.36087      1.75673     -2.31882   5      6.99455
      6.36087      1.75673      2.31882   5      6.99455
      4.88905      4.43215     -2.31882   5      6.99455
      4.88905      4.43215      2.31882   5      6.99455
      0.22492      5.29354     -4.97751   4      7.26965
      0.22492      5.29354      4.97751   4      7.26965
      4.59151     -2.64390     -4.97751   4      7.26965
      4.59151     -2.64390      4.97751   4      7.26965
     -0.21915     -5.31824      4.97751   4      7.28748
     -0.21915     -5.31824     -4.97751   4      7.28748
     -4.60929      2.66199     -4.97751   4      7.28748
     -4.60929      2.66199      4.97751   4      7.28748
     -4.79147     -2.63591      4.97751   2      7.39471
     -4.79147     -2.63591     -4.97751   2      7.39471
      4.85341      2.66998     -4.97751   2      7.44715
      4.85341      2.66998      4.97751   2      7.44715
      6.21081     -3.49493     -2.48436   7      7.54723
      6.21081     -3.49493      2.48436   7      7.54723
      0.37299      7.11686     -2.48436   7      7.54724
      0.37299      7.11686      2.48436   7      7.54724
     -6.35298     -3.49493      2.48436   7      7.66466
     -6.35298     -3.49493     -2.48436   7      7.66466
     -1.47362     -0.81067     -7.64780   6      7.83056
     -1.47362     -0.81067      7.64780   6      7.83056
      1.52607     -0.87374     -7.63619   5      7.83605
      1.52607     -0.87374      7.63619   5      7.83605
      0.07898      1.75673     -7.63619   5      7.83605
      0.07898      1.75673      7.63619   5      7.83605
      2.93332     -5.29797     -4.97751   1      7.83890
      2.93332     -5.29797      4.97751   1      7.83890
     -2.90450      5.31382     -4.97751   1      7.83890
     -2.90450      5.31382      4.97751   1      7.83890
      4.44497     -6.17963      2.31882   5      7.95755
      4.44497     -6.17963     -2.31882   5      7.95755
     -2.83993      7.06262     -2.31882   5      7.95756
     -2.83993      7.06262      2.31882   5      7.95756
     -3.34858     -5.29797      4.97751   1      8.00356
     -3.34858     -5.29797     -4.97751   1      8.00356
     -6.26749      0.00793     -4.97751   1      8.00356
     -6.26749      0.00793      4.97751   1      8.00356
     -1.24356      7.91744      0.00000   3      8.01451
      6.02160     -5.28892     -0.00000   3      8.01451
      3.37739      5.31382     -4.97751   1      8.02615
      3.37739      5.31382      4.97751   1      8.02615
      6.29630      0.00793     -4.97751   1      8.02615
      6.29630      0.00793      4.97751   1      8.02615
      1.23127     -8.00024     -0.00000   3      8.09444
