natx =      335
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -1.58673     -0.91609      2.42566   5      3.03986
     -1.58673     -0.91609     -2.42566   5      3.03986
      1.55875      2.69984      0.00000   3      3.11751
      3.11751      0.00000      0.00000   3      3.11751
      1.55875     -0.98994     -2.53708   4      3.13791
      1.55875     -0.98994      2.53708   4      3.13791
     -0.07794      1.84490     -2.53708   4      3.13791
     -0.07794      1.84490      2.53708   4      3.13791
      1.55875     -2.73213      0.00000   1      3.14551
     -1.58672      2.71599      0.00000   1      3.14552
     -1.58672     -2.74828     -0.00000   3      3.17344
     -3.17344      0.00000      0.00000   3      3.17344
      0.04997     -3.60323     -2.53708   4      4.40710
      0.04997     -3.60323      2.53708   4      4.40710
     -3.09551      1.84490     -2.53708   4      4.40711
     -3.09551      1.84490      2.53708   4      4.40711
      3.19544      1.84490     -2.53708   4      4.47786
      3.19544      1.84490      2.53708   4      4.47786
     -0.02012     -0.01162      4.90036   2      4.90042
     -0.02012     -0.01162     -4.90036   2      4.90042
      3.06753     -3.60323      2.53708   4      5.36934
      3.06753     -3.60323     -2.53708   4      5.36934
     -1.58673      4.45818     -2.53708   4      5.36935
     -1.58673      4.45818      2.53708   4      5.36935
      4.70422     -0.91609     -2.42566   5      5.37148
      4.70422     -0.91609      2.42566   5      5.37148
      1.55875      4.53203     -2.42566   5      5.37148
      1.55875      4.53203      2.42566   5      5.37148
      4.70423      2.71599      0.00000   1      5.43198
     -0.02797     -5.44812     -0.00000   3      5.44819
     -0.02797      5.44812      0.00000   3      5.44819
      4.70423     -2.74828      0.00000   3      5.44819
     -4.73220      2.69984      0.00000   3      5.44819
     -3.22342     -3.60323      2.53708   4      5.45989
     -3.22342     -3.60323     -2.53708   4      5.45989
     -4.73220     -0.98994      2.53708   4      5.45990
     -4.73220     -0.98994     -2.53708   4      5.45990
     -4.73220     -2.73213     -0.00000   1      5.46427
      1.55875      2.72308     -4.90036   2      5.81880
      1.55875      2.72308      4.90036   2      5.81880
      3.13763     -0.01162     -4.90036   2      5.81880
      3.13763     -0.01162      4.90036   2      5.81880
      1.55875     -2.73213     -4.90036   6      5.82304
      1.55875     -2.73213      4.90036   6      5.82304
     -1.58672      2.71599     -4.90036   6      5.82304
     -1.58672      2.71599      4.90036   6      5.82304
     -1.58672     -2.72505      4.90036   2      5.82727
     -1.58672     -2.72505     -4.90036   2      5.82727
     -3.15332     -0.01162      4.90036   2      5.82727
     -3.15332     -0.01162     -4.90036   2      5.82727
     -3.14548     -5.44812     -0.00000   3      6.29095
      3.14548      5.44812      0.00000   3      6.29095
     -3.14548      5.44812      0.00000   3      6.29095
      3.14548     -5.44812      0.00000   3      6.29095
     -6.29095      0.00000      0.00000   3      6.29095
      6.29095      0.00000      0.00000   3      6.29095
      6.21301      1.84490     -2.53708   4      6.96002
      6.21301      1.84490      2.53708   4      6.96002
      4.70422      4.45818     -2.53708   4      6.96002
      4.70422      4.45818      2.53708   4      6.96002
      1.55875     -6.36421      2.42566   5      6.98690
      1.55875     -6.36421     -2.42566   5      6.98690
     -4.73220      4.53203     -2.42566   5      6.98690
     -4.73220      4.53203      2.42566   5      6.98690
     -1.58673     -6.43806      2.53708   4      7.09951
     -1.58673     -6.43806     -2.53708   4      7.09951
     -6.36889      1.84490     -2.53708   4      7.09952
     -6.36889      1.84490      2.53708   4      7.09952
      4.70423      2.71599     -4.90036   6      7.31573
      4.70423      2.71599      4.90036   6      7.31573
     -0.00784      5.43651     -4.90036   2      7.31910
     -0.00784      5.43651      4.90036   2      7.31910
      4.70423     -2.72505     -4.90036   2      7.31910
      4.70423     -2.72505      4.90036   2      7.31910
     -0.00784     -5.45974      4.90036   2      7.33637
     -0.00784     -5.45974     -4.90036   2      7.33637
     -4.73220      2.72308     -4.90036   2      7.33637
     -4.73220      2.72308      4.90036   2      7.33637
     -4.73220     -2.73213      4.90036   6      7.33974
     -4.73220     -2.73213     -4.90036   6      7.33974
      1.55875     -0.98994      7.26365   4      7.49468
      1.55875     -0.98994     -7.26365   4      7.49468
     -0.07794      1.84490      7.26365   4      7.49468
     -0.07794      1.84490     -7.26365   4      7.49468
     -1.58673     -0.91609      7.37507   5      7.59925
     -1.58673     -0.91609     -7.37507   5      7.59925
     -6.24098     -3.60323      2.53708   4      7.64002
     -6.24098     -3.60323     -2.53708   4      7.64002
      6.34092     -3.60323     -2.53708   4      7.72187
      6.34092     -3.60323      2.53708   4      7.72187
      0.04997      7.29302     -2.53708   4      7.72188
      0.04997      7.29302      2.53708   4      7.72188
      3.12535      5.43651     -4.90036   2      7.95845
      3.12535      5.43651      4.90036   2      7.95845
      6.27083     -0.01162     -4.90036   2      7.95845
      6.27083     -0.01162      4.90036   2      7.95845
      3.12535     -5.45974      4.90036   2      7.97434
      3.12535     -5.45974     -4.90036   2      7.97434
     -3.16560      5.43651     -4.90036   2      7.97434
     -3.16560      5.43651      4.90036   2      7.97434
     -3.16560     -5.45974      4.90036   2      7.99020
     -3.16560     -5.45974     -4.90036   2      7.99020
     -6.31107     -0.01162      4.90036   2      7.99020
     -6.31107     -0.01162     -4.90036   2      7.99020
      0.04997     -3.60323      7.26365   4      8.10841
      0.04997     -3.60323     -7.26365   4      8.10841
     -3.09551      1.84490      7.26365   4      8.10841
     -3.09551      1.84490     -7.26365   4      8.10841
      3.19544      1.84490     -7.26365   4      8.14709
      3.19544      1.84490      7.26365   4      8.14709
     -4.73220     -6.36421     -2.42566   5      8.29342
     -4.73220     -6.36421      2.42566   5      8.29342
     -7.87768     -0.91609     -2.42566   5      8.29342
     -7.87768     -0.91609      2.42566   5      8.29342
     -1.58672      8.14796      0.00000   3      8.30102
      6.26299      5.44812      0.00000   3      8.30102
      6.26299     -5.44812      0.00000   3      8.30102
      7.84971      2.69984      0.00000   3      8.30103
      7.84970     -0.98994     -2.53708   4      8.30870
      7.84970     -0.98994      2.53708   4      8.30870
      3.06753      7.29302     -2.53708   4      8.30871
      3.06753      7.29302      2.53708   4      8.30871
      7.84970     -2.73213      0.00000   1      8.31158
      1.55875      8.16411      0.00000   1      8.31158
     -1.58672     -8.18025     -0.00000   1      8.33272
     -7.87767      2.71599      0.00000   1      8.33273
      1.55875     -8.19640     -0.00000   3      8.34330
     -6.31892     -5.44812     -0.00000   3      8.34330
     -6.31892      5.44812      0.00000   3      8.34330
     -7.87767     -2.74828     -0.00000   3      8.34330
      4.70422     -6.43806     -2.53708   4      8.36750
      4.70422     -6.43806      2.53708   4      8.36750
     -3.22342      7.29302     -2.53708   4      8.36752
     -3.22342      7.29302      2.53708   4      8.36752
      3.06753     -3.60323      7.26365   4      8.66912
      3.06753     -3.60323     -7.26365   4      8.66912
     -1.58673      4.45818     -7.26365   4      8.66912
     -1.58673      4.45818      7.26365   4      8.66912
     -3.22342     -3.60323      7.26365   4      8.72549
     -3.22342     -3.60323     -7.26365   4      8.72549
     -4.73220     -0.98994      7.26365   4      8.72550
     -4.73220     -0.98994     -7.26365   4      8.72550
      4.70422     -0.91609     -7.37507   5      8.79549
      4.70422     -0.91609      7.37507   5      8.79549
      1.55875      4.53203     -7.37507   5      8.79549
      1.55875      4.53203      7.37507   5      8.79549
      7.84970      4.53203     -2.42566   5      9.38301
      7.84970      4.53203      2.42566   5      9.38301
     -0.07794     -9.05135     -2.53708   4      9.40052
     -0.07794     -9.05135      2.53708   4      9.40052
     -7.87768      4.45818     -2.53708   4      9.40053
     -7.87768      4.45818      2.53708   4      9.40053
      4.70423      8.14796      0.00000   3      9.40846
      9.40846      0.00000      0.00000   3      9.40846
      4.70423     -8.18025     -0.00000   1      9.43644
     -4.73220      8.16411      0.00000   1      9.43644
     -4.73220     -8.19640     -0.00000   3      9.46439
     -9.46439      0.00000     -0.00000   3      9.46439
      6.28311      5.43651     -4.90036   2      9.64607
      6.28311      5.43651      4.90036   2      9.64607
