 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.25285000000000002       eV
 efermi =   -6.5429659899999999       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1342928749E+001   0.1463762516E-004   0.8485673751E-005   0.9973172417E+000   0.1467700000E-004   0.8508500000E-005
  -0.1339253819E+001   0.1799742503E-004   0.8513422313E-005   0.9973082697E+000   0.1804600000E-004   0.8536400000E-005
  -0.1335578888E+001   0.2136913076E-004   0.8541469049E-005   0.9972992375E+000   0.2142700000E-004   0.8564600000E-005
  -0.1331903957E+001   0.2475174409E-004   0.8569913669E-005   0.9972901444E+000   0.2481900000E-004   0.8593200000E-005
  -0.1328229026E+001   0.2814526410E-004   0.8598656424E-005   0.9972809900E+000   0.2822200000E-004   0.8622100000E-005
  -0.1324554095E+001   0.3154968982E-004   0.8627797021E-005   0.9972717734E+000   0.3163600000E-004   0.8651400000E-005
  -0.1320879164E+001   0.3496601757E-004   0.8657335438E-005   0.9972624942E+000   0.3506200000E-004   0.8681100000E-005
  -0.1317204233E+001   0.3839424634E-004   0.8687271655E-005   0.9972531516E+000   0.3850000000E-004   0.8711200000E-005
  -0.1313529302E+001   0.4183337786E-004   0.8717505922E-005   0.9972437451E+000   0.4194900000E-004   0.8741600000E-005
  -0.1309854371E+001   0.4528540561E-004   0.8748137944E-005   0.9972342739E+000   0.4541100000E-004   0.8772400000E-005
  -0.1306179440E+001   0.4874833406E-004   0.8779167698E-005   0.9972247374E+000   0.4888400000E-004   0.8803600000E-005
  -0.1302504510E+001   0.5222415662E-004   0.8810595160E-005   0.9972151349E+000   0.5237000000E-004   0.8835200000E-005
  -0.1298829579E+001   0.5571187496E-004   0.8842320585E-005   0.9972054657E+000   0.5586800000E-004   0.8867100000E-005
  -0.1295154648E+001   0.5921148801E-004   0.8874543392E-005   0.9971957292E+000   0.5937800000E-004   0.8899500000E-005
  -0.1291479717E+001   0.6272498903E-004   0.8907163834E-005   0.9971859246E+000   0.6290200000E-004   0.8932300000E-005
  -0.1287804786E+001   0.6625038248E-004   0.8940181886E-005   0.9971760511E+000   0.6643800000E-004   0.8965500000E-005
  -0.1284129855E+001   0.6978866441E-004   0.8973697241E-005   0.9971661082E+000   0.6998700000E-004   0.8999200000E-005
  -0.1280454924E+001   0.7334083078E-004   0.9007510437E-005   0.9971560949E+000   0.7355000000E-004   0.9033200000E-005
  -0.1276779993E+001   0.7690588322E-004   0.9041920596E-005   0.9971460107E+000   0.7712600000E-004   0.9067800000E-005
  -0.1273105062E+001   0.8048382051E-004   0.9076628545E-005   0.9971358547E+000   0.8071500000E-004   0.9102700000E-005
  -0.1269430131E+001   0.8407663567E-004   0.9111833685E-005   0.9971256262E+000   0.8431900000E-004   0.9138100000E-005
  -0.1265755201E+001   0.8768233316E-004   0.9147535985E-005   0.9971153243E+000   0.8793600000E-004   0.9174000000E-005
  -0.1262080270E+001   0.9130190881E-004   0.9183635706E-005   0.9971049484E+000   0.9156700000E-004   0.9210300000E-005
  -0.1258405339E+001   0.9493635839E-004   0.9220232528E-005   0.9970944975E+000   0.9521300000E-004   0.9247100000E-005
  -0.1254730408E+001   0.9858468345E-004   0.9257326419E-005   0.9970839709E+000   0.9887300000E-004   0.9284400000E-005
  -0.1251055477E+001   0.1022498739E-003   0.9294817642E-005   0.9970733678E+000   0.1025500000E-003   0.9322100000E-005
  -0.1247380546E+001   0.1059279399E-003   0.9332905577E-005   0.9970626872E+000   0.1062400000E-003   0.9360400000E-005
  -0.1243705615E+001   0.1096158890E-003   0.9371390781E-005   0.9970519284E+000   0.1099400000E-003   0.9399100000E-005
  -0.1240030684E+001   0.1133236904E-003   0.9410472629E-005   0.9970410906E+000   0.1136600000E-003   0.9438400000E-005
  -0.1236355753E+001   0.1170513423E-003   0.9450051383E-005   0.9970301727E+000   0.1174000000E-003   0.9478200000E-005
  -0.1232680822E+001   0.1207888729E-003   0.9490127008E-005   0.9970191740E+000   0.1211500000E-003   0.9518500000E-005
  -0.1229005892E+001   0.1245462510E-003   0.9530799169E-005   0.9970080935E+000   0.1249200000E-003   0.9559400000E-005
  -0.1225330961E+001   0.1283135049E-003   0.9571968129E-005   0.9969969303E+000   0.1287000000E-003   0.9600800000E-005
  -0.1221656030E+001   0.1321006031E-003   0.9613633851E-005   0.9969856836E+000   0.1325000000E-003   0.9642700000E-005
  -0.1217981099E+001   0.1358975740E-003   0.9655895996E-005   0.9969743522E+000   0.1363100000E-003   0.9685200000E-005
  -0.1214306168E+001   0.1397243554E-003   0.9698754524E-005   0.9969629354E+000   0.1401500000E-003   0.9728300000E-005
  -0.1210631237E+001   0.1435610062E-003   0.9742209394E-005   0.9969514321E+000   0.1440000000E-003   0.9772000000E-005
  -0.1206956306E+001   0.1474075249E-003   0.9786160870E-005   0.9969398413E+000   0.1478600000E-003   0.9816200000E-005
  -0.1203281375E+001   0.1512838486E-003   0.9830808298E-005   0.9969281620E+000   0.1517500000E-003   0.9861100000E-005
  -0.1199606444E+001   0.1551700366E-003   0.9875952249E-005   0.9969163932E+000   0.1556500000E-003   0.9906500000E-005
  -0.1195931513E+001   0.1590760565E-003   0.9921792064E-005   0.9969045339E+000   0.1595700000E-003   0.9952600000E-005
  -0.1192256582E+001   0.1630019063E-003   0.9968327695E-005   0.9968925831E+000   0.1635100000E-003   0.9999400000E-005
  -0.1188581652E+001   0.1669475840E-003   0.1001565878E-004   0.9968805396E+000   0.1674700000E-003   0.1004700000E-004
  -0.1184906721E+001   0.1709031189E-003   0.1006338652E-004   0.9968684024E+000   0.1714400000E-003   0.1009500000E-004
  -0.1181231790E+001   0.1748884465E-003   0.1011111214E-004   0.9968561704E+000   0.1754400000E-003   0.1014300000E-004
  -0.1177556859E+001   0.1788836275E-003   0.1016082929E-004   0.9968438425E+000   0.1794500000E-003   0.1019300000E-004
  -0.1173881928E+001   0.1828986285E-003   0.1021054421E-004   0.9968314175E+000   0.1834800000E-003   0.1024300000E-004
  -0.1170206997E+001   0.1869334472E-003   0.1026125370E-004   0.9968188943E+000   0.1875300000E-003   0.1029400000E-004
  -0.1166532066E+001   0.1909980497E-003   0.1031196088E-004   0.9968062717E+000   0.1916100000E-003   0.1034500000E-004
  -0.1162857135E+001   0.1950724974E-003   0.1036366252E-004   0.9967935485E+000   0.1957000000E-003   0.1039700000E-004
  -0.1159182204E+001   0.1991667564E-003   0.1041635856E-004   0.9967807236E+000   0.1998100000E-003   0.1045000000E-004
  -0.1155507273E+001   0.2032907919E-003   0.1047004893E-004   0.9967677956E+000   0.2039500000E-003   0.1050400000E-004
  -0.1151832343E+001   0.2074246663E-003   0.1052373679E-004   0.9967547635E+000   0.2081000000E-003   0.1055800000E-004
  -0.1148157412E+001   0.2115883123E-003   0.1057941562E-004   0.9967416258E+000   0.2122800000E-003   0.1061400000E-004
  -0.1144482481E+001   0.2157717600E-003   0.1063509183E-004   0.9967283813E+000   0.2164800000E-003   0.1067000000E-004
  -0.1140807550E+001   0.2199750068E-003   0.1069076540E-004   0.9967150287E+000   0.2207000000E-003   0.1072600000E-004
  -0.1137132619E+001   0.2242080174E-003   0.1074842969E-004   0.9967015666E+000   0.2249500000E-003   0.1078400000E-004
