natx =      536
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      1.70716     -0.92677     -0.31679   2      1.96816
     -0.97933      1.63213     -0.50512   1      1.96929
     -2.51309      0.49087     -0.14071   5      2.56444
      0.48830     -2.37950     -0.82396   5      2.56503
      0.55849      2.41858     -0.74442   6      2.59145
      2.54538      0.52865      0.14131   9      2.60354
     -1.01239      0.96066     -2.32470  10      2.71147
      1.62084     -1.55791      1.51845   7      2.71291
      1.62084     -0.33073     -2.16628   7      2.72567
     -1.01239      2.17155      1.36003  11      2.75504
     -2.02479     -1.88863     -0.96467   4      2.93211
      0.48830      0.49087      2.86077   5      2.94337
     -1.01239     -2.84930      1.36003  10      3.31559
     -2.02479      0.00000      2.72006   4      3.39094
      3.06768     -1.96393     -0.64064   8      3.69839
     -1.04546     -3.52077     -0.45955   1      3.70135
     -2.02354      2.96389     -0.92796   3      3.70682
     -1.04546      1.63213      3.22518   1      3.76280
      1.70716     -0.96187      3.36794   2      3.89648
     -3.73195     -0.96187     -0.64788   2      3.90799
      0.00000     -1.88863      3.68473   4      4.14055
      0.00000     -1.88863     -3.68473   4      4.14055
     -3.64563     -1.55791      1.20161   7      4.14265
      2.29760      3.09081      1.69898   8      4.20935
      3.06768      0.07530      3.04409   8      4.32236
     -3.64563     -0.33073     -2.48312   7      4.42334
      1.70716     -0.96187     -4.00153   2      4.45554
      0.48830      0.49087     -4.50869   5      4.56154
     -1.04546      1.63213     -4.14428   1      4.57514
     -0.00125      2.96389      3.64802   3      4.70029
      2.81989      2.63746     -2.76770   9      4.75059
     -0.00125      2.96389     -3.72144   3      4.75749
     -1.01239     -4.06018     -2.32470  11      4.78688
     -0.97933     -3.52077      3.17961   1      4.84405
     -0.00125     -4.85252     -0.03671   3      4.85266
     -3.73195     -0.92677      3.03686   2      4.89988
     -2.58328      2.41858      3.46449   6      4.95232
     -2.51309     -2.37950      3.54402   5      4.95356
      2.54538     -2.41728     -3.54343   9      4.98779
     -2.58328     -4.30721     -0.22025   6      5.02731
     -2.02479      0.00000     -4.64940   4      5.07116
     -5.09247      0.07530     -0.32403   8      5.10332
      3.74444      3.49683     -0.46011   7      5.14396
     -2.51309     -2.37950     -3.82544   5      5.15865
      2.54538     -2.41728      3.82604   9      5.19238
      4.80679      0.74753     -1.88197   6      5.21592
     -1.01239      0.96066      5.04476  10      5.23426
      0.55849     -4.30721      2.94031   6      5.24494
     -0.00125      5.25695     -0.03671   3      5.25708
     -2.58328      2.41858     -3.90498   6      5.26988
     -4.57017      0.52865      2.57875   9      5.27408
     -4.57017     -2.41728     -1.10598   9      5.28705
      3.06768      0.07530     -4.32537   8      5.30331
      2.81989     -4.52609      0.91703   9      5.41094
     -4.32239      3.09081      1.02108   8      5.41099
      1.62084     -0.33073      5.20318   7      5.45982
      5.36653      0.20221      1.09504   3      5.48084
     -0.97933     -3.52077     -4.18985   1      5.55965
      3.65811      4.12797      1.37513   2      5.68445
      4.80679     -2.63616      1.80276   6      5.77101
     -3.73195     -0.92677     -4.33261   2      5.79291
     -4.84468      2.63746     -1.88170   9      5.82820
      2.29760     -4.97944     -1.98575   8      5.83241
      4.87698      2.67524      1.88229   5      5.87238
     -2.02354     -4.85252      2.75677   3      5.93645
      3.65811      4.09287     -2.30960   2      5.95547
      2.29760      5.13003     -1.98575   8      5.96150
      2.81989      2.63746      4.60176   9      6.00701
     -3.64563     -0.33073      4.88634   7      6.10543
      0.55849     -4.30721     -4.42916   6      6.20334
      1.62084     -1.55791     -5.85101   7      6.26806
     -2.02354      5.25695      2.75677   3      6.27137
      5.36653     -2.09085     -2.58969   3      6.31488
      2.81989      5.58339      0.91703   9      6.32194
     -2.58328      5.80227     -0.22025   6      6.35517
     -5.09247     -1.96393      3.36070   8      6.40972
     -1.01239      2.17155     -6.00943  11      6.46945
      0.55849      5.80227      2.94031   6      6.52868
     -1.01239     -4.06018      5.04476  11      6.55436
     -1.01239      6.04930     -2.32470  11      6.55921
     -4.57017      0.52865     -4.79071   9      6.64205
