 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    7.9574999999999996       eV
 efermi =   -7.0650813100000001       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1362116126E+001   0.2058616565E-004   0.2414043990E-004   0.9174688318E+000   0.2243800000E-004   0.2631200000E-004
  -0.1358441195E+001   0.2079395617E-004   0.2432060967E-004   0.9172050712E+000   0.2267100000E-004   0.2651600000E-004
  -0.1354766264E+001   0.2100250286E-004   0.2450429542E-004   0.9169396579E+000   0.2290500000E-004   0.2672400000E-004
  -0.1351091333E+001   0.2121088675E-004   0.2468965918E-004   0.9166725766E+000   0.2313900000E-004   0.2693400000E-004
  -0.1347416402E+001   0.2142002270E-004   0.2487761428E-004   0.9164038119E+000   0.2337400000E-004   0.2714700000E-004
  -0.1343741471E+001   0.2162899222E-004   0.2506907294E-004   0.9161333484E+000   0.2360900000E-004   0.2736400000E-004
  -0.1340066541E+001   0.2183870960E-004   0.2526219865E-004   0.9158611701E+000   0.2384500000E-004   0.2758300000E-004
  -0.1336391610E+001   0.2204917242E-004   0.2545790380E-004   0.9155872612E+000   0.2408200000E-004   0.2780500000E-004
  -0.1332716679E+001   0.2225946293E-004   0.2565618430E-004   0.9153116054E+000   0.2431900000E-004   0.2803000000E-004
  -0.1329041748E+001   0.2246957949E-004   0.2585703604E-004   0.9150341866E+000   0.2455600000E-004   0.2825800000E-004
  -0.1325366817E+001   0.2268043517E-004   0.2606136961E-004   0.9147549880E+000   0.2479400000E-004   0.2849000000E-004
  -0.1321691886E+001   0.2289202747E-004   0.2626735098E-004   0.9144739930E+000   0.2503300000E-004   0.2872400000E-004
  -0.1318016955E+001   0.2310343962E-004   0.2647680509E-004   0.9141911846E+000   0.2527200000E-004   0.2896200000E-004
  -0.1314342024E+001   0.2331466989E-004   0.2668972676E-004   0.9139065457E+000   0.2551100000E-004   0.2920400000E-004
  -0.1310667093E+001   0.2352663013E-004   0.2690428349E-004   0.9136200588E+000   0.2575100000E-004   0.2944800000E-004
  -0.1306992162E+001   0.2373840438E-004   0.2712229835E-004   0.9133317064E+000   0.2599100000E-004   0.2969600000E-004
  -0.1303317232E+001   0.2395090386E-004   0.2734376596E-004   0.9130414707E+000   0.2623200000E-004   0.2994800000E-004
  -0.1299642301E+001   0.2416321311E-004   0.2756776812E-004   0.9127493337E+000   0.2647300000E-004   0.3020300000E-004
  -0.1295967370E+001   0.2437533027E-004   0.2779521265E-004   0.9124552770E+000   0.2671400000E-004   0.3046200000E-004
  -0.1292292439E+001   0.2458816562E-004   0.2802518179E-004   0.9121592824E+000   0.2695600000E-004   0.3072400000E-004
  -0.1288617508E+001   0.2479989262E-004   0.2825858265E-004   0.9118613309E+000   0.2719700000E-004   0.3099000000E-004
  -0.1284942577E+001   0.2501324492E-004   0.2849540948E-004   0.9115614038E+000   0.2744000000E-004   0.3126000000E-004
