 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.86458999999999986       eV
 efermi =   -5.6989301799999996       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1311911017E+001  -0.4080431797E-003   0.1412129425E-004   0.9908289537E+000  -0.4118200000E-003   0.1425200000E-004
  -0.1308236086E+001  -0.4063957380E-003   0.1407329903E-004   0.9907982984E+000  -0.4101700000E-003   0.1420400000E-004
  -0.1304561155E+001  -0.4047483135E-003   0.1402530384E-004   0.9907674375E+000  -0.4085200000E-003   0.1415600000E-004
  -0.1300886224E+001  -0.4031108138E-003   0.1397730869E-004   0.9907363689E+000  -0.4068800000E-003   0.1410800000E-004
  -0.1297211293E+001  -0.4014832380E-003   0.1393030428E-004   0.9907050906E+000  -0.4052500000E-003   0.1406100000E-004
  -0.1293536362E+001  -0.3998556786E-003   0.1388329984E-004   0.9906736004E+000  -0.4036200000E-003   0.1401400000E-004
  -0.1289861432E+001  -0.3982380423E-003   0.1383629536E-004   0.9906418962E+000  -0.4020000000E-003   0.1396700000E-004
  -0.1286186501E+001  -0.3966303282E-003   0.1379028147E-004   0.9906099758E+000  -0.4003900000E-003   0.1392100000E-004
  -0.1282511570E+001  -0.3950226298E-003   0.1374525807E-004   0.9905778369E+000  -0.3987800000E-003   0.1387600000E-004
  -0.1278836639E+001  -0.3934149473E-003   0.1369924395E-004   0.9905454774E+000  -0.3971700000E-003   0.1383000000E-004
  -0.1275161708E+001  -0.3918171858E-003   0.1365422026E-004   0.9905128949E+000  -0.3955700000E-003   0.1378500000E-004
  -0.1271486777E+001  -0.3902194399E-003   0.1361018688E-004   0.9904800870E+000  -0.3939700000E-003   0.1374100000E-004
  -0.1267811846E+001  -0.3886316141E-003   0.1356615327E-004   0.9904470516E+000  -0.3923800000E-003   0.1369700000E-004
  -0.1264136915E+001  -0.3870537076E-003   0.1352211942E-004   0.9904137862E+000  -0.3908000000E-003   0.1365300000E-004
  -0.1260461984E+001  -0.3854758158E-003   0.1347907572E-004   0.9903802883E+000  -0.3892200000E-003   0.1361000000E-004
  -0.1256787053E+001  -0.3838979388E-003   0.1343603172E-004   0.9903465556E+000  -0.3876400000E-003   0.1356700000E-004
  -0.1253112123E+001  -0.3823299799E-003   0.1339397772E-004   0.9903125855E+000  -0.3860700000E-003   0.1352500000E-004
  -0.1249437192E+001  -0.3807719382E-003   0.1335192334E-004   0.9902783756E+000  -0.3845100000E-003   0.1348300000E-004
  -0.1245762261E+001  -0.3792139104E-003   0.1330986857E-004   0.9902439233E+000  -0.3829500000E-003   0.1344100000E-004
  -0.1242087330E+001  -0.3776558967E-003   0.1326880363E-004   0.9902092260E+000  -0.3813900000E-003   0.1340000000E-004
  -0.1238412399E+001  -0.3761077990E-003   0.1322773822E-004   0.9901742812E+000  -0.3798400000E-003   0.1335900000E-004
  -0.1234737468E+001  -0.3745696162E-003   0.1318766249E-004   0.9901390860E+000  -0.3783000000E-003   0.1331900000E-004
  -0.1231062537E+001  -0.3730314466E-003   0.1314758621E-004   0.9901036379E+000  -0.3767600000E-003   0.1327900000E-004
  -0.1227387606E+001  -0.3714932902E-003   0.1310750938E-004   0.9900679341E+000  -0.3752200000E-003   0.1323900000E-004
  -0.1223712675E+001  -0.3699650476E-003   0.1306842203E-004   0.9900319719E+000  -0.3736900000E-003   0.1320000000E-004
  -0.1220037744E+001  -0.3684368177E-003   0.1302933404E-004   0.9899957483E+000  -0.3721600000E-003   0.1316100000E-004
  -0.1216362814E+001  -0.3669185004E-003   0.1299123538E-004   0.9899592606E+000  -0.3706400000E-003   0.1312300000E-004
  -0.1212687883E+001  -0.3654001954E-003   0.1295313599E-004   0.9899225059E+000  -0.3691200000E-003   0.1308500000E-004
  -0.1209012952E+001  -0.3638819029E-003   0.1291602576E-004   0.9898854811E+000  -0.3676000000E-003   0.1304800000E-004
  -0.1205338021E+001  -0.3623735215E-003   0.1287891471E-004   0.9898481835E+000  -0.3660900000E-003   0.1301100000E-004
  -0.1201663090E+001  -0.3608750502E-003   0.1284180285E-004   0.9898106098E+000  -0.3645900000E-003   0.1297400000E-004
  -0.1197988159E+001  -0.3593765903E-003   0.1280567993E-004   0.9897727570E+000  -0.3630900000E-003   0.1293800000E-004
  -0.1194313228E+001  -0.3578781420E-003   0.1276955609E-004   0.9897346221E+000  -0.3615900000E-003   0.1290200000E-004
  -0.1190638297E+001  -0.3563896023E-003   0.1273343133E-004   0.9896962018E+000  -0.3601000000E-003   0.1286600000E-004
  -0.1186963366E+001  -0.3549010735E-003   0.1269829529E-004   0.9896574929E+000  -0.3586100000E-003   0.1283100000E-004
  -0.1183288435E+001  -0.3534125559E-003   0.1266414784E-004   0.9896184922E+000  -0.3571200000E-003   0.1279700000E-004
  -0.1179613505E+001  -0.3519339454E-003   0.1262900970E-004   0.9895791963E+000  -0.3556400000E-003   0.1276200000E-004
  -0.1175938574E+001  -0.3504553454E-003   0.1259486005E-004   0.9895396019E+000  -0.3541600000E-003   0.1272800000E-004
  -0.1172263643E+001  -0.3489866512E-003   0.1256169876E-004   0.9894997057E+000  -0.3526900000E-003   0.1269500000E-004
  -0.1168588712E+001  -0.3475179670E-003   0.1252853624E-004   0.9894595040E+000  -0.3512200000E-003   0.1266200000E-004
  -0.1164913781E+001  -0.3460591871E-003   0.1249537247E-004   0.9894189934E+000  -0.3497600000E-003   0.1262900000E-004
  -0.1161238850E+001  -0.3445905230E-003   0.1246319681E-004   0.9893781704E+000  -0.3482900000E-003   0.1259700000E-004
  -0.1157563919E+001  -0.3431416559E-003   0.1243101980E-004   0.9893370312E+000  -0.3468400000E-003   0.1256500000E-004
  -0.1153888988E+001  -0.3416829048E-003   0.1239983070E-004   0.9892955723E+000  -0.3453800000E-003   0.1253400000E-004
  -0.1150214057E+001  -0.3402340559E-003   0.1236864013E-004   0.9892537898E+000  -0.3439300000E-003   0.1250300000E-004
  -0.1146539126E+001  -0.3387852162E-003   0.1233744807E-004   0.9892116800E+000  -0.3424800000E-003   0.1247200000E-004
  -0.1142864196E+001  -0.3373462773E-003   0.1230724367E-004   0.9891692390E+000  -0.3410400000E-003   0.1244200000E-004
  -0.1139189265E+001  -0.3359073468E-003   0.1227703766E-004   0.9891264629E+000  -0.3396000000E-003   0.1241200000E-004
  -0.1135514334E+001  -0.3344684249E-003   0.1224683001E-004   0.9890833477E+000  -0.3381600000E-003   0.1238200000E-004
  -0.1131839403E+001  -0.3330394020E-003   0.1221760975E-004   0.9890398894E+000  -0.3367300000E-003   0.1235300000E-004
  -0.1128164472E+001  -0.3316103869E-003   0.1218838774E-004   0.9889960838E+000  -0.3353000000E-003   0.1232400000E-004
  -0.1124489541E+001  -0.3301813798E-003   0.1216015289E-004   0.9889519268E+000  -0.3338700000E-003   0.1229600000E-004
  -0.1120814610E+001  -0.3287622698E-003   0.1213191616E-004   0.9889074141E+000  -0.3324500000E-003   0.1226800000E-004
  -0.1117139679E+001  -0.3273431671E-003   0.1210466637E-004   0.9888625414E+000  -0.3310300000E-003   0.1224100000E-004
  -0.1113464748E+001  -0.3259240717E-003   0.1207642574E-004   0.9888173044E+000  -0.3296100000E-003   0.1221300000E-004
  -0.1109789817E+001  -0.3245148714E-003   0.1205016069E-004   0.9887716985E+000  -0.3282000000E-003   0.1218700000E-004
  -0.1106114887E+001  -0.3231056778E-003   0.1202290475E-004   0.9887257193E+000  -0.3267900000E-003   0.1216000000E-004
  -0.1102439956E+001  -0.3216964908E-003   0.1199663538E-004   0.9886793621E+000  -0.3253800000E-003   0.1213400000E-004
  -0.1098765025E+001  -0.3202971970E-003   0.1197135242E-004   0.9886326223E+000  -0.3239800000E-003   0.1210900000E-004
  -0.1095090094E+001  -0.3188979090E-003   0.1194606712E-004   0.9885854951E+000  -0.3225800000E-003   0.1208400000E-004
  -0.1091415163E+001  -0.3174986270E-003   0.1192077945E-004   0.9885379756E+000  -0.3211800000E-003   0.1205900000E-004
  -0.1087740232E+001  -0.3160993511E-003   0.1189647786E-004   0.9884900591E+000  -0.3197800000E-003   0.1203500000E-004
  -0.1084065301E+001  -0.3147099657E-003   0.1187217374E-004   0.9884417404E+000  -0.3183900000E-003   0.1201100000E-004
  -0.1080390370E+001  -0.3133205856E-003   0.1184786706E-004   0.9883930145E+000  -0.3170000000E-003   0.1198700000E-004
  -0.1076715439E+001  -0.3119312108E-003   0.1182454614E-004   0.9883438762E+000  -0.3156100000E-003   0.1196400000E-004
  -0.1073040508E+001  -0.3105517243E-003   0.1180122248E-004   0.9882943203E+000  -0.3142300000E-003   0.1194100000E-004
  -0.1069365578E+001  -0.3091623598E-003   0.1177888431E-004   0.9882443414E+000  -0.3128400000E-003   0.1191900000E-004
  -0.1065690647E+001  -0.3077828827E-003   0.1175654323E-004   0.9881939341E+000  -0.3114600000E-003   0.1189700000E-004
  -0.1062015716E+001  -0.3064132917E-003   0.1173419923E-004   0.9881430928E+000  -0.3100900000E-003   0.1187500000E-004
  -0.1058340785E+001  -0.3050338233E-003   0.1171284034E-004   0.9880918120E+000  -0.3087100000E-003   0.1185400000E-004
  -0.1054665854E+001  -0.3036642400E-003   0.1169147834E-004   0.9880400859E+000  -0.3073400000E-003   0.1183300000E-004
  -0.1050990923E+001  -0.3022946604E-003   0.1167011318E-004   0.9879879087E+000  -0.3059700000E-003   0.1181200000E-004
  -0.1047315992E+001  -0.3009250846E-003   0.1164973276E-004   0.9879352744E+000  -0.3046000000E-003   0.1179200000E-004
  -0.1043641061E+001  -0.2995653914E-003   0.1163033687E-004   0.9878821770E+000  -0.3032400000E-003   0.1177300000E-004
  -0.1039966130E+001  -0.2981958226E-003   0.1161093749E-004   0.9878286105E+000  -0.3018700000E-003   0.1175400000E-004
  -0.1036291199E+001  -0.2968361356E-003   0.1159153456E-004   0.9877745685E+000  -0.3005100000E-003   0.1173500000E-004
  -0.1032616269E+001  -0.2954863286E-003   0.1157212804E-004   0.9877200447E+000  -0.2991600000E-003   0.1171600000E-004
  -0.1028941338E+001  -0.2941266467E-003   0.1155370555E-004   0.9876650326E+000  -0.2978000000E-003   0.1169800000E-004
  -0.1025266407E+001  -0.2927669678E-003   0.1153626687E-004   0.9876095257E+000  -0.2964400000E-003   0.1168100000E-004
  -0.1021591476E+001  -0.2914171674E-003   0.1151882422E-004   0.9875535172E+000  -0.2950900000E-003   0.1166400000E-004
  -0.1017916545E+001  -0.2900673689E-003   0.1150137756E-004   0.9874970003E+000  -0.2937400000E-003   0.1164700000E-004
  -0.1014241614E+001  -0.2887175723E-003   0.1148491427E-004   0.9874399681E+000  -0.2923900000E-003   0.1163100000E-004
  -0.1010566683E+001  -0.2873776514E-003   0.1146844673E-004   0.9873824134E+000  -0.2910500000E-003   0.1161500000E-004
  -0.1006891752E+001  -0.2860278582E-003   0.1145197489E-004   0.9873243292E+000  -0.2897000000E-003   0.1159900000E-004
  -0.1003216821E+001  -0.2846879396E-003   0.1143648596E-004   0.9872657080E+000  -0.2883600000E-003   0.1158400000E-004
  -0.9995418905E+000  -0.2833480218E-003   0.1142099249E-004   0.9872065423E+000  -0.2870200000E-003   0.1156900000E-004
  -0.9958669596E+000  -0.2820081049E-003   0.1140648156E-004   0.9871468246E+000  -0.2856800000E-003   0.1155500000E-004
  -0.9921920287E+000  -0.2806681888E-003   0.1139196584E-004   0.9870865471E+000  -0.2843400000E-003   0.1154100000E-004
  -0.9885170978E+000  -0.2793381439E-003   0.1137843229E-004   0.9870257019E+000  -0.2830100000E-003   0.1152800000E-004
  -0.9848421669E+000  -0.2779982290E-003   0.1136489369E-004   0.9869642809E+000  -0.2816700000E-003   0.1151500000E-004
  -0.9811672360E+000  -0.2766681840E-003   0.1135233688E-004   0.9869022759E+000  -0.2803400000E-003   0.1150300000E-004
  -0.9774923051E+000  -0.2753381387E-003   0.1133977475E-004   0.9868396786E+000  -0.2790100000E-003   0.1149100000E-004
  -0.9738173742E+000  -0.2740080931E-003   0.1132720722E-004   0.9867764804E+000  -0.2776800000E-003   0.1147900000E-004
  -0.9701424433E+000  -0.2726780471E-003   0.1131562093E-004   0.9867126727E+000  -0.2763500000E-003   0.1146800000E-004
  -0.9664675124E+000  -0.2713480008E-003   0.1130402896E-004   0.9866482466E+000  -0.2750200000E-003   0.1145700000E-004
  -0.9627925815E+000  -0.2700179541E-003   0.1129341781E-004   0.9865831930E+000  -0.2736900000E-003   0.1144700000E-004
  -0.9591176506E+000  -0.2686977722E-003   0.1128280068E-004   0.9865175028E+000  -0.2723700000E-003   0.1143700000E-004
  -0.9554427197E+000  -0.2673677242E-003   0.1127316393E-004   0.9864511665E+000  -0.2710400000E-003   0.1142800000E-004
  -0.9517677888E+000  -0.2660475396E-003   0.1126352089E-004   0.9863841747E+000  -0.2697200000E-003   0.1141900000E-004
  -0.9480928579E+000  -0.2647273533E-003   0.1125387146E-004   0.9863165175E+000  -0.2684000000E-003   0.1141000000E-004
  -0.9444179270E+000  -0.2634071652E-003   0.1124520180E-004   0.9862481849E+000  -0.2670800000E-003   0.1140200000E-004
  -0.9407429961E+000  -0.2620869754E-003   0.1123751161E-004   0.9861791669E+000  -0.2657600000E-003   0.1139500000E-004
  -0.9370680652E+000  -0.2607667838E-003   0.1122981445E-004   0.9861094531E+000  -0.2644400000E-003   0.1138800000E-004
  -0.9333931343E+000  -0.2594465903E-003   0.1122309627E-004   0.9860390329E+000  -0.2631200000E-003   0.1138200000E-004
  -0.9297182034E+000  -0.2581263950E-003   0.1121637078E-004   0.9859678955E+000  -0.2618000000E-003   0.1137600000E-004
  -0.9260432725E+000  -0.2568160568E-003   0.1120963786E-004   0.9858960299E+000  -0.2604900000E-003   0.1137000000E-004
  -0.9223683416E+000  -0.2554958570E-003   0.1120388322E-004   0.9858234249E+000  -0.2591700000E-003   0.1136500000E-004
  -0.9186934107E+000  -0.2541756553E-003   0.1119910653E-004   0.9857500689E+000  -0.2578500000E-003   0.1136100000E-004
  -0.9150184798E+000  -0.2528653083E-003   0.1119432177E-004   0.9856759505E+000  -0.2565400000E-003   0.1135700000E-004
  -0.9113435489E+000  -0.2515451019E-003   0.1118952880E-004   0.9856010574E+000  -0.2552200000E-003   0.1135300000E-004
  -0.9076686180E+000  -0.2502347486E-003   0.1118571304E-004   0.9855253777E+000  -0.2539100000E-003   0.1135000000E-004
  -0.9039936871E+000  -0.2489243918E-003   0.1118287410E-004   0.9854488987E+000  -0.2526000000E-003   0.1134800000E-004
  -0.9003187562E+000  -0.2476041776E-003   0.1118002626E-004   0.9853716079E+000  -0.2512800000E-003   0.1134600000E-004
  -0.8966438253E+000  -0.2462938142E-003   0.1117815467E-004   0.9852934922E+000  -0.2499700000E-003   0.1134500000E-004
  -0.8929688944E+000  -0.2449834471E-003   0.1117627372E-004   0.9852145383E+000  -0.2486600000E-003   0.1134400000E-004
  -0.8892939635E+000  -0.2436632248E-003   0.1117536841E-004   0.9851347328E+000  -0.2473400000E-003   0.1134400000E-004
  -0.8856190326E+000  -0.2423528508E-003   0.1117543833E-004   0.9850540616E+000  -0.2460300000E-003   0.1134500000E-004
  -0.8819441017E+000  -0.2410424728E-003   0.1117549811E-004   0.9849725108E+000  -0.2447200000E-003   0.1134600000E-004
  -0.8782691708E+000  -0.2397222420E-003   0.1117554758E-004   0.9848900658E+000  -0.2434000000E-003   0.1134700000E-004
  -0.8745942399E+000  -0.2384118569E-003   0.1117755618E-004   0.9848067119E+000  -0.2420900000E-003   0.1135000000E-004
  -0.8709193090E+000  -0.2370916204E-003   0.1117955379E-004   0.9847224340E+000  -0.2407700000E-003   0.1135300000E-004
  -0.8672443781E+000  -0.2357812279E-003   0.1118154023E-004   0.9846372166E+000  -0.2394600000E-003   0.1135600000E-004
  -0.8635694472E+000  -0.2344708311E-003   0.1118449986E-004   0.9845510439E+000  -0.2381500000E-003   0.1136000000E-004
  -0.8598945163E+000  -0.2331505854E-003   0.1118843222E-004   0.9844638998E+000  -0.2368300000E-003   0.1136500000E-004
  -0.8562195854E+000  -0.2318401808E-003   0.1119333686E-004   0.9843757678E+000  -0.2355200000E-003   0.1137100000E-004
  -0.8525446545E+000  -0.2305199290E-003   0.1119822900E-004   0.9842866311E+000  -0.2342000000E-003   0.1137700000E-004
  -0.8488697236E+000  -0.2291996745E-003   0.1120409264E-004   0.9841964722E+000  -0.2328800000E-003   0.1138400000E-004
