 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    2.0000000000000000E-002  eV
 efermi =   -5.6992884500000001       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1311924184E+001  -0.3563843568E+005   0.5046628845E+003   0.9997877934E+000  -0.3564600000E+005   0.5047700000E+003
  -0.1308249253E+001  -0.3319693033E+005   0.4722794226E+003   0.9997870837E+000  -0.3320400000E+005   0.4723800000E+003
  -0.1304574322E+001  -0.3091239475E+005   0.4418255923E+003   0.9997863692E+000  -0.3091900000E+005   0.4419200000E+003
  -0.1300899392E+001  -0.2877583058E+005   0.4132214070E+003   0.9997856499E+000  -0.2878200000E+005   0.4133100000E+003
  -0.1297224461E+001  -0.2677823945E+005   0.3863668846E+003   0.9997849258E+000  -0.2678400000E+005   0.3864500000E+003
  -0.1293549530E+001  -0.2490962326E+005   0.3611320497E+003   0.9997841967E+000  -0.2491500000E+005   0.3612100000E+003
  -0.1289874599E+001  -0.2316398305E+005   0.3374569122E+003   0.9997834627E+000  -0.2316900000E+005   0.3375300000E+003
  -0.1286199668E+001  -0.2153332030E+005   0.3152214949E+003   0.9997827237E+000  -0.2153800000E+005   0.3152900000E+003
  -0.1282524737E+001  -0.2000963654E+005   0.2943658082E+003   0.9997819796E+000  -0.2001400000E+005   0.2944300000E+003
  -0.1278849806E+001  -0.1858793263E+005   0.2748098668E+003   0.9997812304E+000  -0.1859200000E+005   0.2748700000E+003
  -0.1275174875E+001  -0.1725921036E+005   0.2564536899E+003   0.9997804760E+000  -0.1726300000E+005   0.2565100000E+003
  -0.1271499944E+001  -0.1602146995E+005   0.2392472861E+003   0.9997797164E+000  -0.1602500000E+005   0.2393000000E+003
  -0.1267825013E+001  -0.1486571323E+005   0.2231206686E+003   0.9997789515E+000  -0.1486900000E+005   0.2231700000E+003
  -0.1264150083E+001  -0.1378794090E+005   0.2080038506E+003   0.9997781813E+000  -0.1379100000E+005   0.2080500000E+003
  -0.1260475152E+001  -0.1278415369E+005   0.1938368434E+003   0.9997774057E+000  -0.1278700000E+005   0.1938800000E+003
  -0.1256800221E+001  -0.1184835278E+005   0.1805796539E+003   0.9997766247E+000  -0.1185100000E+005   0.1806200000E+003
  -0.1253125290E+001  -0.1097653893E+005   0.1681622960E+003   0.9997758381E+000  -0.1097900000E+005   0.1682000000E+003
