natx =      708
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      1.45620      0.43308      0.07064   5      1.52087
     -0.41799     -1.21334      1.13281   4      1.71177
     -1.51125      0.77900     -1.01248   1      1.97885
      2.03366     -0.19676      1.25877   8      2.39979
      2.14582     -0.02544     -1.16696   7      2.44274
      1.53281      1.92893      0.10943  10      2.46622
     -2.66328     -0.02544      0.39590   7      2.69267
     -0.47933     -1.91427      1.84809   6      2.70363
     -0.35923      1.58345     -2.42085   7      2.91494
     -1.30847     -1.72463      2.34763   3      3.19340
     -1.07444      3.00971      0.14178   6      3.19889
     -1.94807     -1.45170     -2.16674   6      3.25533
     -2.00940     -2.15264     -1.45146   4      3.28303
     -1.11893     -1.64135     -2.66628   3      3.32491
      0.23588     -3.34053     -0.71455   7      3.42423
     -0.24707      1.75477      2.97005   8      3.45853
      0.59574      3.24099      1.26126   2      3.52842
      1.19085     -1.68299      2.96756   2      3.61345
      0.25379     -0.37092     -3.69723  10      3.72445
     -3.35291      0.43308      1.63349   5      3.75471
     -1.90358      3.19935      0.64132   3      3.77767
      0.33040      1.12493     -3.65844   5      3.84172
     -1.01310      3.71064     -0.57349   4      3.88898
     -3.02251      1.55801     -2.02495   9      3.95770
     -2.77544     -0.19676      2.82162   8      3.96274
      3.50064     -1.72463      0.78477   3      3.98054
      2.12792     -2.99506      1.81573  10      4.09820
      0.25379     -0.37092      4.11939  10      4.14384
     -3.27630      1.92893      1.67228  10      4.15348
     -2.42740     -3.36597     -0.31865   9      4.16216
      3.29785      0.77900     -2.57533   1      4.25617
      1.78660      1.55801     -3.58781   9      4.30019
     -0.91614     -4.14498      0.69383   1      4.30134
      0.33040      1.12493      4.15818   5      4.32031
      0.92551     -3.79905     -1.95214   5      4.37038
      2.90553      3.19935     -0.92153   3      4.41895
      0.34804     -3.16921     -3.14027   8      4.47508
      2.38171     -3.36597     -1.88150   9      4.53237
      4.39111     -1.21334     -0.43005   4      4.57591
      2.79970     -2.15264     -3.01431   4      4.64309
      2.20459      2.77134      3.09601   4      4.70381
      4.32977     -1.91427      0.28523   6      4.74265
      2.26593      3.47228      2.38073   6      4.78111
      1.78660      1.55801      4.22882   9      4.84791
      3.09507      3.28264      1.88119   3      4.88815
      2.86104     -1.45170     -3.72959   6      4.91964
     -2.60451      2.77134     -3.15776   4      4.94321
      1.43855      4.72722     -0.44753   8      4.96148
      3.73466      3.00971     -1.42107   6      5.00255
     -4.55532     -0.37092     -2.13438  10      5.04421
     -4.80911      0.00000      1.56285   9      5.05668
      4.80911      0.00000     -1.56285   9      5.05668
     -1.71404      3.28264      3.44405   3      5.05718
     -4.47871      1.12493     -2.09559   5      5.07107
      4.56204      1.75477      1.40719   8      5.08641
     -0.24707      1.75477     -4.84658   8      5.16038
     -0.34132      4.55306      2.41309  10      5.16429
     -3.61825     -1.68299     -3.28621   2      5.16946
      2.86104     -1.45170      4.08703   6      5.19585
      0.59511     -4.92398      1.70630   9      5.24511
     -0.59511      4.92398     -1.70630   9      5.24511
      2.05131     -4.49090      1.77694   5      5.24724
     -2.68119     -2.99506      3.37858  10      5.25109
      1.19085     -1.68299     -4.84906   2      5.26916
      3.69018     -1.64135      3.58749   3      5.40199
     -3.88360     -3.79905     -0.38929   5      5.44671
     -5.16833      1.58345     -0.85800   7      5.47313
     -1.11893     -1.64135      5.15035   3      5.52015
     -0.35923      1.58345      5.39577   7      5.63478
      0.34804     -3.16921      4.67635   8      5.65980
      0.86109      5.35706     -1.63567   5      5.66701
      2.74094     -4.94942      0.53935   7      5.68335
      5.06290     -0.37092      2.55654  10      5.68387
     -4.46106     -3.16921     -1.57742   8      5.69502
     -2.77544     -0.19676     -4.99500   8      5.71768
      0.84890     -5.29490     -1.99093  10      5.72017
      3.79600      3.71064     -2.13635   4      5.72210
     -4.57322     -3.34053      0.84831   7      5.72653
     -1.71404      3.28264     -4.37258   3      5.73001
      3.89296     -4.14498     -0.86903   1      5.75250
     -2.06817     -4.94942      2.10220   7      5.76137
     -2.54318      3.47228     -3.87304   6      5.79007
     -2.54318      3.47228      3.94359   6      5.83749
      3.69018     -1.64135     -4.22913   3      5.84782
      5.13951      1.12493      2.59533   5      5.86649
     -1.30847     -1.72463     -5.46900   3      5.88187
      1.55071      4.89854     -2.87326   7      5.88693
      2.20459      2.77134     -4.72061   4      5.90125
     -3.37055      4.72722      1.11532   8      5.91195
      2.79970     -2.15264      4.80231   4      5.96107
     -2.68119     -2.99506     -4.43804  10      5.98793
     -5.22710     -1.21334      2.69566   4      6.00511
     -2.60451      2.77134      4.65886   4      6.01405
     -4.21336      3.24099      2.82411   2      6.01931
     -3.25839      4.89854     -1.31040   7      6.02743
     -3.61825     -1.68299      4.53041   2      6.03729
      4.44988      1.58345      3.83292   7      6.08276
     -1.94807     -1.45170      5.64989   6      6.15009
      4.44988      1.58345     -3.98370   7      6.17889
     -2.75780     -4.49090      3.33979   5      6.23922
      3.29785      0.77900      5.24129   1      6.24130
     -5.92803     -1.64135     -1.10342   3      6.24925
     -5.05617      1.75477     -3.28372   8      6.27909
     -0.47933     -1.91427     -5.96854   6      6.28631
      5.40485      3.24099     -0.30160   2      6.30931
      5.99996     -1.68299      1.40471   2      6.38789
     -6.32036      0.77900      0.55038   1      6.39193
      4.46779      4.55306      0.85024  10      6.43540
      6.26530      0.43308     -1.49222   5      6.45510
     -2.18033     -5.12074     -3.28870   8      6.46463
      5.04499     -3.34053     -2.27740   7      6.46511
      2.62878     -5.12074      2.96507   8      6.47488
     -0.26471      6.04891      2.45188   5      6.53231
     -1.35296     -6.37568     -0.46043   6      6.53390
     -5.28844     -1.91427      3.41094   6      6.57773
     -3.96021     -5.29490     -0.42808  10      6.62589
     -3.94802      5.35706     -0.07281   5      6.65509
     -0.52382     -6.56533     -0.95997   3      6.65578
     -2.10636      5.70298     -2.71878   1      6.65977
     -3.02251      1.55801      5.79167   9      6.71613
      0.17712     -6.13732      2.83911   4      6.76451
      6.34191      1.92893     -1.45343  10      6.78624
     -0.41799     -1.21334     -6.68381   4      6.80590
      5.15715     -3.16921      3.11350   8      6.80690
     -5.88355      3.00971      1.70464   6      6.82497
      2.26593      3.47228     -5.43589   6      6.83667
     -0.84218      6.67875      1.26375   8      6.84924
      6.84277     -0.19676     -0.30408   8      6.85235
      2.03366     -0.19676     -6.55785   8      6.86877
     -2.75780     -4.49090     -4.47683   5      6.91489
     -6.75717     -1.45170     -0.60388   6      6.93769
     -5.82221      3.71064      0.98936   4      6.97466
      2.14582     -0.02544      6.64967   7      6.98737
     -2.00940     -2.15264      6.36516   4      7.01334
     -1.51125      0.77900      6.80415   1      7.01336
     -5.05617      1.75477      4.53290   8      7.01365
      2.12792     -2.99506     -6.00090  10      7.03627
     -3.35291      0.43308     -6.18313   5      7.04703
      0.92551     -3.79905      5.86448   5      7.04851
      1.19149      6.48199      2.52252   9      7.05683
     -0.34132      4.55306     -5.40353  10      7.07425
      0.93770      6.85291     -1.59688  10      7.09871
      1.55071      4.89854      4.94337   7      7.13003
     -5.28844     -1.91427     -4.40568   6      7.14437
     -6.81851     -2.15264      0.11140   4      7.15111
     -2.18033     -5.12074      4.52792   8      7.17481
     -1.41429     -7.07662      0.25484   4      7.22106
     -3.27630      1.92893     -6.14434  10      7.22550
      2.38171     -3.36597      5.93512   9      7.22689
      2.70274      5.70298      3.53499   1      7.23360
     -4.21400     -4.92398      3.26916   9      7.25884
      4.21400      4.92398     -3.26916   9      7.25884
      6.59570      1.55801      2.66596   9      7.28272
     -4.55532     -0.37092      5.68225  10      7.29222
     -4.21336      3.24099     -4.99251   2      7.29257
      5.06290     -0.37092     -5.26008  10      7.31020
      5.40422     -4.92398      0.14345   9      7.31244
     -5.40422      4.92398     -0.14345   9      7.31244
      0.59574      3.24099     -6.55537   2      7.33701
     -4.47871      1.12493      5.72103   5      7.35218
      5.13951      1.12493     -5.22130   5      7.41228
     -5.22710     -1.21334     -5.12096   4      7.41748
     -5.72525     -4.14498      2.25668   1      7.41970
     -3.02314     -6.60697     -1.57991   2      7.43556
      3.09507      3.28264     -5.93543   3      7.45550
     -6.11758     -1.72463     -3.90614   3      7.46036
     -6.11758     -1.72463      3.91048   3      7.46264
      6.95493     -0.02544     -2.72981   7      7.47152
      2.62878     -5.12074     -4.85155   8      7.52795
      3.45615     -6.37568     -2.02329   6      7.52914
      1.78596     -6.60697     -3.14276   2      7.53118
     -0.95434      6.50743      3.68947   7      7.54119
      6.93702     -2.99506      0.25287  10      7.56020
      4.54440      6.04891      0.88903   5      7.61782
      2.70274      5.70298     -4.28163   1      7.62635
      5.15715     -3.16921     -4.70313   8      7.66547
     -0.71336     -6.64861     -3.76270   3      7.67273
      7.01370      2.77134      1.53315   4      7.69564
      0.11578     -6.83825      3.55439   6      7.70771
      5.73462     -3.79905     -3.51499   5      7.72488
     -7.47239     -0.02544      1.95875   7      7.72489
     -6.71269      3.19935      2.20418   3      7.75593
     -0.95434      6.50743     -4.12715   7      7.76471
      3.96693      6.67875     -0.29911   8      7.77378
      3.79600      3.71064      5.68028   4      7.77458
      2.05131     -4.49090     -6.03969   5      7.80089
      0.00000      0.00000     -7.81662   9      7.81662
      0.00000      0.00000      7.81662   9      7.81662
     -0.71336     -6.64861      4.05393   3      7.81967
     -6.52314      3.28264     -2.80972   3      7.82443
     -2.06817     -4.94942     -5.71442   7      7.83765
      0.23588     -3.34053      7.10207   7      7.85202
      3.85477      6.50743      2.12662   7      7.85674
      0.59511     -4.92398     -6.11032   9      7.86993
     -0.59511      4.92398      6.11032   9      7.86993
     -3.87141      6.85291     -0.03402  10      7.87091
     -5.15043      4.55306     -3.84068  10      7.87452
     -2.66328     -0.02544     -7.42072   7      7.88422
     -4.80911      0.00000     -6.25377   9      7.88905
      4.80911      0.00000      6.25377   9      7.88905
      1.45620      0.43308     -7.74599   5      7.89357
      0.17712     -6.13732     -4.97751   4      7.90403
     -4.21400     -4.92398     -4.54747   9      7.91725
      4.21400      4.92398      4.54747   9      7.91725
      0.84890     -5.29490      5.82569  10      7.91804
      7.07504      3.47228      0.81788   6      7.92349
     -2.10636      5.70298      5.09785   1      7.93403
     -5.15043      4.55306      3.97594  10      7.94137
      3.39481     -7.07662     -1.30801   4      7.95702
      1.60948      7.69533      1.38971   4      7.98372
      3.73466      3.00971      6.39555   6      7.99432
     -7.83161      1.55801     -0.46210   9      7.99844
      4.98622     -6.13732      1.27626   4      8.00986
      1.45620      0.43308      7.88726   5      8.03224
      3.50064     -1.72463     -7.03185   3      8.04212
      0.11578     -6.83825     -4.26224   6      8.05865
      4.56204      1.75477     -6.40943   8      8.06053
     -7.41362      2.77134     -1.59491   4      8.07378
     -7.23650     -3.36597      1.24420   9      8.07743
     -1.90358      3.19935     -7.17530   3      8.08359
      6.24766      4.72722     -2.01039   8      8.08836
     -0.26471      6.04891     -5.36474   5      8.08949
      1.53281      1.92893     -7.70720  10      8.09142
      5.73462     -3.79905      4.30163   5      8.11312
      2.90553      3.19935      6.89509   3      8.13758
      0.00063      8.16498     -0.44504   2      8.17709
      4.09575     -6.64861      2.49107   3      8.19662
     -1.01310      3.71064      7.24313   4      8.20111
      6.86041     -4.49090      0.21408   5      8.20240
      5.04499     -3.34053      5.53922   7      8.20329
      7.67015     -1.45170      2.52418   6      8.20427
      0.86109      5.35706      6.18096   5      8.22459
      4.28529     -6.56533     -2.52283   3      8.23601
     -1.66955      7.93369     -1.56452   6      8.25703
      0.94315     -8.09319     -1.43397   8      8.27319
      1.78596     -6.60697      4.67386   2      8.28774
     -0.91614     -4.14498     -7.12280   1      8.29183
     -4.46106     -3.16921      6.23920   8      8.29895
      1.53281      1.92893      7.92605  10      8.30015
     -3.61762      6.48199     -3.73125   9      8.30816
     -1.07444      3.00971     -7.67484   6      8.31360
     -7.58455     -0.19676     -3.43215   8      8.32729
      0.83099     -8.26451      0.99175   7      8.36518
     -4.63199     -6.13732     -3.41466   4      8.41320
      5.67019      5.35706     -3.19852   5      8.43088
     -7.35228      3.47228     -2.31018   6      8.45279
      1.19149      6.48199     -5.29411   9      8.45360
     -3.61762      6.48199      4.08537   9      8.47311
     -5.33292     -6.56533      0.60288   3      8.47980
      6.59570      1.55801     -5.15066   9      8.51234
      8.30974     -1.72463     -0.77808   3      8.52242
      5.65801     -5.29490     -3.55378  10      8.52516
      7.60881     -2.15264      3.23946   4      8.54528
     -7.49029     -2.99506     -2.87519  10      8.56397
      7.90417      3.28264      0.31834   3      8.56464
     -2.49869      8.12333     -1.06498   3      8.56541
     -2.42740     -3.36597      7.49797   9      8.56981
     -1.07444      3.00971      7.95841   6      8.57607
      2.49996      8.20662      0.17489   3      8.58073
      1.67082      8.39626      0.67443   6      8.58741
     -1.83229     -8.28996      1.38765   9      8.60269
      6.95493     -0.02544      5.08681   7      8.61669
     -2.08608     -7.91904     -2.73174  10      8.63280
     -2.66328     -0.02544      8.21252   7      8.63361
      7.19081     -3.36597     -3.44436   9      8.65455
      4.92488     -6.83825      1.99153   6      8.65924
      4.39111     -1.21334      7.38658   4      8.67846
     -2.30915      8.20662      1.73774   3      8.70060
      6.35982      4.89854      3.38051   7      8.71039
      7.71463      3.19935     -2.48438   3      8.71341
     -4.69333     -6.83825     -2.69938   6      8.72214
     -5.07382      6.04891     -3.80189   5      8.76284
     -7.58455     -0.19676      4.38448   8      8.76286
     -8.42736     -1.68299     -1.72336   2      8.76486
     -3.25839      4.89854      6.50622   7      8.77176
     -8.16201      0.43308      3.19634   5      8.77625
      2.97682     -8.28996     -0.17520   9      8.80997
     -5.16833      1.58345      6.95863   7      8.81144
     -6.98944     -5.12074     -1.72584   8      8.83475
     -3.19962      7.69533      2.95256   4      8.84156
      5.65801     -5.29490      4.26284  10      8.84425
      2.31042      8.12333     -2.62783   3      8.84489
     -6.52314      3.28264      5.00690   3      8.85416
     -5.07382      6.04891      4.01473   5      8.85726
      1.52062     -8.72303     -0.24584   5      8.85799
     -4.63199     -6.13732      4.40196   4      8.85998
     -3.37055      4.72722     -6.70130   8      8.86649
      1.43855      4.72722      7.36909   8      8.87240
      6.00059      6.48199      0.95966   9      8.88506
      8.49928     -1.64135      2.02464   3      8.88994
      4.32977     -1.91427     -7.53139   6      8.89569
      6.26530      0.43308      6.32441   5      8.91289
     -5.52246     -6.64861     -2.19984   3      8.91857
     -8.08540      1.92893      3.23513  10      8.91967
     -6.16206     -6.37568      1.10242   6      8.93508
      8.10696      0.77900      3.67844   1      8.93647
      5.99996     -1.68299     -6.41192   2      8.94118
     -3.86595     -8.09319      0.12888   8      8.97006
      3.89296     -4.14498      6.94759   1      8.97803
     -4.57322     -3.34053     -6.96832   7      8.97948
     -1.51125      0.77900     -8.82910   1      8.99131
     -5.72525     -4.14498     -5.55994   1      8.99290
     -5.88355      3.00971     -6.11199   6      9.00171
     -6.91547      5.70298     -1.15592   1      9.03792
     -0.41799     -1.21334      8.94943   4      9.04098
     -5.76344      6.50743     -2.56430   7      9.06309
      7.19081     -3.36597      4.37226   9      9.06390
      5.67019      5.35706      4.61810   5      9.06510
     -1.60821      8.63462     -2.27979   4      9.07417
