 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.94867999999999986       eV
 efermi =   -7.2245183399999995       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1367975325E+001  -0.2851020132E-003   0.1055372418E-004   0.9899375458E+000  -0.2880000000E-003   0.1066100000E-004
  -0.1364300395E+001  -0.2839836350E-003   0.1053356756E-004   0.9899039146E+000  -0.2868800000E-003   0.1064100000E-004
  -0.1360625464E+001  -0.2828553691E-003   0.1051340989E-004   0.9898700580E+000  -0.2857500000E-003   0.1062100000E-004
  -0.1356950533E+001  -0.2817370132E-003   0.1049325116E-004   0.9898359736E+000  -0.2846300000E-003   0.1060100000E-004
  -0.1353275602E+001  -0.2806285664E-003   0.1047309135E-004   0.9898016591E+000  -0.2835200000E-003   0.1058100000E-004
  -0.1349600671E+001  -0.2795102325E-003   0.1045392024E-004   0.9897671122E+000  -0.2824000000E-003   0.1056200000E-004
  -0.1345925740E+001  -0.2783919099E-003   0.1043474796E-004   0.9897323306E+000  -0.2812800000E-003   0.1054300000E-004
  -0.1342250809E+001  -0.2772834958E-003   0.1041557451E-004   0.9896973118E+000  -0.2801700000E-003   0.1052400000E-004
  -0.1338575878E+001  -0.2761750926E-003   0.1039639987E-004   0.9896620534E+000  -0.2790600000E-003   0.1050500000E-004
  -0.1334900947E+001  -0.2750667004E-003   0.1037821366E-004   0.9896265529E+000  -0.2779500000E-003   0.1048700000E-004
  -0.1331226016E+001  -0.2739682151E-003   0.1036002617E-004   0.9895908078E+000  -0.2768500000E-003   0.1046900000E-004
  -0.1327551086E+001  -0.2728598449E-003   0.1034183738E-004   0.9895548157E+000  -0.2757400000E-003   0.1045100000E-004
  -0.1323876155E+001  -0.2717613811E-003   0.1032463680E-004   0.9895185738E+000  -0.2746400000E-003   0.1043400000E-004
  -0.1320201224E+001  -0.2706629281E-003   0.1030644534E-004   0.9894820797E+000  -0.2735400000E-003   0.1041600000E-004
  -0.1316526293E+001  -0.2695644859E-003   0.1028924199E-004   0.9894453307E+000  -0.2724400000E-003   0.1039900000E-004
  -0.1312851362E+001  -0.2684660546E-003   0.1027203722E-004   0.9894083240E+000  -0.2713400000E-003   0.1038200000E-004
