natx =      347
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -2.08157      1.20180      2.03003   4      3.14615
      2.08157     -1.20180     -2.03003   4      3.14615
     -2.08157     -1.20180     -2.03003   4      3.14615
      0.00000     -2.40359      2.03003   4      3.14615
      0.00000      2.40359     -2.03003   4      3.14615
      2.08157      1.20180      2.03003   4      3.14615
     -2.08157      1.20180     -2.08553   3      3.18225
     -2.08157     -1.20180      2.08553   3      3.18225
      2.08157     -1.20180      2.08553   3      3.18225
      2.08157      1.20180     -2.08553   3      3.18225
     -0.00000     -2.40359     -2.08553   3      3.18225
      0.00000      2.40359      2.08553   3      3.18225
      0.00000      0.00000     -4.10006   2      4.10006
      0.00000      0.00000      4.10006   2      4.10006
     -2.08157      3.60539      0.00000   1      4.16315
     -4.16315      0.00000     -0.00000   1      4.16315
      2.08157     -3.60539     -0.00000   1      4.16315
      4.16315      0.00000      0.00000   1      4.16315
     -2.08157     -3.60539     -0.00000   1      4.16315
      2.08157      3.60539      0.00000   1      4.16315
     -4.16315     -2.40359      2.03003   4      5.21824
     -4.16315      2.40359     -2.03003   4      5.21824
      4.16315     -2.40359      2.03003   4      5.21824
      4.16315      2.40359     -2.03003   4      5.21824
     -0.00000     -4.80719     -2.03003   4      5.21824
      0.00000      4.80719      2.03003   4      5.21824
     -4.16315     -2.40359     -2.08553   3      5.24009
     -4.16315      2.40359      2.08553   3      5.24009
      4.16315     -2.40359     -2.08553   3      5.24009
      4.16315      2.40359      2.08553   3      5.24009
     -0.00000     -4.80719      2.08553   3      5.24009
      0.00000      4.80719     -2.08553   3      5.24009
     -2.08157     -3.60539      4.10006   2      5.84314
     -4.16315      0.00000     -4.10006   2      5.84314
     -4.16315      0.00000      4.10006   2      5.84314
      2.08157      3.60539     -4.10006   2      5.84314
      4.16315      0.00000     -4.10006   2      5.84314
      4.16315      0.00000      4.10006   2      5.84314
     -2.08157     -3.60539     -4.10006   2      5.84314
     -2.08157      3.60539     -4.10006   2      5.84314
     -2.08157      3.60539      4.10006   2      5.84314
      2.08157     -3.60539     -4.10006   2      5.84314
      2.08157     -3.60539      4.10006   2      5.84314
      2.08157      3.60539      4.10006   2      5.84314
     -2.08157      1.20180     -6.11458   3      6.57003
