 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.86458999999999986       eV
 efermi =   -9.5790679300000008       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1454503396E+001  -0.3945679059E-003   0.1346536548E-004   0.9908289537E+000  -0.3982200000E-003   0.1359000000E-004
  -0.1450828465E+001  -0.3929902371E-003   0.1341838135E-004   0.9907982983E+000  -0.3966400000E-003   0.1354300000E-004
  -0.1447153534E+001  -0.3914323992E-003   0.1337238810E-004   0.9907674374E+000  -0.3950800000E-003   0.1349700000E-004
  -0.1443478604E+001  -0.3898646685E-003   0.1332738563E-004   0.9907363689E+000  -0.3935100000E-003   0.1345200000E-004
  -0.1439803673E+001  -0.3883167673E-003   0.1328238315E-004   0.9907050906E+000  -0.3919600000E-003   0.1340700000E-004
  -0.1436128742E+001  -0.3867688803E-003   0.1323738065E-004   0.9906736004E+000  -0.3904100000E-003   0.1336200000E-004
  -0.1432453811E+001  -0.3852210078E-003   0.1319336877E-004   0.9906418962E+000  -0.3888600000E-003   0.1331800000E-004
  -0.1428778880E+001  -0.3836830558E-003   0.1314935682E-004   0.9906099758E+000  -0.3873200000E-003   0.1327400000E-004
  -0.1425103949E+001  -0.3821451179E-003   0.1310633536E-004   0.9905778369E+000  -0.3857800000E-003   0.1323100000E-004
  -0.1421429018E+001  -0.3806170997E-003   0.1306331376E-004   0.9905454774E+000  -0.3842500000E-003   0.1318800000E-004
  -0.1417754087E+001  -0.3790990002E-003   0.1302029200E-004   0.9905128948E+000  -0.3827300000E-003   0.1314500000E-004
  -0.1414079156E+001  -0.3775809140E-003   0.1297826058E-004   0.9904800870E+000  -0.3812100000E-003   0.1310300000E-004
  -0.1410404225E+001  -0.3760628410E-003   0.1293622894E-004   0.9904470516E+000  -0.3796900000E-003   0.1306100000E-004
  -0.1406729295E+001  -0.3745546856E-003   0.1289518750E-004   0.9904137861E+000  -0.3781800000E-003   0.1302000000E-004
  -0.1403054364E+001  -0.3730465432E-003   0.1285414576E-004   0.9903802883E+000  -0.3766700000E-003   0.1297900000E-004
  -0.1399379433E+001  -0.3715483172E-003   0.1281409408E-004   0.9903465556E+000  -0.3751700000E-003   0.1293900000E-004
  -0.1395704502E+001  -0.3700501038E-003   0.1277404204E-004   0.9903125855E+000  -0.3736700000E-003   0.1289900000E-004
  -0.1392029571E+001  -0.3685618058E-003   0.1273497991E-004   0.9902783756E+000  -0.3721800000E-003   0.1286000000E-004
  -0.1388354640E+001  -0.3670735199E-003   0.1269492710E-004   0.9902439233E+000  -0.3706900000E-003   0.1282000000E-004
  -0.1384679709E+001  -0.3655951483E-003   0.1265685433E-004   0.9902092260E+000  -0.3692100000E-003   0.1278200000E-004
  -0.1381004778E+001  -0.3641167884E-003   0.1261779086E-004   0.9901742811E+000  -0.3677300000E-003   0.1274300000E-004
  -0.1377329847E+001  -0.3626384402E-003   0.1257971709E-004   0.9901390860E+000  -0.3662500000E-003   0.1270500000E-004
  -0.1373654916E+001  -0.3611700050E-003   0.1254263288E-004   0.9901036379E+000  -0.3647800000E-003   0.1266800000E-004
  -0.1369979986E+001  -0.3597114818E-003   0.1250554808E-004   0.9900679341E+000  -0.3633200000E-003   0.1263100000E-004
  -0.1366305055E+001  -0.3582430690E-003   0.1246846265E-004   0.9900319718E+000  -0.3618500000E-003   0.1259400000E-004
  -0.1362630124E+001  -0.3567944677E-003   0.1243236661E-004   0.9899957483E+000  -0.3604000000E-003   0.1255800000E-004
  -0.1358955193E+001  -0.3553359770E-003   0.1239626986E-004   0.9899592606E+000  -0.3589400000E-003   0.1252200000E-004
  -0.1355280262E+001  -0.3538873966E-003   0.1236017241E-004   0.9899225058E+000  -0.3574900000E-003   0.1248600000E-004
  -0.1351605331E+001  -0.3524487256E-003   0.1232506413E-004   0.9898854811E+000  -0.3560500000E-003   0.1245100000E-004
  -0.1347930400E+001  -0.3510100643E-003   0.1228995505E-004   0.9898481834E+000  -0.3546100000E-003   0.1241600000E-004
