natx =      246
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -1.93571      1.11758     -1.50498   1      2.69461
     -0.00000     -2.23516     -1.50498   1      2.69461
      1.93571      1.11758     -1.50498   1      2.69461
     -1.93571     -1.11758     -3.00996   2      3.74911
      1.93571     -1.11758     -3.00996   2      3.74911
      0.00000      2.23516     -3.00996   2      3.74911
      3.87142      0.00000      0.00000   2      3.87142
     -1.93571      3.35275      0.00000   2      3.87142
      1.93571     -3.35275     -0.00000   2      3.87142
     -3.87142      0.00000     -0.00000   2      3.87142
      1.93571      3.35275      0.00000   2      3.87142
     -1.93571     -3.35275     -0.00000   2      3.87142
     -1.93571     -1.11758      3.47347   2      4.13049
      1.93571     -1.11758      3.47347   2      4.13049
      0.00000      2.23516      3.47347   2      4.13049
      3.87142     -2.23516     -1.50498   1      4.71686
     -3.87142     -2.23516     -1.50498   1      4.71686
      0.00000      4.47033     -1.50498   1      4.71686
     -3.87142      2.23516     -3.00996   2      5.38922
     -0.00000     -4.47033     -3.00996   2      5.38922
      3.87142      2.23516     -3.00996   2      5.38922
     -1.93571      1.11758      4.97845   1      5.45719
     -0.00000     -2.23516      4.97845   1      5.45719
      1.93571      1.11758      4.97845   1      5.45719
     -0.00000     -4.47033      3.47347   2      5.66117
     -3.87142      2.23516      3.47347   2      5.66117
      3.87142      2.23516      3.47347   2      5.66117
     -5.80713      1.11758     -1.50498   1      6.10219
     -3.87142      4.47033     -1.50498   1      6.10219
      1.93571     -5.58791     -1.50498   1      6.10219
      5.80713      1.11758     -1.50498   1      6.10219
     -1.93571     -5.58791     -1.50498   1      6.10219
      3.87142      4.47033     -1.50498   1      6.10219
      0.00000      0.00000     -6.48343   2      6.48343
      0.00000      0.00000      6.48343   2      6.48343
     -5.80713     -1.11758     -3.00996   2      6.63563
     -3.87142     -4.47033     -3.00996   2      6.63563
     -1.93571      5.58791     -3.00996   2      6.63563
      5.80713     -1.11758     -3.00996   2      6.63563
      3.87142     -4.47033     -3.00996   2      6.63563
      1.93571      5.58791     -3.00996   2      6.63563
     -3.87142     -2.23516      4.97845   1      6.69095
      3.87142     -2.23516      4.97845   1      6.69095
      0.00000      4.47033      4.97845   1      6.69095
     -5.80713      3.35275      0.00000   2      6.70549
      5.80713     -3.35275      0.00000   2      6.70549
      0.00000      6.70549      0.00000   2      6.70549
     -5.80713     -3.35275     -0.00000   2      6.70549
      5.80713      3.35275      0.00000   2      6.70549
     -0.00000     -6.70549     -0.00000   2      6.70549
     -5.80713     -1.11758      3.47347   2      6.85833
      3.87142     -4.47033      3.47347   2      6.85833
     -3.87142     -4.47033      3.47347   2      6.85833
     -1.93571      5.58791      3.47347   2      6.85833
      5.80713     -1.11758      3.47347   2      6.85833
      1.93571      5.58791      3.47347   2      6.85833
      1.93571      3.35275     -6.48343   2      7.55134
      3.87142      0.00000     -6.48343   2      7.55134
     -1.93571     -3.35275     -6.48343   2      7.55134
     -1.93571     -3.35275      6.48343   2      7.55134
     -1.93571      3.35275     -6.48343   2      7.55134
     -3.87142      0.00000     -6.48343   2      7.55134
      1.93571     -3.35275     -6.48343   2      7.55134
     -1.93571      3.35275      6.48343   2      7.55134
     -3.87142      0.00000      6.48343   2      7.55134
      1.93571     -3.35275      6.48343   2      7.55134
      1.93571      3.35275      6.48343   2      7.55134
      3.87142      0.00000      6.48343   2      7.55134
     -5.80713      1.11758      4.97845   1      7.73024
     -1.93571     -5.58791      4.97845   1      7.73024
      1.93571     -5.58791      4.97845   1      7.73024
     -3.87142      4.47033      4.97845   1      7.73024
      3.87142      4.47033      4.97845   1      7.73024
      5.80713      1.11758      4.97845   1      7.73024
     -3.87142      6.70549      0.00000   2      7.74283
     -7.74283      0.00000     -0.00000   2      7.74283
      3.87142      6.70549      0.00000   2      7.74283
      7.74283      0.00000      0.00000   2      7.74283
      3.87142     -6.70549     -0.00000   2      7.74283
     -3.87142     -6.70549     -0.00000   2      7.74283
     -1.93571      7.82307     -1.50498   1      8.19832
      7.74283     -2.23516     -1.50498   1      8.19832
      1.93571      7.82307     -1.50498   1      8.19832
     -7.74283     -2.23516     -1.50498   1      8.19832
     -5.80713     -5.58791     -1.50498   1      8.19832
      5.80713     -5.58791     -1.50498   1      8.19832
     -1.93571      1.11758     -7.98841   1      8.29521
     -0.00000     -2.23516     -7.98841   1      8.29521
      1.93571      1.11758     -7.98841   1      8.29521
     -1.93571     -7.82307     -3.00996   2      8.60275
     -5.80713      5.58791     -3.00996   2      8.60275
     -7.74283      2.23516     -3.00996   2      8.60275
      1.93571     -7.82307     -3.00996   2      8.60275
      5.80713      5.58791     -3.00996   2      8.60275
      7.74283      2.23516     -3.00996   2      8.60275
     -7.74283      2.23516      3.47347   2      8.77567
     -1.93571     -7.82307      3.47347   2      8.77567
     -5.80713      5.58791      3.47347   2      8.77567
      1.93571     -7.82307      3.47347   2      8.77567
      5.80713      5.58791      3.47347   2      8.77567
      7.74283      2.23516      3.47347   2      8.77567
     -7.74283      4.47033     -1.50498   1      9.06644
     -0.00000     -8.94066     -1.50498   1      9.06644
      7.74283      4.47033     -1.50498   1      9.06644
     -3.87142     -2.23516     -7.98841   1      9.15415
      3.87142     -2.23516     -7.98841   1      9.15415
      0.00000      4.47033     -7.98841   1      9.15415
      5.80713      3.35275     -6.48343   2      9.32730
      0.00000      6.70549     -6.48343   2      9.32730
     -5.80713     -3.35275     -6.48343   2      9.32730
     -5.80713     -3.35275      6.48343   2      9.32730
     -5.80713      3.35275     -6.48343   2      9.32730
     -5.80713      3.35275      6.48343   2      9.32730
      5.80713     -3.35275     -6.48343   2      9.32730
     -0.00000     -6.70549     -6.48343   2      9.32730
      5.80713     -3.35275      6.48343   2      9.32730
     -0.00000     -6.70549      6.48343   2      9.32730
      5.80713      3.35275      6.48343   2      9.32730
      0.00000      6.70549      6.48343   2      9.32730
      0.00000      8.94066     -3.00996   2      9.43372
     -7.74283     -4.47033     -3.00996   2      9.43372
      7.74283     -4.47033     -3.00996   2      9.43372
     -7.74283     -2.23516      4.97845   1      9.47272
     -5.80713     -5.58791      4.97845   1      9.47272
     -1.93571      7.82307      4.97845   1      9.47272
      7.74283     -2.23516      4.97845   1      9.47272
      5.80713     -5.58791      4.97845   1      9.47272
      1.93571      7.82307      4.97845   1      9.47272
     -7.74283     -4.47033      3.47347   2      9.59168
      7.74283     -4.47033      3.47347   2      9.59168
      0.00000      8.94066      3.47347   2      9.59168
      1.93571     -1.11758     -9.49338   2      9.75296
      0.00000      2.23516     -9.49338   2      9.75296
     -1.93571     -1.11758     -9.49338   2      9.75296
     -5.80713      7.82307     -1.50498   1      9.85841
     -9.67854      1.11758     -1.50498   1      9.85841
     -3.87142     -8.94066     -1.50498   1      9.85841
      3.87142     -8.94066     -1.50498   1      9.85841
      5.80713      7.82307     -1.50498   1      9.85841
      9.67854      1.11758     -1.50498   1      9.85841
     -1.93571     -5.58791     -7.98841   1      9.93913
     -3.87142      4.47033     -7.98841   1      9.93913
     -5.80713      1.11758     -7.98841   1      9.93913
      1.93571     -5.58791     -7.98841   1      9.93913
      3.87142      4.47033     -7.98841   1      9.93913
      5.80713      1.11758     -7.98841   1      9.93913
     -3.87142      6.70549     -6.48343   2     10.09883
      3.87142      6.70549     -6.48343   2     10.09883
      7.74283      0.00000     -6.48343   2     10.09883
     -7.74283      0.00000     -6.48343   2     10.09883
     -3.87142      6.70549      6.48343   2     10.09883
     -7.74283      0.00000      6.48343   2     10.09883
      3.87142     -6.70549     -6.48343   2     10.09883
      3.87142     -6.70549      6.48343   2     10.09883
      7.74283      0.00000      6.48343   2     10.09883
     -3.87142     -6.70549     -6.48343   2     10.09883
     -3.87142     -6.70549      6.48343   2     10.09883
      3.87142      6.70549      6.48343   2     10.09883
     -9.67854     -1.11758     -3.00996   2     10.19721
     -3.87142      8.94066     -3.00996   2     10.19721
      5.80713     -7.82307     -3.00996   2     10.19721
     -5.80713     -7.82307     -3.00996   2     10.19721
      9.67854     -1.11758     -3.00996   2     10.19721
      3.87142      8.94066     -3.00996   2     10.19721
     -1.93571     -1.11758      9.95690   2     10.20469
      1.93571     -1.11758      9.95690   2     10.20469
      0.00000      2.23516      9.95690   2     10.20469
     -7.74283      4.47033      4.97845   1     10.23329
     -0.00000     -8.94066      4.97845   1     10.23329
      7.74283      4.47033      4.97845   1     10.23329
     -1.93571    -10.05824     -0.00000   2     10.24281
     -9.67854     -3.35275     -0.00000   2     10.24281
     -1.93571     10.05824      0.00000   2     10.24281
     -7.74283      6.70549      0.00000   2     10.24281
     -9.67854      3.35275     -0.00000   2     10.24281
      9.67854     -3.35275      0.00000   2     10.24281
      7.74283     -6.70549     -0.00000   2     10.24281
      1.93571    -10.05824     -0.00000   2     10.24281
      1.93571     10.05824      0.00000   2     10.24281
     -7.74283     -6.70549     -0.00000   2     10.24281
      7.74283      6.70549      0.00000   2     10.24281
      9.67854      3.35275      0.00000   2     10.24281
     -9.67854     -1.11758      3.47347   2     10.34351
     -5.80713     -7.82307      3.47347   2     10.34351
     -3.87142      8.94066      3.47347   2     10.34351
      5.80713     -7.82307      3.47347   2     10.34351
      9.67854     -1.11758      3.47347   2     10.34351
      3.87142      8.94066      3.47347   2     10.34351
