natx =      673
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      0.46409      1.27049     -0.70437   2      1.52501
     -1.05642     -0.35784      1.48101   1      1.85404
      2.03456      1.27049     -0.55903   5      2.46294
      0.00023      1.27049     -2.15139   4      2.49852
     -0.00000      2.54098      0.00000   3      2.54098
      0.10286     -1.98616      1.80862   5      2.68822
     -2.21570      1.27049      1.15340   5      2.80247
     -2.11284     -0.71567     -1.77327   3      2.84970
      0.00023      1.27049      2.58390   4      2.87935
     -2.11308     -1.98616      0.37812   4      2.92453
      2.13719     -1.98616      0.21626   4      2.92560
      1.67333     -1.98616      1.66327   2      3.08404
      2.13742     -0.71567     -2.36764   3      3.26902
      2.13742     -0.71567      2.36764   3      3.26902
      3.19384     -0.35784     -0.88663   1      3.33388
     -1.05642      2.89881      1.48101   1      3.42236
     -2.57693     -1.98616     -1.06890   2      3.42461
     -1.05642     -0.35784     -3.25428   1      3.44012
      0.10286     -1.98616     -2.92667   5      3.53848
     -2.11284     -0.71567      2.96202   3      3.70808
      0.00000     -3.97232     -0.00000   3      3.97232
      1.67333     -1.98616     -3.07202   2      4.02270
     -1.05642     -3.61448      1.48101   1      4.04647
     -3.78617      1.27049      1.29875   2      4.19952
      0.46409      1.27049      4.03092   2      4.25180
     -2.11284      3.25665     -1.77327   3      4.26782
     -2.11284     -3.25665     -1.77327   3      4.26782
     -4.25026      0.00000      0.59438   3      4.29162
      4.25026      0.00000      0.59438   3      4.29162
     -2.21570      1.27049     -3.58188   5      4.39925
      3.19384      2.89881     -0.88663   1      4.40339
     -1.05642      2.89881     -3.25428   1      4.48436
      2.13742      3.25665     -2.36764   3      4.55851
      2.13742      3.25665      2.36764   3      4.55851
      2.13742     -3.25665     -2.36764   3      4.55851
      2.13742     -3.25665      2.36764   3      4.55851
      0.00000      0.00000     -4.73529   3      4.73529
      0.00000      0.00000      4.73529   3      4.73529
     -4.14740     -1.98616     -1.21424   5      4.75606
      2.03456      1.27049      4.17626   5      4.81609
     -4.25003      1.27049     -1.98952   4      4.86159
      4.25049      1.27049     -1.98952   4      4.86200
      0.10286      4.52713      1.80862   5      4.87613
     -2.11284     -3.25665      2.96202   3      4.88297
     -2.11284      3.25665      2.96202   3      4.88297
     -2.57693     -1.98616      3.66639   2      4.90182
      3.19384     -3.61448     -0.88663   1      4.90420
      4.35312     -1.98616     -1.21424   5      4.93648
     -1.05642     -3.61448     -3.25428   1      4.97703
     -4.25026      2.54098      0.59438   3      4.98744
      4.25026      2.54098      0.59438   3      4.98744
     -2.11308      4.52713      0.37812   4      5.01029
      2.13719      4.52713      0.21626   4      5.01091
      3.19384     -0.35784      3.84866   1      5.01406
      4.71435      1.27049      1.29875   2      5.05233
      1.67333      4.52713      1.66327   2      5.10504
     -4.25003      1.27049      2.74577   4      5.21691
      4.25049      1.27049      2.74577   4      5.21729
     -2.11308     -1.98616     -4.35717   4      5.23401
     -3.78617      1.27049     -3.43654   2      5.26869
      0.46409     -5.24280     -0.70437   2      5.31023
     -2.57693      4.52713     -1.06890   2      5.31771
     -0.00000      2.54098     -4.73529   3      5.37397
     -0.00000      2.54098      4.73529   3      5.37397
      2.13719     -1.98616     -4.51903   4      5.37904
      0.10286      4.52713     -2.92667   5      5.39175
     -5.30668     -0.35784     -0.88663   1      5.39213
      0.46409      1.27049     -5.43966   2      5.60530
      2.03456     -5.24280     -0.55903   5      5.65145
      0.00023     -5.24280     -2.15139   4      5.66705
      1.67333      4.52713     -3.07202   2      5.72121
      2.13719     -1.98616      4.95154   4      5.74719
      3.19384      2.89881      3.84866   1      5.78065
     -4.14740     -1.98616      3.52105   5      5.79168
     -2.21570     -5.24280      1.15340   5      5.80747
      2.03456      1.27049     -5.29432   5      5.81235
      0.00023     -5.24280      2.58390   4      5.84496
     -4.25026     -3.97232      0.59438   3      5.84785
      4.25026     -3.97232      0.59438   3      5.84785
     -2.11308     -1.98616      5.11341   4      5.87851
      4.25026      0.00000     -4.14091   3      5.93396
     -4.25026      0.00000     -4.14091   3      5.93396
      4.35312     -1.98616      3.52105   5      5.94073
      4.71435      1.27049     -3.43654   2      5.97069
     -5.30668      2.89881     -0.88663   1      6.11147
      3.19384     -3.61448      3.84866   1      6.17068
      0.00000     -3.97232     -4.73529   3      6.18080
      0.00000     -3.97232      4.73529   3      6.18080
     -4.14740      4.52713     -1.21424   5      6.25861
     -1.05642     -0.35784      6.21630   1      6.31557
      5.92359     -1.98616     -1.06890   2      6.33847
     -2.57693      4.52713      3.66639   2      6.37008
      4.35312      4.52713     -1.21424   5      6.39680
     -1.05642      6.15546      1.48101   1      6.41865
     -2.21570      1.27049      5.88869   5      6.41874
     -2.11284      5.79762     -1.77327   3      6.42036
     -4.25026      2.54098     -4.14091   3      6.45511
      4.25026      2.54098     -4.14091   3      6.45511
      3.19384     -0.35784     -5.62192   1      6.47570
     -5.30668     -3.61448     -0.88663   1      6.48163
      0.00000     -6.51329     -0.00000   3      6.51329
     -0.00000      6.51329      0.00000   3      6.51329
      6.28482      1.27049      1.15340   5      6.51486
     -5.30668     -0.35784      3.84866   1      6.56514
     -3.78617     -5.24280      1.29875   2      6.59612
