natx =      681
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -0.46386      0.00000     -1.44702   4      1.51955
     -0.46409     -1.27049      0.70437   3      1.52501
     -0.46409      1.27049      0.70437   3      1.52501
      1.57047      0.00000      0.14534   5      1.57718
      1.67333      1.98616     -1.66327   3      3.08404
      1.67333     -1.98616     -1.66327   3      3.08404
     -1.52051     -1.62832      2.18538   1      3.12078
     -1.52051      1.62832      2.18538   1      3.12078
      2.72975     -1.62832     -0.18226   1      3.18374
      2.72975      1.62832     -0.18226   1      3.18374
     -2.67980      0.00000      1.85778   5      3.26077
     -0.46386      0.00000      3.28827   4      3.32083
     -1.52051      1.62832     -2.54991   1      3.38606
     -1.52051     -1.62832     -2.54991   1      3.38606
     -2.57693     -1.98616     -1.06890   3      3.42461
     -2.57693      1.98616     -1.06890   3      3.42461
      1.67309      3.25665      0.92063   4      3.77525
      1.67309     -3.25665      0.92063   4      3.77525
     -2.67980      0.00000     -2.87751   5      3.93210
     -0.36123     -3.25665     -2.22230   5      3.95915
     -0.36123      3.25665     -2.22230   5      3.95915
      3.78640      0.00000     -1.28515   4      3.99856
      1.67333     -1.98616      3.07202   3      4.02270
      1.67333      1.98616      3.07202   3      4.02270
     -0.36123     -3.25665      2.51299   5      4.12933
     -0.36123      3.25665      2.51299   5      4.12933
      3.78617     -1.27049      1.29875   3      4.19952
      3.78617      1.27049      1.29875   3      4.19952
      1.20924     -3.25665     -2.36764   2      4.20401
      1.20924     -3.25665      2.36764   2      4.20401
      1.20924      3.25665     -2.36764   2      4.20401
      1.20924      3.25665      2.36764   2      4.20401
     -0.46409      1.27049     -4.03092   3      4.25180
     -0.46409     -1.27049     -4.03092   3      4.25180
     -2.57717     -3.25665      1.08249   4      4.29177
     -2.57717      3.25665      1.08249   4      4.29177
     -3.04103     -3.25665     -0.36453   2      4.47062
     -3.04103      3.25665     -0.36453   2      4.47062
     -4.25026      0.00000      2.00312   2      4.69864
      4.25026      0.00000      2.00312   2      4.69864
      0.00000      0.00000     -4.73529   2      4.73529
      0.00000      0.00000      4.73529   2      4.73529
      1.57047      0.00000     -4.58995   5      4.85118
     -4.71412      0.00000     -1.28515   4      4.88616
     -2.57693     -1.98616      3.66639   3      4.90182
     -2.57693      1.98616      3.66639   3      4.90182
     -4.71435     -1.27049      1.29875   3      5.05233
     -4.71435      1.27049      1.29875   3      5.05233
     -4.25026      0.00000     -2.73217   2      5.05267
      4.25026      0.00000     -2.73217   2      5.05267
      3.88903      3.25665     -0.50987   5      5.09807
      3.88903     -3.25665     -0.50987   5      5.09807
      1.67333     -4.52713     -1.66327   3      5.10504
      1.67333      4.52713     -1.66327   3      5.10504
      3.78640      0.00000      3.45014   4      5.12253
      1.57047      0.00000      4.88063   5      5.12708
      3.78617     -1.27049     -3.43654   3      5.26869
      3.78617      1.27049     -3.43654   3      5.26869
      1.67309     -3.25665     -3.81466   4      5.28740
      1.67309      3.25665     -3.81466   4      5.28740
     -0.46409     -5.24280      0.70437   3      5.31023
     -0.46409      5.24280      0.70437   3      5.31023
     -2.57693     -4.52713     -1.06890   3      5.31771
