natx =      614
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -1.14562      1.61511      0.04572   3      1.98068
      1.07221     -1.23590     -1.45882   2      2.19209
      0.09471     -1.59925      1.57635   1      2.24754
      2.04972      1.25176      0.13789   1      2.40567
     -1.60346      1.29742     -1.69225   4      2.66797
      0.27668      2.60557     -0.51166   6      2.66971
     -2.56792      0.62464      0.60310   6      2.71074
     -0.68778      1.93279      1.78368   4      2.71850
      1.86775     -0.24543      2.22590   6      2.91605
     -2.38596     -0.87254     -1.48491   1      2.94263
      2.83221     -0.91821     -0.06945   4      2.97815
      1.86775      0.62464     -2.40599   6      3.10925
      0.27668     -3.09643     -0.51166   6      3.15059
     -0.68778     -1.55358     -2.84820   4      3.31646
     -2.29125     -2.47179      0.09144   5      3.37163
     -1.60346     -0.91821      2.93964   4      3.47213
      0.09471      1.97846     -3.05554   1      3.64137
      1.07221      1.61511      3.17306   2      3.71840
      3.29005     -1.23590      1.66852   3      3.89048
     -3.36346     -1.23590      1.55026   2      3.90431
      2.14443     -2.85100      1.71424   5      3.95795
      2.14443      2.85100      1.71424   5      3.95795
     -2.29125      3.23021      0.09144   5      3.96137
     -2.38596      1.25176      3.14698   1      4.14284
     -0.68778     -3.76921      1.78368   4      4.22629
     -1.14562     -4.08690      0.04572   3      4.24467
      2.14443     -2.47179     -2.91765   5      4.38418
      3.74789      1.93279     -1.22540   4      4.39136
      0.09471      4.10276      1.57635   1      4.39619
      0.00000      0.37921     -4.63189   5      4.64738
      0.00000      0.37921      4.63189   5      4.64738
      0.27668     -2.22636      4.12023   6      4.69143
      3.29005      1.61511     -2.96337   3      4.71323
     -4.43568      0.37921     -1.62280   5      4.73841
      4.43568      0.37921      1.62280   5      4.73841
     -4.34097      1.97846     -0.04645   1      4.77079
     -2.56792     -0.24543     -4.02879   6      4.78389
      0.09471     -3.72355     -3.05554   1      4.81768
      1.07221      4.46611     -1.45882   2      4.81912
     -3.36346      1.61511     -3.08162   2      4.83920
      2.14443      3.23021     -2.91765   5      4.85237
     -1.14562     -1.23590     -4.58617   3      4.88598
      2.04972     -4.45025      0.13789   1      4.90154
