natx =      625
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -0.09471     -1.59925     -1.57635   5      2.24754
     -1.69817     -0.68104      1.36329   4      2.28170
     -0.78249      2.16996      0.20734   4      2.31604
      1.77304     -1.35382      0.64955   6      2.32345
      2.04972      1.25176      0.13789   5      2.40567
      0.18197      1.49718     -2.08801   6      2.57574
      0.18197      0.62712      2.54388   6      2.62635
     -2.38596      0.87254     -1.48491   5      2.94263
      0.97751      2.48765      1.59671   2      3.11343
     -1.24033      2.48765     -1.53063   3      3.17327
      0.97751     -0.36335     -3.03517   2      3.20933
      3.19534     -0.36335      0.09217   3      3.21726
      2.73750     -0.68104     -1.64579   4      3.26594
     -1.24033     -0.36335      3.10126   3      3.35980
     -3.45817     -0.36335     -0.02609   2      3.47730
     -2.66263     -2.22389     -0.97325   6      3.60312
     -0.78249     -3.53204      0.20734   4      3.62362
     -0.09471     -1.97846      3.05554   5      3.64137
      0.97751     -3.21435      1.59671   2      3.71982
      1.95501      2.85100     -1.43846   1      3.74425
      1.95501     -2.85100     -1.43846   1      3.74425
     -1.24033     -3.21435     -1.53063   3      3.77005
      1.95501     -0.72670      3.19343   1      3.81420
     -2.48067     -0.72670     -3.06126   1      4.00663
      3.65318     -0.04566      1.83014   4      4.08622
     -2.48067      2.85100      1.57063   1      4.09253
     -2.48067     -2.85100      1.57063   1      4.09253
     -2.38596      1.25176      3.14698   5      4.14284
     -0.09471      4.10276     -1.57635   5      4.39619
     -2.66263      3.47812     -0.97325   6      4.48711
     -0.78249     -0.04566     -4.42455   4      4.49344
     -4.25371      1.49718      0.92108   6      4.60261
     -1.69817      2.80534     -3.26859   4      4.63006
      4.61764      0.62712     -0.46521   6      4.68320
     -1.69817     -2.89666     -3.26859   4      4.68595
      0.18197     -4.20482     -2.08801   6      4.69823
     -2.66263     -1.35382      3.65863   6      4.72314
      1.77304      4.34819      0.64955   6      4.74050
      4.34097     -1.97846      0.04645   5      4.77079
     -0.09471      3.72355      3.05554   5      4.81768
      1.77304     -2.22389     -3.98234   6      4.89371
      2.04972     -4.45025      0.13789   5      4.90154
     -0.78249     -0.04566      4.83922   4      4.90229
      2.73750      2.80534      2.98609   4      4.92753
      2.73750     -2.89666      2.98609   4      4.98009
     -4.53039     -1.59925      1.43274   5      5.01345
      2.04972      0.87254     -4.49400   5      5.01584
      3.65318      2.16996     -2.80175   4      5.08963
      0.00000      2.12430     -4.63189   1      5.09578
      0.00000      2.12430      4.63189   1      5.09578
     -4.43568      2.12430     -1.62280   1      5.17893
      4.43568      2.12430      1.62280   1      5.17893
      2.04972      0.87254      4.76978   5      5.26436
      4.43568      0.00000     -3.00909   1      5.36002
     -4.43568      0.00000      3.00909   1      5.36002
     -5.21817     -0.04566     -1.41546   4      5.40693
     -1.69817      5.02096      1.36329   4      5.47288
      1.77304      3.47812     -3.98234   6      5.57674
     -2.38596     -4.82946     -1.48491   5      5.58761
     -4.25371      0.62712     -3.71081   6      5.67956
      0.18197     -5.07489      2.54388   6      5.67969
     -0.00000     -5.70200      0.00000   1      5.70200
      0.00000      5.70200      0.00000   1      5.70200
      4.34097      3.72355      0.04645   5      5.71935
      3.65318     -3.53204     -2.80175   4      5.80266
     -0.00000     -3.57770     -4.63189   1      5.85272
     -0.00000     -3.57770      4.63189   1      5.85272
     -4.53039     -1.97846     -3.19915   5      5.88840
      4.43568     -3.57770      1.62280   1      5.92526
     -4.43568     -3.57770     -1.62280   1      5.92526
     -2.38596     -4.45025      3.14698   5      5.94987
      2.73750      5.02096     -1.64579   4      5.95085
      1.77304     -2.22389      5.28143   6      5.99857
     -4.25371     -4.20482      0.92108   6      6.05169
      3.19534      2.48765     -4.53971   3      6.08339
      5.41318      2.48765     -1.41237   2      6.12256
      0.97751      5.33865     -3.03517   2      6.21844
      3.19534      2.48765      4.72406   3      6.22216
      3.19534      5.33865      0.09217   3      6.22253
      1.95501      4.97530      3.19343   1      6.22685
     -3.45817      2.48765      4.60580   2      6.27381
     -2.66263      4.34819      3.65863   6      6.27550
     -4.53039      4.10276      1.43274   5      6.27772
     -1.24033     -0.36335     -6.16251   3      6.29659
     -1.24033      5.33865      3.10126   3      6.29741
      5.41318     -0.36335      3.21951   2      6.30871
     -3.45817      2.48765     -4.65797   2      6.31221
      0.97751     -0.36335      6.22860   2      6.31530
     -2.48067      4.97530     -3.06126   1      6.34654
     -2.66263     -1.35382     -5.60514   6      6.35138
     -3.45817      5.33865     -0.02609   2      6.36088
     -5.67601      2.48765      1.47846   3      6.37113
      4.61764      1.49718      4.16668   6      6.39730
      3.19534     -3.21435     -4.53971   3      6.41493
      1.95501     -0.72670     -6.07034   1      6.41866
      6.39069     -0.72670      0.18434   1      6.43451
      5.41318     -3.21435     -1.41237   2      6.45208
     -5.21817      2.16996      3.21642   4      6.50257
     -5.67601     -0.36335     -3.15343   3      6.50332
      4.34097     -1.59925     -4.58543   5      6.51366
     -0.09471     -1.97846     -6.20823   5      6.51655
      3.19534     -3.21435      4.72406   3      6.54668
      1.77304      3.47812      5.28143   6      6.56769
      4.34097     -1.59925      4.67834   5      6.57939
     -3.45817     -3.21435      4.60580   2      6.59579
     -3.45817     -3.21435     -4.65797   2      6.63232
     -4.53039      3.72355     -3.19915   5      6.68010
     -2.38596      1.25176     -6.11680   5      6.68393
     -5.67601     -3.21435      1.47846   3      6.68842
     -2.48067     -0.72670      6.20251   1      6.71960
     -1.69817     -6.38304      1.36329   4      6.74430
     -6.13385      2.80534     -0.25951   4      6.74992
      0.18197      0.62712     -6.71989   6      6.75154
      6.48540      0.87254      1.76069   5      6.77656
      6.20872     -1.35382     -2.35954   6      6.77853
     -6.13385     -2.89666     -0.25951   4      6.78838
      0.18197      6.32912      2.54388   6      6.82365
     -1.69817      2.80534      5.99518   4      6.83344
      0.97751     -6.06535     -3.03517   2      6.85247
      3.19534     -6.06535      0.09217   3      6.85618
     -1.69817     -2.89666      5.99518   4      6.87144
      4.61764     -5.07489     -0.46521   6      6.87703
      2.04972     -4.82946     -4.49400   5      6.90804
     -1.24033     -6.06535      3.10126   3      6.92421
     -6.91634     -0.72670     -0.05217   1      6.95461
      6.20872     -2.22389      2.27235   6      6.97549
      3.65318      5.65634      1.83014   4      6.97777
     -3.45817     -6.06535     -0.02609   2      6.98199
     -4.25371      0.62712      5.55297   6      7.02301
      4.61764      1.49718     -5.09709   6      7.03879
     -6.82163      0.87254      1.52418   5      7.04408
      3.65318     -5.74767      1.83014   4      7.05201
     -5.21817     -3.53204      3.21642   4      7.07460
      2.04972     -4.82946      4.76978   5      7.09054
      2.73750     -6.38304     -1.64579   4      7.13763
     -2.38596      6.57455     -1.48491   5      7.14999
      6.48540      1.25176     -2.87120   5      7.20215
     -0.78249      5.65634     -4.42455   4      7.22379
     -0.09471      3.72355     -6.20823   5      7.23988
      2.04972      6.95376      0.13789   5      7.25087
     -0.78249     -5.74767     -4.42455   4      7.29552
      1.77304     -7.05582      0.64955   6      7.30412
      0.18197      1.49718      7.17577   6      7.33255
