 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    2.5954000000000002       eV
 efermi =   -12.153941300000000       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1549128215E+001  -0.3255739843E-003   0.1112671970E-002   0.9725303472E+000  -0.3347700000E-003   0.1144100000E-002
  -0.1545453284E+001  -0.3577019372E-003   0.1094285532E-002   0.9724389332E+000  -0.3678400000E-003   0.1125300000E-002
  -0.1541778353E+001  -0.3883164621E-003   0.1074054397E-002   0.9723469102E+000  -0.3993600000E-003   0.1104600000E-002
  -0.1538103422E+001  -0.4172526435E-003   0.1052173573E-002   0.9722542723E+000  -0.4291600000E-003   0.1082200000E-002
  -0.1534428491E+001  -0.4443553559E-003   0.1028643568E-002   0.9721610132E+000  -0.4570800000E-003   0.1058100000E-002
  -0.1530753560E+001  -0.4695181429E-003   0.1003950928E-002   0.9720671267E+000  -0.4830100000E-003   0.1032800000E-002
  -0.1527078629E+001  -0.4926637550E-003   0.9780960338E-003   0.9719726064E+000  -0.5068700000E-003   0.1006300000E-002
  -0.1523403698E+001  -0.5137538555E-003   0.9514971759E-003   0.9718774459E+000  -0.5286200000E-003   0.9790300000E-003
  -0.1519728767E+001  -0.5327695656E-003   0.9242420810E-003   0.9717816388E+000  -0.5482400000E-003   0.9510800000E-003
  -0.1516053836E+001  -0.5497503233E-003   0.8965836309E-003   0.9716851783E+000  -0.5657700000E-003   0.9227100000E-003
  -0.1512378906E+001  -0.5647258428E-003   0.8687163143E-003   0.9715880579E+000  -0.5812400000E-003   0.8941200000E-003
  -0.1508703975E+001  -0.5777646938E-003   0.8408248293E-003   0.9714902707E+000  -0.5947200000E-003   0.8655000000E-003
  -0.1505029044E+001  -0.5889548543E-003   0.8130743727E-003   0.9713918099E+000  -0.6063000000E-003   0.8370200000E-003
  -0.1501354113E+001  -0.5983842743E-003   0.7855912232E-003   0.9712926685E+000  -0.6160700000E-003   0.8088100000E-003
  -0.1497679182E+001  -0.6061602988E-003   0.7585210314E-003   0.9711928394E+000  -0.6241400000E-003   0.7810200000E-003
  -0.1494004251E+001  -0.6123902360E-003   0.7319511219E-003   0.9710923155E+000  -0.6306200000E-003   0.7537400000E-003
  -0.1490329320E+001  -0.6171910663E-003   0.7059784915E-003   0.9709910896E+000  -0.6356300000E-003   0.7270700000E-003
  -0.1486654389E+001  -0.6206700185E-003   0.6806612594E-003   0.9708891542E+000  -0.6392800000E-003   0.7010700000E-003
  -0.1482979458E+001  -0.6229536983E-003   0.6560672259E-003   0.9707865020E+000  -0.6417000000E-003   0.6758100000E-003
  -0.1479304527E+001  -0.6241395427E-003   0.6322253331E-003   0.9706831252E+000  -0.6429900000E-003   0.6513200000E-003
  -0.1475629597E+001  -0.6243346581E-003   0.6091645080E-003   0.9705790164E+000  -0.6432600000E-003   0.6276300000E-003
  -0.1471954666E+001  -0.6236364048E-003   0.5869039576E-003   0.9704741676E+000  -0.6426100000E-003   0.6047600000E-003
  -0.1468279735E+001  -0.6221518093E-003   0.5654628774E-003   0.9703685710E+000  -0.6411500000E-003   0.5827300000E-003
  -0.1464604804E+001  -0.6199490445E-003   0.5448216410E-003   0.9702622186E+000  -0.6389500000E-003   0.5615200000E-003
  -0.1460929873E+001  -0.6171156605E-003   0.5249897320E-003   0.9701551022E+000  -0.6361000000E-003   0.5411400000E-003
  -0.1457254942E+001  -0.6137294711E-003   0.5059475252E-003   0.9700472137E+000  -0.6326800000E-003   0.5215700000E-003
  -0.1453580011E+001  -0.6098585593E-003   0.4876851002E-003   0.9699385446E+000  -0.6287600000E-003   0.5028000000E-003
  -0.1449905080E+001  -0.6055709799E-003   0.4701828394E-003   0.9698290865E+000  -0.6244100000E-003   0.4848100000E-003
  -0.1446230149E+001  -0.6009056679E-003   0.4534114337E-003   0.9697188309E+000  -0.6196700000E-003   0.4675700000E-003
  -0.1442555218E+001  -0.5959403269E-003   0.4373609763E-003   0.9696077689E+000  -0.6146200000E-003   0.4510700000E-003
  -0.1438880288E+001  -0.5906944569E-003   0.4220021717E-003   0.9694958917E+000  -0.6092800000E-003   0.4352800000E-003
  -0.1435205357E+001  -0.5852360197E-003   0.4072960413E-003   0.9693831904E+000  -0.6037200000E-003   0.4201600000E-003
  -0.1431530426E+001  -0.5795844834E-003   0.3932423920E-003   0.9692696558E+000  -0.5979600000E-003   0.4057100000E-003
  -0.1427855495E+001  -0.5737689996E-003   0.3797925706E-003   0.9691552786E+000  -0.5920300000E-003   0.3918800000E-003
  -0.1424180564E+001  -0.5678380883E-003   0.3669367052E-003   0.9690400496E+000  -0.5859800000E-003   0.3786600000E-003
  -0.1420505633E+001  -0.5618111793E-003   0.3546358583E-003   0.9689239592E+000  -0.5798300000E-003   0.3660100000E-003
  -0.1416830702E+001  -0.5557076939E-003   0.3428801726E-003   0.9688069977E+000  -0.5736000000E-003   0.3539200000E-003
  -0.1413155771E+001  -0.5495567316E-003   0.3316307323E-003   0.9686891553E+000  -0.5673200000E-003   0.3423500000E-003
  -0.1409480840E+001  -0.5433680067E-003   0.3208680094E-003   0.9685704220E+000  -0.5610000000E-003   0.3312800000E-003
  -0.1405805909E+001  -0.5371609139E-003   0.3105724831E-003   0.9684507878E+000  -0.5546600000E-003   0.3206900000E-003
  -0.1402130979E+001  -0.5309548385E-003   0.3007246401E-003   0.9683302423E+000  -0.5483200000E-003   0.3105600000E-003
  -0.1398456048E+001  -0.5247594741E-003   0.2912952921E-003   0.9682087752E+000  -0.5419900000E-003   0.3008600000E-003
  -0.1394781117E+001  -0.5185845099E-003   0.2822649446E-003   0.9680863760E+000  -0.5356800000E-003   0.2915700000E-003
  -0.1391106186E+001  -0.5124299504E-003   0.2736237904E-003   0.9679630337E+000  -0.5293900000E-003   0.2826800000E-003
  -0.1387431255E+001  -0.5063248356E-003   0.2653426683E-003   0.9678387377E+000  -0.5231500000E-003   0.2741600000E-003
  -0.1383756324E+001  -0.5002594818E-003   0.2574021077E-003   0.9677134767E+000  -0.5169500000E-003   0.2659900000E-003
  -0.1380081393E+001  -0.4942532378E-003   0.2498019976E-003   0.9675872395E+000  -0.5108100000E-003   0.2581700000E-003
  -0.1376406462E+001  -0.4882964187E-003   0.2425132019E-003   0.9674600148E+000  -0.5047200000E-003   0.2506700000E-003
  -0.1372731531E+001  -0.4824083641E-003   0.2355162711E-003   0.9673317909E+000  -0.4987000000E-003   0.2434700000E-003
