natx =      395
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -1.97404     -1.13971     -0.00266   3      2.27942
      0.00000      2.27942     -0.00266   3      2.27942
      1.97404     -1.13971     -0.00266   3      2.27942
     -1.97404      1.13971      2.02524   1      3.04916
     -0.00000     -2.27942      2.02524   1      3.04916
      1.97404      1.13971      2.02524   1      3.04916
     -1.97404      1.13971     -2.02974   2      3.05215
     -0.00000     -2.27942     -2.02974   2      3.05215
      1.97404      1.13971     -2.02974   2      3.05215
      3.94807      0.00000      0.00000   4      3.94807
     -1.97404      3.41913      0.00000   4      3.94807
      1.97404     -3.41913      0.00000   4      3.94807
     -1.97404     -3.41913      0.00000   4      3.94807
     -3.94807      0.00000      0.00000   4      3.94807
      1.97404      3.41913      0.00000   4      3.94807
     -0.00000      0.00000      4.05314   3      4.05314
     -0.00000      0.00000     -4.05949   4      4.05949
     -3.94807      2.27942     -0.00266   3      4.55884
     -0.00000     -4.55884     -0.00266   3      4.55884
      3.94807      2.27942     -0.00266   3      4.55884
     -1.97404     -1.13971      4.05048   4      4.64781
      1.97404     -1.13971      4.05048   4      4.64781
      0.00000      2.27942      4.05048   4      4.64781
     -1.97404     -1.13971     -4.05683   3      4.65334
      1.97404     -1.13971     -4.05683   3      4.65334
      0.00000      2.27942     -4.05683   3      4.65334
     -3.94807     -2.27942      2.02524   1      4.98845
      3.94807     -2.27942      2.02524   1      4.98845
      0.00000      4.55884      2.02524   1      4.98845
     -3.94807     -2.27942     -2.02974   2      4.99028
      3.94807     -2.27942     -2.02974   2      4.99028
      0.00000      4.55884     -2.02974   2      4.99028
      1.97404     -3.41913      4.05314   3      5.65820
      3.94807      0.00000      4.05314   3      5.65820
     -1.97404     -3.41913      4.05314   3      5.65820
     -1.97404      3.41913      4.05314   3      5.65820
     -3.94807      0.00000      4.05314   3      5.65820
      1.97404      3.41913      4.05314   3      5.65820
      1.97404     -3.41913     -4.05949   4      5.66275
      3.94807      0.00000     -4.05949   4      5.66275
     -1.97404     -3.41913     -4.05949   4      5.66275
     -1.97404      3.41913     -4.05949   4      5.66275
     -3.94807      0.00000     -4.05949   4      5.66275
      1.97404      3.41913     -4.05949   4      5.66275
     -5.92211     -1.13971     -0.00266   3      6.03078
      3.94807     -4.55884     -0.00266   3      6.03078
     -3.94807     -4.55884     -0.00266   3      6.03078
      5.92211     -1.13971     -0.00266   3      6.03078
     -1.97404      5.69855     -0.00266   3      6.03078
      1.97404      5.69855     -0.00266   3      6.03078
     -3.94807      2.27942      4.05048   4      6.09831
     -0.00000     -4.55884      4.05048   4      6.09831
      3.94807      2.27942      4.05048   4      6.09831
      3.94807      2.27942     -4.05683   3      6.10253
     -3.94807      2.27942     -4.05683   3      6.10253
     -0.00000     -4.55884     -4.05683   3      6.10253
     -5.92211      1.13971      2.02524   1      6.36175
     -1.97404     -5.69855      2.02524   1      6.36175
     -3.94807      4.55884      2.02524   1      6.36175
      1.97404     -5.69855      2.02524   1      6.36175
      3.94807      4.55884      2.02524   1      6.36175
      5.92211      1.13971      2.02524   1      6.36175
     -3.94807      4.55884     -2.02974   2      6.36319
     -5.92211      1.13971     -2.02974   2      6.36319
      1.97404     -5.69855     -2.02974   2      6.36319
      3.94807      4.55884     -2.02974   2      6.36319
      5.92211      1.13971     -2.02974   2      6.36319
     -1.97404     -5.69855     -2.02974   2      6.36319
     -1.97404      1.13971      6.08022   2      6.49345
     -0.00000     -2.27942      6.08022   2      6.49345
      1.97404      1.13971      6.08022   2      6.49345
     -1.97404      1.13971     -6.08473   1      6.49767
     -0.00000     -2.27942     -6.08473   1      6.49767
      1.97404      1.13971     -6.08473   1      6.49767
     -5.92211     -3.41913      0.00000   4      6.83826
     -5.92211      3.41913      0.00000   4      6.83826
      5.92211     -3.41913      0.00000   4      6.83826
      5.92211      3.41913      0.00000   4      6.83826
      0.00000      6.83826      0.00000   4      6.83826
     -0.00000     -6.83826      0.00000   4      6.83826
     -5.92211     -1.13971      4.05048   4      7.26476
     -3.94807     -4.55884      4.05048   4      7.26476
      5.92211     -1.13971      4.05048   4      7.26476
      3.94807     -4.55884      4.05048   4      7.26476
     -1.97404      5.69855      4.05048   4      7.26476
      1.97404      5.69855      4.05048   4      7.26476
     -5.92211     -1.13971     -4.05683   3      7.26830
     -3.94807     -4.55884     -4.05683   3      7.26830
     -1.97404      5.69855     -4.05683   3      7.26830
      5.92211     -1.13971     -4.05683   3      7.26830
      3.94807     -4.55884     -4.05683   3      7.26830
      1.97404      5.69855     -4.05683   3      7.26830
      3.94807     -2.27942      6.08022   2      7.59948
     -3.94807     -2.27942      6.08022   2      7.59948
      0.00000      4.55884      6.08022   2      7.59948
      3.94807     -2.27942     -6.08473   1      7.60309
     -3.94807     -2.27942     -6.08473   1      7.60309
      0.00000      4.55884     -6.08473   1      7.60309
     -3.94807      6.83826      0.00000   4      7.89614
     -7.89614      0.00000      0.00000   4      7.89614
      3.94807     -6.83826      0.00000   4      7.89614
      3.94807      6.83826      0.00000   4      7.89614
      7.89614      0.00000      0.00000   4      7.89614
     -3.94807     -6.83826      0.00000   4      7.89614
     -5.92211     -3.41913      4.05314   3      7.94920
     -0.00000     -6.83826      4.05314   3      7.94920
     -5.92211      3.41913      4.05314   3      7.94920
      5.92211     -3.41913      4.05314   3      7.94920
      5.92211      3.41913      4.05314   3      7.94920
      0.00000      6.83826      4.05314   3      7.94920
      5.92211     -3.41913     -4.05949   4      7.95244
      5.92211      3.41913     -4.05949   4      7.95244
     -5.92211     -3.41913     -4.05949   4      7.95244
     -5.92211      3.41913     -4.05949   4      7.95244
     -0.00000     -6.83826     -4.05949   4      7.95244
      0.00000      6.83826     -4.05949   4      7.95244
      0.00000      0.00000      8.10730   3      8.10730
      0.00000      0.00000     -8.11263   3      8.11263
     -7.89614      2.27942     -0.00266   3      8.21857
     -1.97404     -7.97797     -0.00266   3      8.21857
     -5.92211      5.69855     -0.00266   3      8.21857
      1.97404     -7.97797     -0.00266   3      8.21857
      5.92211      5.69855     -0.00266   3      8.21857
      7.89614      2.27942     -0.00266   3      8.21857
     -1.97404     -1.13971     -8.10997   4      8.42421
      1.97404     -1.13971     -8.10997   4      8.42421
      0.00000      2.27942     -8.10997   4      8.42421
     -1.97404     -1.13971      8.10997   4      8.42421
      1.97404     -1.13971      8.10997   4      8.42421
      0.00000      2.27942      8.10997   4      8.42421
     -7.89614     -2.27942      2.02524   1      8.46442
     -5.92211     -5.69855      2.02524   1      8.46442
      7.89614     -2.27942      2.02524   1      8.46442
      5.92211     -5.69855      2.02524   1      8.46442
     -1.97404      7.97797      2.02524   1      8.46442
      1.97404      7.97797      2.02524   1      8.46442
     -7.89614     -2.27942     -2.02974   2      8.46550
     -5.92211     -5.69855     -2.02974   2      8.46550
     -1.97404      7.97797     -2.02974   2      8.46550
      7.89614     -2.27942     -2.02974   2      8.46550
      5.92211     -5.69855     -2.02974   2      8.46550
      1.97404      7.97797     -2.02974   2      8.46550
     -1.97404     -5.69855      6.08022   2      8.56384
     -3.94807      4.55884      6.08022   2      8.56384
     -5.92211      1.13971      6.08022   2      8.56384
      1.97404     -5.69855      6.08022   2      8.56384
      3.94807      4.55884      6.08022   2      8.56384
      5.92211      1.13971      6.08022   2      8.56384
     -5.92211      1.13971     -6.08473   1      8.56704
      3.94807      4.55884     -6.08473   1      8.56704
     -1.97404     -5.69855     -6.08473   1      8.56704
     -3.94807      4.55884     -6.08473   1      8.56704
      1.97404     -5.69855     -6.08473   1      8.56704
      5.92211      1.13971     -6.08473   1      8.56704
     -3.94807     -6.83826      4.05314   3      8.87564
     -7.89614      0.00000      4.05314   3      8.87564
      3.94807     -6.83826      4.05314   3      8.87564
      7.89614      0.00000      4.05314   3      8.87564
     -3.94807      6.83826      4.05314   3      8.87564
      3.94807      6.83826      4.05314   3      8.87564
     -7.89614      0.00000     -4.05949   4      8.87854
      3.94807     -6.83826     -4.05949   4      8.87854
      7.89614      0.00000     -4.05949   4      8.87854
     -3.94807     -6.83826     -4.05949   4      8.87854
     -3.94807      6.83826     -4.05949   4      8.87854
      3.94807      6.83826     -4.05949   4      8.87854
     -1.97404     -3.41913      8.10730   3      9.01752
     -3.94807      0.00000      8.10730   3      9.01752
      1.97404     -3.41913      8.10730   3      9.01752
     -1.97404      3.41913      8.10730   3      9.01752
      1.97404      3.41913      8.10730   3      9.01752
      3.94807      0.00000      8.10730   3      9.01752
     -1.97404      3.41913     -8.11263   3      9.02231
     -3.94807      0.00000     -8.11263   3      9.02231
      1.97404     -3.41913     -8.11263   3      9.02231
      1.97404      3.41913     -8.11263   3      9.02231
      3.94807      0.00000     -8.11263   3      9.02231
     -1.97404     -3.41913     -8.11263   3      9.02231
     -7.89614     -4.55884     -0.00266   3      9.11768
      7.89614     -4.55884     -0.00266   3      9.11768
      0.00000      9.11768     -0.00266   3      9.11768
     -5.92211      5.69855      4.05048   4      9.16249
     -7.89614      2.27942      4.05048   4      9.16249
      1.97404     -7.97797      4.05048   4      9.16249
     -1.97404     -7.97797      4.05048   4      9.16249
      7.89614      2.27942      4.05048   4      9.16249
      5.92211      5.69855      4.05048   4      9.16249
     -5.92211      5.69855     -4.05683   3      9.16530
     -7.89614      2.27942     -4.05683   3      9.16530
      1.97404     -7.97797     -4.05683   3      9.16530
     -1.97404     -7.97797     -4.05683   3      9.16530
      5.92211      5.69855     -4.05683   3      9.16530
      7.89614      2.27942     -4.05683   3      9.16530
     -3.94807      2.27942     -8.10997   4      9.30347
     -0.00000     -4.55884     -8.10997   4      9.30347
      3.94807      2.27942     -8.10997   4      9.30347
     -3.94807      2.27942      8.10997   4      9.30347
     -0.00000     -4.55884      8.10997   4      9.30347
      3.94807      2.27942      8.10997   4      9.30347
     -7.89614      4.55884      2.02524   1      9.33990
     -0.00000     -9.11768      2.02524   1      9.33990
      7.89614      4.55884      2.02524   1      9.33990
     -7.89614      4.55884     -2.02974   2      9.34088
     -0.00000     -9.11768     -2.02974   2      9.34088
      7.89614      4.55884     -2.02974   2      9.34088
     -9.87018     -1.13971     -0.00266   3      9.93576
     -5.92211     -7.97797     -0.00266   3      9.93576
      9.87018     -1.13971     -0.00266   3      9.93576
      5.92211     -7.97797     -0.00266   3      9.93576
     -3.94807      9.11768     -0.00266   3      9.93576
      3.94807      9.11768     -0.00266   3      9.93576
     -7.89614     -4.55884      4.05048   4      9.97690
      7.89614     -4.55884      4.05048   4      9.97690
      0.00000      9.11768      4.05048   4      9.97690
     -7.89614     -4.55884     -4.05683   3      9.97948
      7.89614     -4.55884     -4.05683   3      9.97948
      0.00000      9.11768     -4.05683   3      9.97948
     -5.92211     -1.13971     -8.10997   4     10.10653
     -1.97404      5.69855     -8.10997   4     10.10653
      3.94807     -4.55884     -8.10997   4     10.10653
      1.97404      5.69855     -8.10997   4     10.10653
     -3.94807     -4.55884     -8.10997   4     10.10653
      5.92211     -1.13971     -8.10997   4     10.10653
     -5.92211     -1.13971      8.10997   4     10.10653
     -3.94807     -4.55884      8.10997   4     10.10653
      5.92211     -1.13971      8.10997   4     10.10653
      3.94807     -4.55884      8.10997   4     10.10653
     -1.97404      5.69855      8.10997   4     10.10653
      1.97404      5.69855      8.10997   4     10.10653
     -9.87018      1.13971      2.02524   1     10.14007
      3.94807     -9.11768      2.02524   1     10.14007
     -3.94807     -9.11768      2.02524   1     10.14007
     -5.92211      7.97797      2.02524   1     10.14007
      9.87018      1.13971      2.02524   1     10.14007
      5.92211      7.97797      2.02524   1     10.14007
     -3.94807     -9.11768     -2.02974   2     10.14097
     -5.92211      7.97797     -2.02974   2     10.14097
     -9.87018      1.13971     -2.02974   2     10.14097
      3.94807     -9.11768     -2.02974   2     10.14097
      9.87018      1.13971     -2.02974   2     10.14097
      5.92211      7.97797     -2.02974   2     10.14097
     -7.89614     -2.27942      6.08022   2     10.22321
     -5.92211     -5.69855      6.08022   2     10.22321
      7.89614     -2.27942      6.08022   2     10.22321
      5.92211     -5.69855      6.08022   2     10.22321
     -1.97404      7.97797      6.08022   2     10.22321
      1.97404      7.97797      6.08022   2     10.22321
     -7.89614     -2.27942     -6.08473   1     10.22589
     -5.92211     -5.69855     -6.08473   1     10.22589
     -1.97404      7.97797     -6.08473   1     10.22589
      7.89614     -2.27942     -6.08473   1     10.22589
      5.92211     -5.69855     -6.08473   1     10.22589
      1.97404      7.97797     -6.08473   1     10.22589
     -1.97404      1.13971     10.13521   1     10.38837
     -0.00000     -2.27942     10.13521   1     10.38837
      1.97404      1.13971     10.13521   1     10.38837
      1.97404      1.13971    -10.13971   2     10.39276
     -1.97404      1.13971    -10.13971   2     10.39276
     -0.00000     -2.27942    -10.13971   2     10.39276
     -1.97404     10.25739      0.00000   4     10.44562
     -7.89614      6.83826      0.00000   4     10.44562
     -9.87018     -3.41913      0.00000   4     10.44562
     -7.89614     -6.83826     -0.00000   4     10.44562
     -9.87018      3.41913      0.00000   4     10.44562
      9.87018     -3.41913      0.00000   4     10.44562
      7.89614     -6.83826      0.00000   4     10.44562
      1.97404    -10.25739      0.00000   4     10.44562
      1.97404     10.25739      0.00000   4     10.44562
