 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.54357999999999995       eV
 efermi =   -8.1312016499999995       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1401295310E+001  -0.1382381658E-002   0.6787828003E-004   0.9942330681E+000  -0.1390400000E-002   0.6827200000E-004
  -0.1397620379E+001  -0.1370026596E-002   0.6686087704E-004   0.9942137850E+000  -0.1378000000E-002   0.6725000000E-004
  -0.1393945448E+001  -0.1357771254E-002   0.6586835976E-004   0.9941943724E+000  -0.1365700000E-002   0.6625300000E-004
  -0.1390270518E+001  -0.1345715049E-002   0.6489774450E-004   0.9941748292E+000  -0.1353600000E-002   0.6527800000E-004
  -0.1386595587E+001  -0.1333857970E-002   0.6395101859E-004   0.9941551540E+000  -0.1341700000E-002   0.6432700000E-004
  -0.1382920656E+001  -0.1322200009E-002   0.6302519850E-004   0.9941353454E+000  -0.1330000000E-002   0.6339700000E-004
  -0.1379245725E+001  -0.1310641746E-002   0.6212127737E-004   0.9941154022E+000  -0.1318400000E-002   0.6248900000E-004
  -0.1375570794E+001  -0.1299282587E-002   0.6123726598E-004   0.9940953228E+000  -0.1307000000E-002   0.6160100000E-004
  -0.1371895863E+001  -0.1288122522E-002   0.6037415749E-004   0.9940751060E+000  -0.1295800000E-002   0.6073400000E-004
  -0.1368220932E+001  -0.1277062138E-002   0.5952896872E-004   0.9940547503E+000  -0.1284700000E-002   0.5988500000E-004
  -0.1364546001E+001  -0.1266200833E-002   0.5870368692E-004   0.9940342542E+000  -0.1273800000E-002   0.5905600000E-004
  -0.1360871070E+001  -0.1255439197E-002   0.5789632308E-004   0.9940136163E+000  -0.1263000000E-002   0.5824500000E-004
  -0.1357196139E+001  -0.1244876627E-002   0.5710588237E-004   0.9939928352E+000  -0.1252400000E-002   0.5745100000E-004
  -0.1353521209E+001  -0.1234413714E-002   0.5633335796E-004   0.9939719093E+000  -0.1241900000E-002   0.5667500000E-004
  -0.1349846278E+001  -0.1224050456E-002   0.5557775501E-004   0.9939508371E+000  -0.1231500000E-002   0.5591600000E-004
  -0.1346171347E+001  -0.1213886241E-002   0.5483807877E-004   0.9939296171E+000  -0.1221300000E-002   0.5517300000E-004
  -0.1342496416E+001  -0.1203921061E-002   0.5411432846E-004   0.9939082478E+000  -0.1211300000E-002   0.5444600000E-004
  -0.1338821485E+001  -0.1193956126E-002   0.5340550941E-004   0.9938867274E+000  -0.1201300000E-002   0.5373400000E-004
  -0.1335146554E+001  -0.1184190212E-002   0.5271261476E-004   0.9938650545E+000  -0.1191500000E-002   0.5303800000E-004
  -0.1331471623E+001  -0.1174523926E-002   0.5203365601E-004   0.9938432274E+000  -0.1181800000E-002   0.5235600000E-004
  -0.1327796692E+001  -0.1164957263E-002   0.5136863248E-004   0.9938212444E+000  -0.1172200000E-002   0.5168800000E-004
  -0.1324121761E+001  -0.1155589598E-002   0.5071754347E-004   0.9937991039E+000  -0.1162800000E-002   0.5103400000E-004
  -0.1320446830E+001  -0.1146321544E-002   0.5007939450E-004   0.9937768042E+000  -0.1153500000E-002   0.5039300000E-004
  -0.1316771900E+001  -0.1137153095E-002   0.4945418491E-004   0.9937543436E+000  -0.1144300000E-002   0.4976500000E-004
  -0.1313096969E+001  -0.1128084249E-002   0.4884290778E-004   0.9937317202E+000  -0.1135200000E-002   0.4915100000E-004
  -0.1309422038E+001  -0.1119115000E-002   0.4824258125E-004   0.9937089324E+000  -0.1126200000E-002   0.4854800000E-004
  -0.1305747107E+001  -0.1110245344E-002   0.4765519215E-004   0.9936859783E+000  -0.1117300000E-002   0.4795800000E-004
  -0.1302072176E+001  -0.1101475276E-002   0.4707875246E-004   0.9936628561E+000  -0.1108500000E-002   0.4737900000E-004
  -0.1298397245E+001  -0.1092904156E-002   0.4651425527E-004   0.9936395640E+000  -0.1099900000E-002   0.4681200000E-004
  -0.1294722314E+001  -0.1084333250E-002   0.4596070632E-004   0.9936161000E+000  -0.1091300000E-002   0.4625600000E-004
  -0.1291047383E+001  -0.1075961277E-002   0.4541810505E-004   0.9935924623E+000  -0.1082900000E-002   0.4571100000E-004
  -0.1287372452E+001  -0.1067589513E-002   0.4488545729E-004   0.9935686490E+000  -0.1074500000E-002   0.4517600000E-004
  -0.1283697521E+001  -0.1059317314E-002   0.4436375607E-004   0.9935446580E+000  -0.1066200000E-002   0.4465200000E-004
  -0.1280022591E+001  -0.1051244028E-002   0.4385200727E-004   0.9935204873E+000  -0.1058100000E-002   0.4413800000E-004
  -0.1276347660E+001  -0.1043170942E-002   0.4334921686E-004   0.9934961350E+000  -0.1050000000E-002   0.4363300000E-004
  -0.1272672729E+001  -0.1035197406E-002   0.4285737131E-004   0.9934715990E+000  -0.1042000000E-002   0.4313900000E-004
  -0.1268997798E+001  -0.1027323416E-002   0.4237348965E-004   0.9934468772E+000  -0.1034100000E-002   0.4265300000E-004
  -0.1265322867E+001  -0.1019548965E-002   0.4189955832E-004   0.9934219674E+000  -0.1026300000E-002   0.4217700000E-004
  -0.1261647936E+001  -0.1011874049E-002   0.4143358995E-004   0.9933968676E+000  -0.1018600000E-002   0.4170900000E-004
  -0.1257973005E+001  -0.1004298663E-002   0.4097757086E-004   0.9933715756E+000  -0.1011000000E-002   0.4125100000E-004
  -0.1254298074E+001  -0.9967234657E-003   0.4052852043E-004   0.9933460890E+000  -0.1003400000E-002   0.4080000000E-004
  -0.1250623143E+001  -0.9893073914E-003   0.4008842494E-004   0.9933204058E+000  -0.9959600000E-003   0.4035800000E-004
  -0.1246948212E+001  -0.9819411671E-003   0.3965629056E-004   0.9932945235E+000  -0.9885700000E-003   0.3992400000E-004
  -0.1243273282E+001  -0.9746645221E-003   0.3923211684E-004   0.9932684400E+000  -0.9812700000E-003   0.3949800000E-004
  -0.1239598351E+001  -0.9674575864E-003   0.3881590333E-004   0.9932421527E+000  -0.9740400000E-003   0.3908000000E-004
  -0.1235923420E+001  -0.9603203567E-003   0.3840665633E-004   0.9932156593E+000  -0.9668800000E-003   0.3866900000E-004
  -0.1232248489E+001  -0.9532627614E-003   0.3800437546E-004   0.9931889575E+000  -0.9598000000E-003   0.3826500000E-004
  -0.1228573558E+001  -0.9462847961E-003   0.3760906031E-004   0.9931620446E+000  -0.9528000000E-003   0.3786800000E-004
  -0.1224898627E+001  -0.9393665938E-003   0.3722170360E-004   0.9931349183E+000  -0.9458600000E-003   0.3747900000E-004
  -0.1221223696E+001  -0.9325280137E-003   0.3684031863E-004   0.9931075759E+000  -0.9390000000E-003   0.3709600000E-004
  -0.1217548765E+001  -0.9257491898E-003   0.3646589815E-004   0.9930800148E+000  -0.9322000000E-003   0.3672000000E-004
  -0.1213873834E+001  -0.9190499802E-003   0.3609744865E-004   0.9930522325E+000  -0.9254800000E-003   0.3635000000E-004
  -0.1210198903E+001  -0.9124105196E-003   0.3573596283E-004   0.9930242263E+000  -0.9188200000E-003   0.3598700000E-004
  -0.1206523973E+001  -0.9058407351E-003   0.3537945425E-004   0.9929959934E+000  -0.9122300000E-003   0.3562900000E-004
  -0.1202849042E+001  -0.8993306929E-003   0.3502990856E-004   0.9929675311E+000  -0.9057000000E-003   0.3527800000E-004
  -0.1199174111E+001  -0.8928903194E-003   0.3468633238E-004   0.9929388365E+000  -0.8992400000E-003   0.3493300000E-004
  -0.1195499180E+001  -0.8865096813E-003   0.3434773241E-004   0.9929099069E+000  -0.8928400000E-003   0.3459300000E-004
  -0.1191824249E+001  -0.8801887753E-003   0.3401510125E-004   0.9928807392E+000  -0.8865000000E-003   0.3425900000E-004
  -0.1188149318E+001  -0.8739275983E-003   0.3368843850E-004   0.9928513307E+000  -0.8802200000E-003   0.3393100000E-004
  -0.1184474387E+001  -0.8677360750E-003   0.3336575814E-004   0.9928216782E+000  -0.8740100000E-003   0.3360700000E-004
  -0.1180799456E+001  -0.8615943452E-003   0.3304904552E-004   0.9927917787E+000  -0.8678500000E-003   0.3328900000E-004
  -0.1177124525E+001  -0.8555123339E-003   0.3273730748E-004   0.9927616292E+000  -0.8617500000E-003   0.3297600000E-004
  -0.1173449594E+001  -0.8494801104E-003   0.3243054370E-004   0.9927312264E+000  -0.8557000000E-003   0.3266800000E-004
  -0.1169774664E+001  -0.8435075990E-003   0.3212776116E-004   0.9927005672E+000  -0.8497100000E-003   0.3236400000E-004
  -0.1166099733E+001  -0.8375947959E-003   0.3182995227E-004   0.9926696483E+000  -0.8437800000E-003   0.3206500000E-004
  -0.1162424802E+001  -0.8317317710E-003   0.3153612408E-004   0.9926384664E+000  -0.8379000000E-003   0.3177000000E-004
  -0.1158749871E+001  -0.8259284477E-003   0.3124726893E-004   0.9926070182E+000  -0.8320800000E-003   0.3148000000E-004
  -0.1155074940E+001  -0.8201748962E-003   0.3096140134E-004   0.9925753001E+000  -0.8263100000E-003   0.3119300000E-004
  -0.1151400009E+001  -0.8144711137E-003   0.3068050622E-004   0.9925433088E+000  -0.8205900000E-003   0.3091100000E-004
  -0.1147725078E+001  -0.8088170972E-003   0.3040259820E-004   0.9925110406E+000  -0.8149200000E-003   0.3063200000E-004
  -0.1144050147E+001  -0.8032128436E-003   0.3012866958E-004   0.9924784920E+000  -0.8093000000E-003   0.3035700000E-004
  -0.1140375216E+001  -0.7976583498E-003   0.2985772766E-004   0.9924456593E+000  -0.8037300000E-003   0.3008500000E-004
  -0.1136700285E+001  -0.7921536126E-003   0.2958977226E-004   0.9924125388E+000  -0.7982100000E-003   0.2981600000E-004
  -0.1133025355E+001  -0.7867085526E-003   0.2932480319E-004   0.9923791266E+000  -0.7927500000E-003   0.2955000000E-004
  -0.1129350424E+001  -0.7812933952E-003   0.2906182794E-004   0.9923454188E+000  -0.7873200000E-003   0.2928600000E-004
  -0.1125675493E+001  -0.7759379084E-003   0.2880183872E-004   0.9923114117E+000  -0.7819500000E-003   0.2902500000E-004
  -0.1122000562E+001  -0.7706222422E-003   0.2854285081E-004   0.9922771011E+000  -0.7766200000E-003   0.2876500000E-004
  -0.1118325631E+001  -0.7653563168E-003   0.2828585646E-004   0.9922424829E+000  -0.7713400000E-003   0.2850700000E-004
  -0.1114650700E+001  -0.7601401285E-003   0.2802887117E-004   0.9922075531E+000  -0.7661100000E-003   0.2824900000E-004
  -0.1110975769E+001  -0.7549637521E-003   0.2777288723E-004   0.9921723073E+000  -0.7609200000E-003   0.2799200000E-004
  -0.1107300838E+001  -0.7498371064E-003   0.2751492825E-004   0.9921367413E+000  -0.7557800000E-003   0.2773300000E-004
  -0.1103625907E+001  -0.7447601877E-003   0.2725598667E-004   0.9921008508E+000  -0.7506900000E-003   0.2747300000E-004
  -0.1099950976E+001  -0.7397131509E-003   0.2699507068E-004   0.9920646311E+000  -0.7456300000E-003   0.2721100000E-004
  -0.1096276046E+001  -0.7347257553E-003   0.2672920453E-004   0.9920280778E+000  -0.7406300000E-003   0.2694400000E-004
  -0.1092601115E+001  -0.7297781560E-003   0.2645640494E-004   0.9919911863E+000  -0.7356700000E-003   0.2667000000E-004
  -0.1088926184E+001  -0.7248703503E-003   0.2617568088E-004   0.9919539519E+000  -0.7307500000E-003   0.2638800000E-004
  -0.1085251253E+001  -0.7200023352E-003   0.2588306575E-004   0.9919163696E+000  -0.7258700000E-003   0.2609400000E-004
  -0.1081576322E+001  -0.7151840266E-003   0.2557459356E-004   0.9918784347E+000  -0.7210400000E-003   0.2578400000E-004
  -0.1077901391E+001  -0.7103955835E-003   0.2524530714E-004   0.9918401422E+000  -0.7162400000E-003   0.2545300000E-004
  -0.1074226460E+001  -0.7056469219E-003   0.2488925832E-004   0.9918014870E+000  -0.7114800000E-003   0.2509500000E-004
  -0.1070551529E+001  -0.7009281213E-003   0.2449950814E-004   0.9917624638E+000  -0.7067500000E-003   0.2470300000E-004
  -0.1066876598E+001  -0.6962193451E-003   0.2406812712E-004   0.9917230675E+000  -0.7020300000E-003   0.2426900000E-004
  -0.1063201667E+001  -0.6915106768E-003   0.2359412890E-004   0.9916832926E+000  -0.6973100000E-003   0.2379200000E-004
  -0.1059526737E+001  -0.6867624522E-003   0.2308148558E-004   0.9916431337E+000  -0.6925500000E-003   0.2327600000E-004
  -0.1055851806E+001  -0.6819548459E-003   0.2255499240E-004   0.9916025851E+000  -0.6877300000E-003   0.2274600000E-004
  -0.1052176875E+001  -0.6770581199E-003   0.2206323808E-004   0.9915616413E+000  -0.6828200000E-003   0.2225100000E-004
  -0.1048501944E+001  -0.6721119481E-003   0.2166868456E-004   0.9915202963E+000  -0.6778600000E-003   0.2185400000E-004
  -0.1044827013E+001  -0.6671659124E-003   0.2141494508E-004   0.9914785443E+000  -0.6729000000E-003   0.2159900000E-004
  -0.1041152082E+001  -0.6622993300E-003   0.2128613906E-004   0.9914363792E+000  -0.6680200000E-003   0.2147000000E-004
  -0.1037477151E+001  -0.6575716762E-003   0.2122177557E-004   0.9913937948E+000  -0.6632800000E-003   0.2140600000E-004
  -0.1033802220E+001  -0.6529829350E-003   0.2114749494E-004   0.9913507849E+000  -0.6586800000E-003   0.2133200000E-004
  -0.1030127289E+001  -0.6484835246E-003   0.2101274175E-004   0.9913073430E+000  -0.6541700000E-003   0.2119700000E-004
  -0.1026452358E+001  -0.6440436970E-003   0.2078976860E-004   0.9912634627E+000  -0.6497200000E-003   0.2097300000E-004
  -0.1022777428E+001  -0.6395841483E-003   0.2047957859E-004   0.9912191373E+000  -0.6452500000E-003   0.2066100000E-004
  -0.1019102497E+001  -0.6350553241E-003   0.2010696306E-004   0.9911743598E+000  -0.6407100000E-003   0.2028600000E-004
  -0.1015427566E+001  -0.6304175903E-003   0.1973040746E-004   0.9911291235E+000  -0.6360600000E-003   0.1990700000E-004
  -0.1011752635E+001  -0.6256709638E-003   0.1944010131E-004   0.9910834212E+000  -0.6313000000E-003   0.1961500000E-004
  -0.1008077704E+001  -0.6208551033E-003   0.1931828903E-004   0.9910372457E+000  -0.6264700000E-003   0.1949300000E-004
  -0.1004402773E+001  -0.6160889396E-003   0.1939170386E-004   0.9909905895E+000  -0.6216900000E-003   0.1956800000E-004
  -0.1000727842E+001  -0.6114715623E-003   0.1961176172E-004   0.9909434452E+000  -0.6170600000E-003   0.1979100000E-004
  -0.9970529112E+000  -0.6070227702E-003   0.1989619687E-004   0.9908958051E+000  -0.6126000000E-003   0.2007900000E-004
  -0.9933779803E+000  -0.6027326323E-003   0.2017365838E-004   0.9908476612E+000  -0.6083000000E-003   0.2036000000E-004
  -0.9897030494E+000  -0.5985614952E-003   0.2040748712E-004   0.9907990056E+000  -0.6041200000E-003   0.2059700000E-004
  -0.9860281185E+000  -0.5944796205E-003   0.2058480922E-004   0.9907498300E+000  -0.6000300000E-003   0.2077700000E-004
  -0.9823531876E+000  -0.5904473682E-003   0.2070959544E-004   0.9907001261E+000  -0.5959900000E-003   0.2090400000E-004
  -0.9786782567E+000  -0.5864548257E-003   0.2078878784E-004   0.9906498854E+000  -0.5919900000E-003   0.2098500000E-004
  -0.9750033258E+000  -0.5824920822E-003   0.2083130845E-004   0.9905990990E+000  -0.5880200000E-003   0.2102900000E-004
  -0.9713283949E+000  -0.5785492291E-003   0.2084508702E-004   0.9905477581E+000  -0.5840700000E-003   0.2104400000E-004
  -0.9676534640E+000  -0.5746262644E-003   0.2083706127E-004   0.9904958535E+000  -0.5801400000E-003   0.2103700000E-004
  -0.9639785331E+000  -0.5707231865E-003   0.2081119621E-004   0.9904433758E+000  -0.5762300000E-003   0.2101200000E-004
  -0.9603036022E+000  -0.5668300893E-003   0.2077145609E-004   0.9903903156E+000  -0.5723300000E-003   0.2097300000E-004
  -0.9566286713E+000  -0.5629568762E-003   0.2072279468E-004   0.9903366631E+000  -0.5684500000E-003   0.2092500000E-004
  -0.9529537404E+000  -0.5590936421E-003   0.2066521330E-004   0.9902824084E+000  -0.5645800000E-003   0.2086800000E-004
  -0.9492788095E+000  -0.5552403868E-003   0.2060168399E-004   0.9902275411E+000  -0.5607200000E-003   0.2080500000E-004
  -0.9456038786E+000  -0.5514070117E-003   0.2053418799E-004   0.9901720510E+000  -0.5568800000E-003   0.2073800000E-004
  -0.9419289477E+000  -0.5475935147E-003   0.2046272587E-004   0.9901159272E+000  -0.5530600000E-003   0.2066700000E-004
  -0.9382540168E+000  -0.5437899931E-003   0.2038828826E-004   0.9900591590E+000  -0.5492500000E-003   0.2059300000E-004
  -0.9345790859E+000  -0.5399964465E-003   0.2031285560E-004   0.9900017352E+000  -0.5454500000E-003   0.2051800000E-004
  -0.9309041550E+000  -0.5362326733E-003   0.2023642798E-004   0.9899436443E+000  -0.5416800000E-003   0.2044200000E-004
  -0.9272292241E+000  -0.5324689729E-003   0.2015801559E-004   0.9898848747E+000  -0.5379100000E-003   0.2036400000E-004
  -0.9235542932E+000  -0.5287251433E-003   0.2007959836E-004   0.9898254144E+000  -0.5341600000E-003   0.2028600000E-004
  -0.9198793623E+000  -0.5250011821E-003   0.2000216596E-004   0.9897652511E+000  -0.5304300000E-003   0.2020900000E-004
  -0.9162044314E+000  -0.5212871899E-003   0.1992373872E-004   0.9897043723E+000  -0.5267100000E-003   0.2013100000E-004
  -0.9125295005E+000  -0.5175831662E-003   0.1984629601E-004   0.9896427652E+000  -0.5230000000E-003   0.2005400000E-004
  -0.9088545696E+000  -0.5138990062E-003   0.1976884798E-004   0.9895804167E+000  -0.5193100000E-003   0.1997700000E-004
  -0.9051796387E+000  -0.5102347074E-003   0.1969238405E-004   0.9895173132E+000  -0.5156400000E-003   0.1990100000E-004
  -0.9015047078E+000  -0.5065803727E-003   0.1961591447E-004   0.9894534410E+000  -0.5119800000E-003   0.1982500000E-004
  -0.8978297769E+000  -0.5029360016E-003   0.1954141791E-004   0.9893887860E+000  -0.5083300000E-003   0.1975100000E-004
  -0.8941548460E+000  -0.4993114865E-003   0.1946790456E-004   0.9893233336E+000  -0.5047000000E-003   0.1967800000E-004
  -0.8904799151E+000  -0.4956969322E-003   0.1939537410E-004   0.9892570691E+000  -0.5010800000E-003   0.1960600000E-004
  -0.8868049842E+000  -0.4920923380E-003   0.1932382621E-004   0.9891899772E+000  -0.4974700000E-003   0.1953500000E-004
  -0.8831300533E+000  -0.4885075943E-003   0.1925326056E-004   0.9891220424E+000  -0.4938800000E-003   0.1946500000E-004
  -0.8794551224E+000  -0.4849328078E-003   0.1918367681E-004   0.9890532487E+000  -0.4903000000E-003   0.1939600000E-004
  -0.8757801915E+000  -0.4813679777E-003   0.1911606361E-004   0.9889835796E+000  -0.4867300000E-003   0.1932900000E-004
  -0.8721052606E+000  -0.4778131031E-003   0.1905042039E-004   0.9889130185E+000  -0.4831700000E-003   0.1926400000E-004
  -0.8684303297E+000  -0.4742780717E-003   0.1898476888E-004   0.9888415480E+000  -0.4796300000E-003   0.1919900000E-004
  -0.8647553988E+000  -0.4707529925E-003   0.1892108646E-004   0.9887691504E+000  -0.4761000000E-003   0.1913600000E-004
  -0.8610804679E+000  -0.4672378648E-003   0.1885937253E-004   0.9886958077E+000  -0.4725800000E-003   0.1907500000E-004
  -0.8574055370E+000  -0.4637326875E-003   0.1879863784E-004   0.9886215011E+000  -0.4690700000E-003   0.1901500000E-004
  -0.8537306061E+000  -0.4602374597E-003   0.1873888199E-004   0.9885462116E+000  -0.4655700000E-003   0.1895600000E-004
  -0.8500556752E+000  -0.4567521804E-003   0.1868109301E-004   0.9884699196E+000  -0.4620800000E-003   0.1889900000E-004
  -0.8463807443E+000  -0.4532867325E-003   0.1862527025E-004   0.9883926049E+000  -0.4586100000E-003   0.1884400000E-004
  -0.8427058134E+000  -0.4498213463E-003   0.1857042470E-004   0.9883142467E+000  -0.4551400000E-003   0.1879000000E-004
  -0.8390308825E+000  -0.4463659053E-003   0.1851754413E-004   0.9882348239E+000  -0.4516800000E-003   0.1873800000E-004
  -0.8353559516E+000  -0.4429302900E-003   0.1846563968E-004   0.9881543147E+000  -0.4482400000E-003   0.1868700000E-004
  -0.8316810207E+000  -0.4394947354E-003   0.1841569892E-004   0.9880726965E+000  -0.4448000000E-003   0.1863800000E-004
  -0.8280060898E+000  -0.4360691226E-003   0.1836772109E-004   0.9879899463E+000  -0.4413700000E-003   0.1859100000E-004
  -0.8243311589E+000  -0.4326534504E-003   0.1832170543E-004   0.9879060404E+000  -0.4379500000E-003   0.1854600000E-004
  -0.8206562280E+000  -0.4292477176E-003   0.1827666330E-004   0.9878209545E+000  -0.4345400000E-003   0.1850200000E-004
  -0.8169812971E+000  -0.4258420455E-003   0.1823358189E-004   0.9877346635E+000  -0.4311300000E-003   0.1846000000E-004
  -0.8133063662E+000  -0.4224561883E-003   0.1819147270E-004   0.9876471415E+000  -0.4277400000E-003   0.1841900000E-004
  -0.8096314353E+000  -0.4190703910E-003   0.1815231026E-004   0.9875583622E+000  -0.4243500000E-003   0.1838100000E-004
  -0.8059565044E+000  -0.4156945295E-003   0.1811411846E-004   0.9874682982E+000  -0.4209700000E-003   0.1834400000E-004
  -0.8022815735E+000  -0.4123187286E-003   0.1807788406E-004   0.9873769215E+000  -0.4175900000E-003   0.1830900000E-004
  -0.7986066426E+000  -0.4089528626E-003   0.1804360610E-004   0.9872842031E+000  -0.4142200000E-003   0.1827600000E-004
  -0.7949317117E+000  -0.4055969299E-003   0.1801029643E-004   0.9871901133E+000  -0.4108600000E-003   0.1824400000E-004
  -0.7912567808E+000  -0.4022410582E-003   0.1797992853E-004   0.9870946214E+000  -0.4075000000E-003   0.1821500000E-004
  -0.7875818499E+000  -0.3988951188E-003   0.1795052710E-004   0.9869976960E+000  -0.4041500000E-003   0.1818700000E-004
  -0.7839069190E+000  -0.3955492412E-003   0.1792406517E-004   0.9868993045E+000  -0.4008000000E-003   0.1816200000E-004
  -0.7802319881E+000  -0.3922132948E-003   0.1789856776E-004   0.9867994134E+000  -0.3974600000E-003   0.1813800000E-004
  -0.7765570572E+000  -0.3888774111E-003   0.1787600745E-004   0.9866979881E+000  -0.3941200000E-003   0.1811700000E-004
  -0.7728821263E+000  -0.3855514574E-003   0.1785440959E-004   0.9865949932E+000  -0.3907900000E-003   0.1809700000E-004
  -0.7692071954E+000  -0.3822255672E-003   0.1783574628E-004   0.9864903918E+000  -0.3874600000E-003   0.1808000000E-004
  -0.7655322645E+000  -0.3788997420E-003   0.1781902960E-004   0.9863841461E+000  -0.3841300000E-003   0.1806500000E-004
  -0.7618573336E+000  -0.3755838462E-003   0.1780425827E-004   0.9862762171E+000  -0.3808100000E-003   0.1805200000E-004
  -0.7581824027E+000  -0.3722680164E-003   0.1779143099E-004   0.9861665645E+000  -0.3774900000E-003   0.1804100000E-004
  -0.7545074718E+000  -0.3689522542E-003   0.1778054640E-004   0.9860551467E+000  -0.3741700000E-003   0.1803200000E-004
  -0.7508325409E+000  -0.3656365613E-003   0.1777258906E-004   0.9859419206E+000  -0.3708500000E-003   0.1802600000E-004
  -0.7471576100E+000  -0.3623209393E-003   0.1776657135E-004   0.9858268421E+000  -0.3675300000E-003   0.1802200000E-004
  -0.7434826791E+000  -0.3590053900E-003   0.1776347748E-004   0.9857098652E+000  -0.3642100000E-003   0.1802100000E-004
  -0.7398077482E+000  -0.3556997712E-003   0.1776231997E-004   0.9855909427E+000  -0.3609000000E-003   0.1802200000E-004
  -0.7361328173E+000  -0.3523843718E-003   0.1776408268E-004   0.9854700256E+000  -0.3575800000E-003   0.1802600000E-004
  -0.7324578864E+000  -0.3490690507E-003   0.1776876359E-004   0.9853470634E+000  -0.3542600000E-003   0.1803300000E-004
  -0.7287829555E+000  -0.3457538100E-003   0.1777537539E-004   0.9852220038E+000  -0.3509400000E-003   0.1804200000E-004
  -0.7251080246E+000  -0.3424386518E-003   0.1778490139E-004   0.9850947926E+000  -0.3476200000E-003   0.1805400000E-004
  -0.7214330937E+000  -0.3391235783E-003   0.1779733934E-004   0.9849653740E+000  -0.3443000000E-003   0.1806900000E-004
  -0.7177581628E+000  -0.3357987432E-003   0.1781268695E-004   0.9848336899E+000  -0.3409700000E-003   0.1808700000E-004
  -0.7140832319E+000  -0.3324740001E-003   0.1783192651E-004   0.9846996805E+000  -0.3376400000E-003   0.1810900000E-004
  -0.7104083010E+000  -0.3291493514E-003   0.1785308602E-004   0.9845632837E+000  -0.3343100000E-003   0.1813300000E-004
  -0.7067333701E+000  -0.3258149553E-003   0.1787813216E-004   0.9844244350E+000  -0.3309700000E-003   0.1816100000E-004
  -0.7030584392E+000  -0.3224806616E-003   0.1790706186E-004   0.9842830680E+000  -0.3276300000E-003   0.1819300000E-004
  -0.6993835083E+000  -0.3191366317E-003   0.1793888776E-004   0.9841391134E+000  -0.3242800000E-003   0.1822800000E-004
  -0.6957085774E+000  -0.3157828730E-003   0.1797459099E-004   0.9839924997E+000  -0.3209200000E-003   0.1826700000E-004
  -0.6920336465E+000  -0.3124292315E-003   0.1801416812E-004   0.9838431525E+000  -0.3175600000E-003   0.1831000000E-004
