natx =      499
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
     -1.94382      0.00000     -0.66777   2      2.05532
      0.00000     -1.94382      0.66777   2      2.05532
      1.94382      0.00000     -0.66777   2      2.05532
     -0.00000      1.94382      0.66777   2      2.05532
     -1.94382     -1.94382     -0.00000   3      2.74897
      1.94382      1.94382      0.00000   3      2.74897
     -1.94382      1.94382      0.00000   3      2.74897
      1.94382     -1.94382      0.00000   3      2.74897
     -1.94382      0.00000     -2.49969   4      3.16653
      0.00000     -1.94382      2.49969   4      3.16653
      1.94382      0.00000     -2.49969   4      3.16653
     -0.00000      1.94382      2.49969   4      3.16653
     -1.94382      0.00000      2.60808   1      3.25277
      0.00000     -1.94382     -2.60808   1      3.25277
     -0.00000      1.94382     -2.60808   1      3.25277
      1.94382      0.00000      2.60808   1      3.25277
     -3.88763      0.00000     -0.00000   3      3.88763
      0.00000     -3.88763     -0.00000   3      3.88763
      3.88763      0.00000      0.00000   3      3.88763
     -0.00000      3.88763      0.00000   3      3.88763
     -1.94382     -3.88763     -0.66777   2      4.39750
     -3.88763     -1.94382      0.66777   2      4.39750
     -1.94382      3.88763     -0.66777   2      4.39750
     -3.88763      1.94382      0.66777   2      4.39750
      1.94382     -3.88763     -0.66777   2      4.39750
      3.88763     -1.94382      0.66777   2      4.39750
      1.94382      3.88763     -0.66777   2      4.39750
      3.88763      1.94382      0.66777   2      4.39750
     -3.88763     -1.94382      2.49969   4      5.01404
     -1.94382      3.88763     -2.49969   4      5.01404
     -3.88763      1.94382      2.49969   4      5.01404
      1.94382     -3.88763     -2.49969   4      5.01404
      3.88763     -1.94382      2.49969   4      5.01404
      1.94382      3.88763     -2.49969   4      5.01404
      3.88763      1.94382      2.49969   4      5.01404
     -1.94382     -3.88763     -2.49969   4      5.01404
     -1.94382     -3.88763      2.60808   1      5.06894
     -1.94382      3.88763      2.60808   1      5.06894
      3.88763     -1.94382     -2.60808   1      5.06894
      1.94382     -3.88763      2.60808   1      5.06894
      3.88763      1.94382     -2.60808   1      5.06894
      1.94382      3.88763      2.60808   1      5.06894
     -3.88763     -1.94382     -2.60808   1      5.06894
     -3.88763      1.94382     -2.60808   1      5.06894
      0.00000     -1.94382      5.10235   1      5.46007
     -1.94382      0.00000     -5.10235   1      5.46007
      1.94382      0.00000     -5.10235   1      5.46007
     -0.00000      1.94382      5.10235   1      5.46007
     -3.88763     -3.88763     -0.00000   3      5.49794
      3.88763      3.88763      0.00000   3      5.49794
     -3.88763      3.88763      0.00000   3      5.49794
      3.88763     -3.88763      0.00000   3      5.49794
     -1.94382      0.00000      5.21074   4      5.56149
      0.00000     -1.94382     -5.21074   4      5.56149
     -0.00000      1.94382     -5.21074   4      5.56149
      1.94382      0.00000      5.21074   4      5.56149
     -5.83145      0.00000     -0.66777   2      5.86956
      0.00000     -5.83145      0.66777   2      5.86956
      5.83145      0.00000     -0.66777   2      5.86956
     -0.00000      5.83145      0.66777   2      5.86956
     -1.94382     -5.83145     -0.00000   3      6.14688
     -5.83145     -1.94382     -0.00000   3      6.14688
     -1.94382      5.83145      0.00000   3      6.14688
     -5.83145      1.94382     -0.00000   3      6.14688
      5.83145     -1.94382      0.00000   3      6.14688
      1.94382     -5.83145     -0.00000   3      6.14688
      5.83145      1.94382      0.00000   3      6.14688
