 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    5.8145000000000009E-002  eV
 efermi =   -12.400641000000000       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1558194258E+001   0.6568545121E-002   0.1003280657E-004   0.9993830632E+000   0.6572600000E-002   0.1003900000E-004
  -0.1554519327E+001   0.6584021965E-002   0.1009174934E-004   0.9993809998E+000   0.6588100000E-002   0.1009800000E-004
  -0.1550844396E+001   0.6599698529E-002   0.1015169110E-004   0.9993789227E+000   0.6603800000E-002   0.1015800000E-004
  -0.1547169465E+001   0.6615474874E-002   0.1021163246E-004   0.9993768315E+000   0.6619600000E-002   0.1021800000E-004
  -0.1543494534E+001   0.6631251058E-002   0.1027257281E-004   0.9993747262E+000   0.6635400000E-002   0.1027900000E-004
  -0.1539819604E+001   0.6647226956E-002   0.1033451213E-004   0.9993726066E+000   0.6651400000E-002   0.1034100000E-004
  -0.1536144673E+001   0.6663202689E-002   0.1039645103E-004   0.9993704726E+000   0.6667400000E-002   0.1040300000E-004
  -0.1532469742E+001   0.6679378131E-002   0.1045938888E-004   0.9993683241E+000   0.6683600000E-002   0.1046600000E-004
  -0.1528794811E+001   0.6695653341E-002   0.1052332567E-004   0.9993661608E+000   0.6699900000E-002   0.1053000000E-004
  -0.1525119880E+001   0.6712028317E-002   0.1058726203E-004   0.9993639827E+000   0.6716300000E-002   0.1059400000E-004
  -0.1521444949E+001   0.6728403120E-002   0.1065219731E-004   0.9993617895E+000   0.6732700000E-002   0.1065900000E-004
  -0.1517770018E+001   0.6744977621E-002   0.1071813151E-004   0.9993595812E+000   0.6749300000E-002   0.1072500000E-004
  -0.1514095087E+001   0.6761651881E-002   0.1078406525E-004   0.9993573575E+000   0.6766000000E-002   0.1079100000E-004
  -0.1510420156E+001   0.6778525832E-002   0.1085199723E-004   0.9993551184E+000   0.6782900000E-002   0.1085900000E-004
  -0.1506745225E+001   0.6795399601E-002   0.1091892939E-004   0.9993528635E+000   0.6799800000E-002   0.1092600000E-004
  -0.1503070295E+001   0.6812373122E-002   0.1098785977E-004   0.9993505929E+000   0.6816800000E-002   0.1099500000E-004
  -0.1499395364E+001   0.6829546325E-002   0.1105678966E-004   0.9993483063E+000   0.6834000000E-002   0.1106400000E-004
  -0.1495720433E+001   0.6846819273E-002   0.1112771775E-004   0.9993460035E+000   0.6851300000E-002   0.1113500000E-004
  -0.1492045502E+001   0.6864092030E-002   0.1119864533E-004   0.9993436843E+000   0.6868600000E-002   0.1120600000E-004
  -0.1488370571E+001   0.6881664395E-002   0.1126957239E-004   0.9993413487E+000   0.6886200000E-002   0.1127700000E-004
  -0.1484695640E+001   0.6899236563E-002   0.1134249761E-004   0.9993389964E+000   0.6903800000E-002   0.1135000000E-004
  -0.1481020709E+001   0.6916908465E-002   0.1141542229E-004   0.9993366272E+000   0.6921500000E-002   0.1142300000E-004
  -0.1477345778E+001   0.6934780032E-002   0.1149034510E-004   0.9993342410E+000   0.6939400000E-002   0.1149800000E-004
  -0.1473670847E+001   0.6952751326E-002   0.1156526736E-004   0.9993318375E+000   0.6957400000E-002   0.1157300000E-004
  -0.1469995916E+001   0.6970822346E-002   0.1164118837E-004   0.9993294166E+000   0.6975500000E-002   0.1164900000E-004
  -0.1466320986E+001   0.6989093020E-002   0.1171810815E-004   0.9993269782E+000   0.6993800000E-002   0.1172600000E-004
  -0.1462646055E+001   0.7007363480E-002   0.1179502733E-004   0.9993245219E+000   0.7012100000E-002   0.1180300000E-004
  -0.1458971124E+001   0.7025833588E-002   0.1187394457E-004   0.9993220476E+000   0.7030600000E-002   0.1188200000E-004
  -0.1455296193E+001   0.7044503340E-002   0.1195386052E-004   0.9993195551E+000   0.7049300000E-002   0.1196200000E-004
  -0.1451621262E+001   0.7063272801E-002   0.1203377585E-004   0.9993170443E+000   0.7068100000E-002   0.1204200000E-004
  -0.1447946331E+001   0.7082141967E-002   0.1211568918E-004   0.9993145148E+000   0.7087000000E-002   0.1212400000E-004
  -0.1444271400E+001   0.7101110834E-002   0.1219760186E-004   0.9993119666E+000   0.7106000000E-002   0.1220600000E-004
  -0.1440596469E+001   0.7120279332E-002   0.1228151252E-004   0.9993093993E+000   0.7125200000E-002   0.1229000000E-004
  -0.1436921538E+001   0.7139547524E-002   0.1236542250E-004   0.9993068128E+000   0.7144500000E-002   0.1237400000E-004
  -0.1433246607E+001   0.7159015338E-002   0.1245133042E-004   0.9993042068E+000   0.7164000000E-002   0.1246000000E-004
  -0.1429571677E+001   0.7178582839E-002   0.1253723764E-004   0.9993015812E+000   0.7183600000E-002   0.1254600000E-004
  -0.1425896746E+001   0.7198250023E-002   0.1262514275E-004   0.9992989357E+000   0.7203300000E-002   0.1263400000E-004
  -0.1422221815E+001   0.7218116818E-002   0.1271404644E-004   0.9992962700E+000   0.7223200000E-002   0.1272300000E-004
  -0.1418546884E+001   0.7238183217E-002   0.1280294940E-004   0.9992935840E+000   0.7243300000E-002   0.1281200000E-004
  -0.1414871953E+001   0.7258349289E-002   0.1289385019E-004   0.9992908775E+000   0.7263500000E-002   0.1290300000E-004
  -0.1411197022E+001   0.7278615028E-002   0.1298574951E-004   0.9992881501E+000   0.7283800000E-002   0.1299500000E-004
  -0.1407522091E+001   0.7299080359E-002   0.1307864734E-004   0.9992854017E+000   0.7304300000E-002   0.1308800000E-004
  -0.1403847160E+001   0.7319745279E-002   0.1317354294E-004   0.9992826319E+000   0.7325000000E-002   0.1318300000E-004
  -0.1400172229E+001   0.7340509853E-002   0.1326843772E-004   0.9992798406E+000   0.7345800000E-002   0.1327800000E-004
  -0.1396497298E+001   0.7361474006E-002   0.1336533024E-004   0.9992770275E+000   0.7366800000E-002   0.1337500000E-004
  -0.1392822368E+001   0.7382537805E-002   0.1346322119E-004   0.9992741923E+000   0.7387900000E-002   0.1347300000E-004
