natx =      420
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      0.00000     -2.24187      0.00000   2      2.24187
     -0.00000      1.47931     -2.05968   4      2.53587
     -0.00000      1.47931      2.05968   4      2.53587
     -2.06825     -1.06641     -2.05968   1      3.10760
     -2.06825     -1.06641      2.05968   1      3.10760
      2.06825     -1.06641     -2.05968   1      3.10760
      2.06825     -1.06641      2.05968   1      3.10760
     -2.06825      2.54572      0.00000   1      3.27999
      2.06825      2.54572      0.00000   1      3.27999
      0.00000     -3.36339     -2.05968   3      3.94394
      0.00000     -3.36339      2.05968   3      3.94394
     -2.06825     -3.38022     -0.00000   3      3.96277
      2.06825     -3.38022      0.00000   3      3.96277
      0.00000      0.00000     -4.11937   4      4.11937
      0.00000      0.00000      4.11937   4      4.11937
     -4.13650      0.00000     -0.00000   4      4.13650
      4.13650      0.00000      0.00000   4      4.13650
     -0.00000      3.72118     -2.05968   2      4.25317
     -0.00000      3.72118      2.05968   2      4.25317
      0.00000     -2.24187     -4.11937   2      4.68990
      0.00000     -2.24187      4.11937   2      4.68990
     -4.13650     -2.24187     -0.00000   2      4.70495
      4.13650     -2.24187      0.00000   2      4.70495
     -0.00000      4.84270      0.00000   3      4.84270
     -4.13650      1.47931     -2.05968   4      4.85193
     -4.13650      1.47931      2.05968   4      4.85193
      4.13650      1.47931     -2.05968   4      4.85193
      4.13650      1.47931      2.05968   4      4.85193
     -2.06825      2.54572     -4.11937   1      5.26569
     -2.06825      2.54572      4.11937   1      5.26569
      2.06825      2.54572     -4.11937   1      5.26569
      2.06825      2.54572      4.11937   1      5.26569
     -2.06825     -4.50174     -2.05968   2      5.36522
     -2.06825     -4.50174      2.05968   2      5.36522
      2.06825     -4.50174     -2.05968   2      5.36522
      2.06825     -4.50174      2.05968   2      5.36522
      2.06825      4.85952     -2.05968   3      5.66877
      2.06825      4.85952      2.05968   3      5.66877
     -2.06825      4.85952     -2.05968   3      5.66877
     -2.06825      4.85952      2.05968   3      5.66877
      0.00000     -5.67719     -0.00000   1      5.67719
     -4.13650     -3.36339      2.05968   3      5.71536
     -4.13650     -3.36339     -2.05968   3      5.71536
      4.13650     -3.36339     -2.05968   3      5.71536
      4.13650     -3.36339      2.05968   3      5.71536
     -2.06825     -3.38022     -4.11937   3      5.71600
     -2.06825     -3.38022      4.11937   3      5.71600
      2.06825     -3.38022     -4.11937   3      5.71600
      2.06825     -3.38022      4.11937   3      5.71600
     -4.13650      0.00000     -4.11937   4      5.83779
     -4.13650      0.00000      4.11937   4      5.83779
      4.13650      0.00000     -4.11937   4      5.83779
      4.13650      0.00000      4.11937   4      5.83779
     -4.13650      3.72118     -2.05968   2      5.93296
     -4.13650      3.72118      2.05968   2      5.93296
      4.13650      3.72118     -2.05968   2      5.93296
      4.13650      3.72118      2.05968   2      5.93296
     -4.13650     -2.24187     -4.11937   2      6.25346
     -4.13650     -2.24187      4.11937   2      6.25346
      4.13650     -2.24187     -4.11937   2      6.25346
      4.13650     -2.24187      4.11937   2      6.25346
     -2.06825      5.98104      0.00000   2      6.32855
      2.06825      5.98104      0.00000   2      6.32855
     -0.00000      1.47931     -6.17905   4      6.35366
     -0.00000      1.47931      6.17905   4      6.35366
     -0.00000      4.84270     -4.11937   3      6.35774
     -0.00000      4.84270      4.11937   3      6.35774
     -4.13650      4.84270      0.00000   3      6.36886
      4.13650      4.84270      0.00000   3      6.36886
