 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    7.7929999999999999E-002  eV
 efermi =   -9.2189776600000002       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1441270330E+001   0.6687765570E-002   0.1485870375E-004   0.9991731389E+000   0.6693300000E-002   0.1487100000E-004
  -0.1437595399E+001   0.6705532293E-002   0.1495957883E-004   0.9991703735E+000   0.6711100000E-002   0.1497200000E-004
  -0.1433920468E+001   0.6723498627E-002   0.1506045308E-004   0.9991675895E+000   0.6729100000E-002   0.1507300000E-004
  -0.1430245538E+001   0.6741464733E-002   0.1516332480E-004   0.9991647868E+000   0.6747100000E-002   0.1517600000E-004
  -0.1426570607E+001   0.6759630443E-002   0.1526619567E-004   0.9991619651E+000   0.6765300000E-002   0.1527900000E-004
  -0.1422895676E+001   0.6777995752E-002   0.1537106397E-004   0.9991591243E+000   0.6783700000E-002   0.1538400000E-004
  -0.1419220745E+001   0.6796360825E-002   0.1547792969E-004   0.9991562642E+000   0.6802100000E-002   0.1549100000E-004
  -0.1415545814E+001   0.6814925490E-002   0.1558479449E-004   0.9991533846E+000   0.6820700000E-002   0.1559800000E-004
  -0.1411870883E+001   0.6833589829E-002   0.1569365667E-004   0.9991504853E+000   0.6839400000E-002   0.1570700000E-004
  -0.1408195952E+001   0.6852453752E-002   0.1580351705E-004   0.9991475660E+000   0.6858300000E-002   0.1581700000E-004
  -0.1404521021E+001   0.6871417340E-002   0.1591437561E-004   0.9991446266E+000   0.6877300000E-002   0.1592800000E-004
  -0.1400846090E+001   0.6890480591E-002   0.1602723148E-004   0.9991416668E+000   0.6896400000E-002   0.1604100000E-004
  -0.1397171159E+001   0.6909743414E-002   0.1614108548E-004   0.9991386865E+000   0.6915700000E-002   0.1615500000E-004
  -0.1393496229E+001   0.6929105892E-002   0.1625593760E-004   0.9991356854E+000   0.6935100000E-002   0.1627000000E-004
  -0.1389821298E+001   0.6948667934E-002   0.1637278695E-004   0.9991326634E+000   0.6954700000E-002   0.1638700000E-004
  -0.1386146367E+001   0.6968329622E-002   0.1649063438E-004   0.9991296201E+000   0.6974400000E-002   0.1650500000E-004
  -0.1382471436E+001   0.6988190866E-002   0.1661047898E-004   0.9991265554E+000   0.6994300000E-002   0.1662500000E-004
  -0.1378796505E+001   0.7008151749E-002   0.1673132161E-004   0.9991234690E+000   0.7014300000E-002   0.1674600000E-004
  -0.1375121574E+001   0.7028312178E-002   0.1685416137E-004   0.9991203608E+000   0.7034500000E-002   0.1686900000E-004
  -0.1371446643E+001   0.7048572237E-002   0.1697799910E-004   0.9991172304E+000   0.7054800000E-002   0.1699300000E-004
  -0.1367771712E+001   0.7069031834E-002   0.1710383390E-004   0.9991140777E+000   0.7075300000E-002   0.1711900000E-004
  -0.1364096781E+001   0.7089591052E-002   0.1723066662E-004   0.9991109023E+000   0.7095900000E-002   0.1724600000E-004
  -0.1360421850E+001   0.7110349798E-002   0.1735949636E-004   0.9991077042E+000   0.7116700000E-002   0.1737500000E-004
  -0.1356746920E+001   0.7131308068E-002   0.1749032308E-004   0.9991044829E+000   0.7137700000E-002   0.1750600000E-004
  -0.1353071989E+001   0.7152365945E-002   0.1762214764E-004   0.9991012383E+000   0.7158800000E-002   0.1763800000E-004
  -0.1349397058E+001   0.7173623335E-002   0.1775596912E-004   0.9990979701E+000   0.7180100000E-002   0.1777200000E-004
  -0.1345722127E+001   0.7195080233E-002   0.1789178749E-004   0.9990946780E+000   0.7201600000E-002   0.1790800000E-004
  -0.1342047196E+001   0.7216636725E-002   0.1802960272E-004   0.9990913618E+000   0.7223200000E-002   0.1804600000E-004
  -0.1338372265E+001   0.7238492623E-002   0.1816841567E-004   0.9990880213E+000   0.7245100000E-002   0.1818500000E-004
  -0.1334697334E+001   0.7260348196E-002   0.1830922541E-004   0.9990846561E+000   0.7267000000E-002   0.1832600000E-004
  -0.1331022403E+001   0.7282503163E-002   0.1845203190E-004   0.9990812659E+000   0.7289200000E-002   0.1846900000E-004
  -0.1327347472E+001   0.7304857612E-002   0.1859683511E-004   0.9990778506E+000   0.7311600000E-002   0.1861400000E-004
  -0.1323672541E+001   0.7327311628E-002   0.1874363500E-004   0.9990744097E+000   0.7334100000E-002   0.1876100000E-004
  -0.1319997611E+001   0.7349965114E-002   0.1889243153E-004   0.9990709431E+000   0.7356800000E-002   0.1891000000E-004
  -0.1316322680E+001   0.7372818064E-002   0.1904322467E-004   0.9990674504E+000   0.7379700000E-002   0.1906100000E-004
  -0.1312647749E+001   0.7395870471E-002   0.1919501531E-004   0.9990639314E+000   0.7402800000E-002   0.1921300000E-004
  -0.1308972818E+001   0.7419122330E-002   0.1934980155E-004   0.9990603857E+000   0.7426100000E-002   0.1936800000E-004
  -0.1305297887E+001   0.7442573634E-002   0.1950658427E-004   0.9990568130E+000   0.7449600000E-002   0.1952500000E-004
  -0.1301622956E+001   0.7466124472E-002   0.1966636250E-004   0.9990532131E+000   0.7473200000E-002   0.1968500000E-004
  -0.1297948025E+001   0.7489974648E-002   0.1982713808E-004   0.9990495856E+000   0.7497100000E-002   0.1984600000E-004
  -0.1294273094E+001   0.7514024250E-002   0.1999090906E-004   0.9990459302E+000   0.7521200000E-002   0.2001000000E-004
  -0.1290598163E+001   0.7538273271E-002   0.2015667637E-004   0.9990422465E+000   0.7545500000E-002   0.2017600000E-004
  -0.1286923232E+001   0.7562721705E-002   0.2032443994E-004   0.9990385343E+000   0.7570000000E-002   0.2034400000E-004
  -0.1283248302E+001   0.7587369544E-002   0.2049519878E-004   0.9990347933E+000   0.7594700000E-002   0.2051500000E-004
  -0.1279573371E+001   0.7612216782E-002   0.2066795380E-004   0.9990310229E+000   0.7619600000E-002   0.2068800000E-004
  -0.1275898440E+001   0.7637363315E-002   0.2084270495E-004   0.9990272231E+000   0.7644800000E-002   0.2086300000E-004
  -0.1272223509E+001   0.7662709231E-002   0.2102145024E-004   0.9990233932E+000   0.7670200000E-002   0.2104200000E-004
  -0.1268548578E+001   0.7688254523E-002   0.2120119253E-004   0.9990195332E+000   0.7695800000E-002   0.2122200000E-004
  -0.1264873647E+001   0.7713999185E-002   0.2138492884E-004   0.9990156424E+000   0.7721600000E-002   0.2140600000E-004
  -0.1261198716E+001   0.7740043109E-002   0.2157066107E-004   0.9990117207E+000   0.7747700000E-002   0.2159200000E-004
  -0.1257523785E+001   0.7766186485E-002   0.2175838918E-004   0.9990077676E+000   0.7773900000E-002   0.2178000000E-004
  -0.1253848854E+001   0.7792729008E-002   0.2195011112E-004   0.9990037828E+000   0.7800500000E-002   0.2197200000E-004
  -0.1250173923E+001   0.7819470867E-002   0.2214382881E-004   0.9989997658E+000   0.7827300000E-002   0.2216600000E-004
  -0.1246498993E+001   0.7846412055E-002   0.2234154020E-004   0.9989957163E+000   0.7854300000E-002   0.2236400000E-004
  -0.1242824062E+001   0.7873552562E-002   0.2254124723E-004   0.9989916339E+000   0.7881500000E-002   0.2256400000E-004
  -0.1239149131E+001   0.7901092180E-002   0.2274394883E-004   0.9989875181E+000   0.7909100000E-002   0.2276700000E-004
  -0.1235474200E+001   0.7928831099E-002   0.2295064391E-004   0.9989833686E+000   0.7936900000E-002   0.2297400000E-004
  -0.1231799269E+001   0.7956769311E-002   0.2315933445E-004   0.9989791850E+000   0.7964900000E-002   0.2318300000E-004
  -0.1228124338E+001   0.7985006705E-002   0.2337201832E-004   0.9989749668E+000   0.7993200000E-002   0.2339600000E-004
  -0.1224449407E+001   0.8013543270E-002   0.2358769649E-004   0.9989707136E+000   0.8021800000E-002   0.2361200000E-004
  -0.1220774476E+001   0.8042378997E-002   0.2380736784E-004   0.9989664249E+000   0.8050700000E-002   0.2383200000E-004
  -0.1217099545E+001   0.8071413978E-002   0.2403003332E-004   0.9989621004E+000   0.8079800000E-002   0.2405500000E-004
  -0.1213424614E+001   0.8100748101E-002   0.2425569287E-004   0.9989577395E+000   0.8109200000E-002   0.2428100000E-004
  -0.1209749684E+001   0.8130381353E-002   0.2448534536E-004   0.9989533418E+000   0.8138900000E-002   0.2451100000E-004
  -0.1206074753E+001   0.8160313725E-002   0.2471899070E-004   0.9989489068E+000   0.8168900000E-002   0.2474500000E-004
  -0.1202399822E+001   0.8190545204E-002   0.2495562985E-004   0.9989444341E+000   0.8199200000E-002   0.2498200000E-004
  -0.1198724891E+001   0.8221075780E-002   0.2519726062E-004   0.9989399232E+000   0.8229800000E-002   0.2522400000E-004
  -0.1195049960E+001   0.8251905440E-002   0.2544188503E-004   0.9989353735E+000   0.8260700000E-002   0.2546900000E-004
  -0.1191375029E+001   0.8283034173E-002   0.2569150085E-004   0.9989307847E+000   0.8291900000E-002   0.2571900000E-004
  -0.1187700098E+001   0.8314461967E-002   0.2594411012E-004   0.9989261560E+000   0.8323400000E-002   0.2597200000E-004
  -0.1184025167E+001   0.8346288702E-002   0.2620171061E-004   0.9989214872E+000   0.8355300000E-002   0.2623000000E-004
  -0.1180350236E+001   0.8378414472E-002   0.2646330327E-004   0.9989167776E+000   0.8387500000E-002   0.2649200000E-004
  -0.1176675305E+001   0.8410839264E-002   0.2672888801E-004   0.9989120266E+000   0.8420000000E-002   0.2675800000E-004
  -0.1173000375E+001   0.8443563066E-002   0.2699946362E-004   0.9989072338E+000   0.8452800000E-002   0.2702900000E-004
  -0.1169325444E+001   0.8476685755E-002   0.2727502999E-004   0.9989023986E+000   0.8486000000E-002   0.2730500000E-004
  -0.1165650513E+001   0.8510207315E-002   0.2755458810E-004   0.9988975204E+000   0.8519600000E-002   0.2758500000E-004
  -0.1161975582E+001   0.8544027843E-002   0.2783913673E-004   0.9988925987E+000   0.8553500000E-002   0.2787000000E-004
  -0.1158300651E+001   0.8578147324E-002   0.2812867574E-004   0.9988876328E+000   0.8587700000E-002   0.2816000000E-004
  -0.1154625720E+001   0.8612765522E-002   0.2842320501E-004   0.9988826222E+000   0.8622400000E-002   0.2845500000E-004
  -0.1150950789E+001   0.8647682642E-002   0.2872372329E-004   0.9988775662E+000   0.8657400000E-002   0.2875600000E-004
  -0.1147275858E+001   0.8682998558E-002   0.2902923156E-004   0.9988724643E+000   0.8692800000E-002   0.2906200000E-004
  -0.1143600927E+001   0.8718713252E-002   0.2933972967E-004   0.9988673158E+000   0.8728600000E-002   0.2937300000E-004
  -0.1139925996E+001   0.8754726823E-002   0.2965621634E-004   0.9988621200E+000   0.8764700000E-002   0.2969000000E-004
  -0.1136251066E+001   0.8791239026E-002   0.2997869143E-004   0.9988568764E+000   0.8801300000E-002   0.3001300000E-004
  -0.1132576135E+001   0.8828149956E-002   0.3030615592E-004   0.9988515842E+000   0.8838300000E-002   0.3034100000E-004
  -0.1128901204E+001   0.8865459597E-002   0.3064060734E-004   0.9988462428E+000   0.8875700000E-002   0.3067600000E-004
  -0.1125226273E+001   0.8903167929E-002   0.3098004785E-004   0.9988408514E+000   0.8913500000E-002   0.3101600000E-004
  -0.1121551342E+001   0.8941374818E-002   0.3132747378E-004   0.9988354095E+000   0.8951800000E-002   0.3136400000E-004
  -0.1117876411E+001   0.8979980361E-002   0.3167988845E-004   0.9988299161E+000   0.8990500000E-002   0.3171700000E-004
  -0.1114201480E+001   0.9019084421E-002   0.3204028817E-004   0.9988243708E+000   0.9029700000E-002   0.3207800000E-004
  -0.1110526549E+001   0.9058587094E-002   0.3240667508E-004   0.9988187726E+000   0.9069300000E-002   0.3244500000E-004
  -0.1106851618E+001   0.9098588243E-002   0.3278004781E-004   0.9988131208E+000   0.9109400000E-002   0.3281900000E-004
  -0.1103176687E+001   0.9139087845E-002   0.3316140498E-004   0.9988074147E+000   0.9150000000E-002   0.3320100000E-004
  -0.1099501757E+001   0.9179985997E-002   0.3354974754E-004   0.9988016535E+000   0.9191000000E-002   0.3359000000E-004
  -0.1095826826E+001   0.9221482439E-002   0.3394607409E-004   0.9987958364E+000   0.9232600000E-002   0.3398700000E-004
  -0.1092151895E+001   0.9263377386E-002   0.3435038439E-004   0.9987899624E+000   0.9274600000E-002   0.3439200000E-004
  -0.1088476964E+001   0.9305870573E-002   0.3476267820E-004   0.9987840309E+000   0.9317200000E-002   0.3480500000E-004
  -0.1084802033E+001   0.9348862097E-002   0.3518295527E-004   0.9987780410E+000   0.9360300000E-002   0.3522600000E-004
  -0.1081127102E+001   0.9392451811E-002   0.3561121537E-004   0.9987719918E+000   0.9404000000E-002   0.3565500000E-004
  -0.1077452171E+001   0.9436439933E-002   0.3604945576E-004   0.9987658823E+000   0.9448100000E-002   0.3609400000E-004
  -0.1073777240E+001   0.9481126068E-002   0.3649567863E-004   0.9987597118E+000   0.9492900000E-002   0.3654100000E-004
  -0.1070102309E+001   0.9526310436E-002   0.3695188123E-004   0.9987534793E+000   0.9538200000E-002   0.3699800000E-004
  -0.1066427378E+001   0.9572092884E-002   0.3741806324E-004   0.9987471838E+000   0.9584100000E-002   0.3746500000E-004
  -0.1062752448E+001   0.9618473383E-002   0.3789322562E-004   0.9987408244E+000   0.9630600000E-002   0.3794100000E-004
  -0.1059077517E+001   0.9665451904E-002   0.3837936553E-004   0.9987344001E+000   0.9677700000E-002   0.3842800000E-004
  -0.1055402586E+001   0.9713028415E-002   0.3887548389E-004   0.9987279099E+000   0.9725400000E-002   0.3892500000E-004
  -0.1051727655E+001   0.9761302758E-002   0.3938257910E-004   0.9987213528E+000   0.9773800000E-002   0.3943300000E-004
  -0.1048052724E+001   0.9810175028E-002   0.3989965209E-004   0.9987147277E+000   0.9822800000E-002   0.3995100000E-004
  -0.1044377793E+001   0.9859745063E-002   0.4042969862E-004   0.9987080337E+000   0.9872500000E-002   0.4048200000E-004
  -0.1040702862E+001   0.9910012828E-002   0.4097072088E-004   0.9987012695E+000   0.9922900000E-002   0.4102400000E-004
  -0.1037027931E+001   0.9960878417E-002   0.4152371718E-004   0.9986944342E+000   0.9973900000E-002   0.4157800000E-004
  -0.1033353000E+001   0.1001284114E-001   0.4208968581E-004   0.9986875265E+000   0.1002600000E-001   0.4214500000E-004
  -0.1029678069E+001   0.1006470254E-001   0.4266862630E-004   0.9986805454E+000   0.1007800000E-001   0.4272500000E-004
