natx =      647
    x       y        z       iph  
      0.00000      0.00000      0.00000   0      0.00000
      0.00000      0.00000      1.59687   4      1.59687
      0.29908      1.80958     -0.37033   3      1.87114
     -0.29908     -1.80958     -0.37033   3      1.87114
     -1.80958      0.29908     -0.37033   3      1.87114
      1.80958     -0.29908     -0.37033   3      1.87114
      0.00000      0.00000     -2.71398   4      2.71398
     -0.00000      3.01250     -1.25963   2      3.26524
      3.01250      0.00000     -1.25963   2      3.26524
     -3.01250      0.00000     -1.25963   2      3.26524
      0.00000     -3.01250     -1.25963   2      3.26524
      2.71341      1.20292     -2.14894   3      3.66436
     -1.20292      2.71341     -2.14894   3      3.66436
      1.20292     -2.71341     -2.14894   3      3.66436
     -2.71341     -1.20292     -2.14894   3      3.66436
      2.71341      1.20292      2.16191   3      3.67199
     -2.71341     -1.20292      2.16191   3      3.67199
     -1.20292      2.71341      2.16191   3      3.67199
      1.20292     -2.71341      2.16191   3      3.67199
      3.31158     -1.20292     -2.14894   3      4.12692
      1.20292      3.31158     -2.14894   3      4.12692
     -1.20292     -3.31158     -2.14894   3      4.12692
     -3.31158      1.20292     -2.14894   3      4.12692
     -1.20292     -3.31158      2.16191   3      4.13370
     -3.31158      1.20292      2.16191   3      4.13370
      3.31158     -1.20292      2.16191   3      4.13370
      1.20292      3.31158      2.16191   3      4.13370
      0.29908     -4.21541     -0.37033   3      4.24221
     -4.21541     -0.29908     -0.37033   3      4.24221
     -0.29908      4.21541     -0.37033   3      4.24221
      4.21541      0.29908     -0.37033   3      4.24221
      3.01250      3.01250      0.19472   4      4.26476
     -3.01250     -3.01250      0.19472   4      4.26476
     -3.01250      3.01250      0.19472   4      4.26476
      3.01250     -3.01250      0.19472   4      4.26476
     -3.01250      0.00000      3.05122   2      4.28778
      0.00000     -3.01250      3.05122   2      4.28778
     -0.00000      3.01250      3.05122   2      4.28778
      3.01250      0.00000      3.05122   2      4.28778
      0.00000      0.00000     -4.31085   1      4.31085
      0.00000      0.00000      4.31085   1      4.31085
     -0.29908     -1.80958      3.94052   3      4.34646
     -1.80958      0.29908      3.94052   3      4.34646
      1.80958     -0.29908      3.94052   3      4.34646
      0.29908      1.80958      3.94052   3      4.34646
     -3.01250     -3.01250      1.79159   1      4.62169
     -3.01250      3.01250      1.79159   1      4.62169
      3.01250     -3.01250      1.79159   1      4.62169
      3.01250      3.01250      1.79159   1      4.62169
      3.01250      3.01250     -2.51926   1      4.94944
     -3.01250     -3.01250     -2.51926   1      4.94944
     -3.01250      3.01250     -2.51926   1      4.94944
      3.01250     -3.01250     -2.51926   1      4.94944
     -0.29908     -1.80958     -4.68118   3      5.02767
     -1.80958      0.29908     -4.68118   3      5.02767
      1.80958     -0.29908     -4.68118   3      5.02767
      0.29908      1.80958     -4.68118   3      5.02767
      0.29908     -4.21541      3.94052   3      5.77814
     -4.21541     -0.29908      3.94052   3      5.77814
     -0.29908      4.21541      3.94052   3      5.77814
      4.21541      0.29908      3.94052   3      5.77814
      0.00000      0.00000      5.90772   4      5.90772
      3.01250      3.01250     -4.11613   4      5.92392
     -3.01250     -3.01250     -4.11613   4      5.92392
     -3.01250      3.01250     -4.11613   4      5.92392
      3.01250     -3.01250     -4.11613   4      5.92392
     -4.82208     -2.71341     -2.14894   3      5.93574
     -2.71341      4.82208     -2.14894   3      5.93574
      2.71341     -4.82208     -2.14894   3      5.93574
      4.82208      2.71341     -2.14894   3      5.93574
     -4.82208     -2.71341      2.16191   3      5.94045
     -2.71341      4.82208      2.16191   3      5.94045
      2.71341     -4.82208      2.16191   3      5.94045
      4.82208      2.71341      2.16191   3      5.94045
     -1.80958     -5.72591     -0.37033   3      6.01646
     -5.72591      1.80958     -0.37033   3      6.01646
      5.72591     -1.80958     -0.37033   3      6.01646
      1.80958      5.72591     -0.37033   3      6.01646
     -6.02499      0.00000     -0.00000   1      6.02499
      0.00000     -6.02499     -0.00000   1      6.02499
      6.02499      0.00000      0.00000   1      6.02499
     -0.00000      6.02499      0.00000   1      6.02499
     -3.01250     -3.01250      4.50557   4      6.20084
     -3.01250      3.01250      4.50557   4      6.20084
      3.01250     -3.01250      4.50557   4      6.20084
      3.01250      3.01250      4.50557   4      6.20084
     -3.31158     -4.82208     -2.14894   3      6.23193
     -4.82208      3.31158     -2.14894   3      6.23193
      4.82208     -3.31158     -2.14894   3      6.23193
      3.31158      4.82208     -2.14894   3      6.23193
     -6.02499      0.00000      1.59687   4      6.23302
      0.00000     -6.02499      1.59687   4      6.23302
      6.02499      0.00000      1.59687   4      6.23302
     -0.00000      6.02499      1.59687   4      6.23302
     -3.31158     -4.82208      2.16191   3      6.23641
     -4.82208      3.31158      2.16191   3      6.23641
      4.82208     -3.31158      2.16191   3      6.23641
      3.31158      4.82208      2.16191   3      6.23641
      0.29908     -4.21541     -4.68118   3      6.30655
     -4.21541     -0.29908     -4.68118   3      6.30655
     -0.29908      4.21541     -4.68118   3      6.30655
      4.21541      0.29908     -4.68118   3      6.30655
     -3.01250      0.00000     -5.57048   2      6.33288
      0.00000     -3.01250     -5.57048   2      6.33288
     -0.00000      3.01250     -5.57048   2      6.33288
      3.01250      0.00000     -5.57048   2      6.33288
     -6.32408     -1.80958     -0.37033   3      6.58830
     -1.80958      6.32408     -0.37033   3      6.58830
      1.80958     -6.32408     -0.37033   3      6.58830
      6.32408      1.80958     -0.37033   3      6.58830
     -6.02499      0.00000     -2.71398   4      6.60804
      0.00000     -6.02499     -2.71398   4      6.60804
      6.02499      0.00000     -2.71398   4      6.60804
     -0.00000      6.02499     -2.71398   4      6.60804
     -6.02499     -3.01250     -1.25963   2      6.85291
     -3.01250     -6.02499     -1.25963   2      6.85291
     -6.02499      3.01250     -1.25963   2      6.85291
      6.02499     -3.01250     -1.25963   2      6.85291
      3.01250     -6.02499     -1.25963   2      6.85291
      6.02499      3.01250     -1.25963   2      6.85291
      3.01250      6.02499     -1.25963   2      6.85291
     -3.01250      6.02499     -1.25963   2      6.85291
      0.00000      0.00000     -7.02483   4      7.02483
     -2.71341     -1.20292     -6.45979   3      7.10904
     -1.20292      2.71341     -6.45979   3      7.10904
      1.20292     -2.71341     -6.45979   3      7.10904
      2.71341      1.20292     -6.45979   3      7.10904
     -5.72591     -4.21541     -0.37033   3      7.11990
      4.21541     -5.72591     -0.37033   3      7.11990
      5.72591      4.21541     -0.37033   3      7.11990
     -4.21541      5.72591     -0.37033   3      7.11990
     -2.71341     -1.20292      6.47276   3      7.12083
      1.20292     -2.71341      6.47276   3      7.12083
     -1.20292      2.71341      6.47276   3      7.12083
      2.71341      1.20292      6.47276   3      7.12083
     -1.80958     -5.72591      3.94052   3      7.18250
     -5.72591      1.80958      3.94052   3      7.18250
      5.72591     -1.80958      3.94052   3      7.18250
      1.80958      5.72591      3.94052   3      7.18250
     -1.20292     -3.31158     -6.45979   3      7.35815
     -3.31158      1.20292     -6.45979   3      7.35815
      3.31158     -1.20292     -6.45979   3      7.35815
      1.20292      3.31158     -6.45979   3      7.35815
     -1.20292     -3.31158      6.47276   3      7.36955
     -3.31158      1.20292      6.47276   3      7.36955
      3.31158     -1.20292      6.47276   3      7.36955
      1.20292      3.31158      6.47276   3      7.36955
     -6.02499     -3.01250      3.05122   2      7.39497
     -3.01250     -6.02499      3.05122   2      7.39497
     -6.02499      3.01250      3.05122   2      7.39497
      3.01250     -6.02499      3.05122   2      7.39497
      6.02499     -3.01250      3.05122   2      7.39497
      6.02499      3.01250      3.05122   2      7.39497
     -3.01250      6.02499      3.05122   2      7.39497
      3.01250      6.02499      3.05122   2      7.39497
     -6.02499      0.00000      4.31085   1      7.40837
      0.00000     -6.02499      4.31085   1      7.40837
      6.02499      0.00000     -4.31085   1      7.40837
      6.02499      0.00000      4.31085   1      7.40837
     -6.02499      0.00000     -4.31085   1      7.40837
      0.00000     -6.02499     -4.31085   1      7.40837
     -0.00000      6.02499     -4.31085   1      7.40837
     -0.00000      6.02499      4.31085   1      7.40837
      3.01250      3.01250      6.10244   1      7.44245
     -3.01250     -3.01250      6.10244   1      7.44245
     -3.01250      3.01250      6.10244   1      7.44245
      3.01250     -3.01250      6.10244   1      7.44245
      6.32408     -4.21541     -0.37033   3      7.60926
      4.21541      6.32408     -0.37033   3      7.60926
     -4.21541     -6.32408     -0.37033   3      7.60926
     -6.32408      4.21541     -0.37033   3      7.60926
     -1.80958     -5.72591     -4.68118   3      7.61407
     -5.72591      1.80958     -4.68118   3      7.61407
      5.72591     -1.80958     -4.68118   3      7.61407
      1.80958      5.72591     -4.68118   3      7.61407
     -6.32408     -1.80958      3.94052   3      7.66787
      1.80958     -6.32408      3.94052   3      7.66787
     -1.80958      6.32408      3.94052   3      7.66787
      6.32408      1.80958      3.94052   3      7.66787
     -0.29908     -7.83457     -0.37033   3      7.84902
     -7.83457      0.29908     -0.37033   3      7.84902
      7.83457     -0.29908     -0.37033   3      7.84902
      0.29908      7.83457     -0.37033   3      7.84902
     -3.01250      0.00000      7.36207   2      7.95457
      0.00000     -3.01250      7.36207   2      7.95457
     -0.00000      3.01250      7.36207   2      7.95457
      3.01250      0.00000      7.36207   2      7.95457
     -2.71341     -7.22791     -2.14894   3      8.01394
     -7.22791      2.71341     -2.14894   3      8.01394
      7.22791     -2.71341     -2.14894   3      8.01394
      2.71341      7.22791     -2.14894   3      8.01394
     -2.71341     -7.22791      2.16191   3      8.01743
     -7.22791      2.71341      2.16191   3      8.01743
      7.22791     -2.71341      2.16191   3      8.01743
      2.71341      7.22791      2.16191   3      8.01743
      3.01250      3.01250     -6.83011   1      8.04989
     -3.01250     -3.01250     -6.83011   1      8.04989
     -3.01250      3.01250     -6.83011   1      8.04989
      3.01250     -3.01250     -6.83011   1      8.04989
     -1.80958      6.32408     -4.68118   3      8.07353
      1.80958     -6.32408     -4.68118   3      8.07353
      6.32408      1.80958     -4.68118   3      8.07353
     -6.32408     -1.80958     -4.68118   3      8.07353
     -5.72591     -4.21541      3.94052   3      8.12918
      4.21541     -5.72591      3.94052   3      8.12918
     -4.21541      5.72591      3.94052   3      8.12918
      5.72591      4.21541      3.94052   3      8.12918
     -3.31158      7.22791     -2.14894   3      8.23573
     -7.22791     -3.31158     -2.14894   3      8.23573
      3.31158     -7.22791     -2.14894   3      8.23573
      7.22791      3.31158     -2.14894   3      8.23573
